x,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1
4.64,34.7583022742435,22.6544634810429,20.1154712400781,16.9737327515235,13.6845481736061,14.3830274545574
5.64,34.488072518953,22.2581754901209,19.8608450218492,16.6338804828612,13.8148772038309,14.4249604792063
6.64,34.7583022742435,22.5443834835646,19.3879677594243,17.10589752267,13.8003962004726,14.3970051294404
7.64,34.7920809936548,21.9059194981902,18.7514022138522,17.4268691097399,13.7424721870394,14.4109828043233
8.64,34.8934171518888,22.3242234886079,19.4970932815223,17.1814202490394,13.6266241601728,14.2851837303768
9.64,37.055255194213,22.7205114795299,19.5880312166041,16.9926134331159,13.727991183681,14.3131390801427
10.64,37.1903700718582,22.5884154825559,19.4607181074896,17.2191816122241,13.7859151971143,14.4249604792063
11.64,36.312123367164,22.3242234886079,19.4061553464406,16.9548520699312,13.7569531903977,14.3410944299086
12.64,36.4472382448093,22.5003514845732,19.2606546503098,17.2191816122241,13.9741682407724,14.3550721047915
13.64,35.8054425759943,22.3022074891122,19.2788422373262,16.9359713883388,14.0900162676389,14.2991614052597
14.64,36.2107872089301,22.2361594906252,19.6425939776531,17.5590338808864,14.2203452978637,14.3271167550256
15.64,37.4605998271488,23.4910714618783,20.0245333049964,17.9932895575105,14.3941173381635,14.3410944299086
16.64,38.7104124453674,24.04147144927,20.6065360895194,19.2016531794209,14.7271804154047,14.4389381540892
17.64,40.6357994518124,24.9441274285924,21.0248505908954,20.4666588461084,15.1760915195124,14.4808711787381
18.64,41.1762589623934,26.0229114038802,22.0433554638107,21.5617383784648,15.7842936605615,14.8582684005778
19.64,41.8518333506198,26.8375033852199,23.0436727497097,22.3924883685282,16.3200907848191,15.2775986470664
20.64,45.3985988888079,27.49798337009,23.1527982718078,22.5812951844517,16.5952298486271,15.5012414451936
21.64,45.7026073635097,28.3786233499167,23.5711127731837,22.6190565476364,16.6097108519854,15.5431744698424
22.64,43.1692034076611,27.4759673705943,23.425612077053,22.3547270053435,16.3490527915358,15.3055539968323
23.64,46.378181751736,28.5547513458821,24.1531155577068,22.5057724580823,16.1897617545943,15.2077102726516
24.64,46.9524199817284,28.8189433398301,24.0439900356087,22.4680110948976,16.3635337948941,15.2496432973005
25.64,46.3106243129134,28.8409593393258,23.9166769264943,22.4113690501206,16.4359388116856,15.1937325977686
26.64,45.9728371188002,28.5767673453777,23.8075514043962,22.80786336356,16.4938628251189,15.1517995731198
27.64,45.8715009605663,28.6648313433604,23.7529886433472,22.7134599555982,16.5517868385521,15.1238442233539
28.64,45.736386082921,28.7308793418474,23.6984258822981,22.80786336356,16.638672858702,14.9840674745244
29.64,47.0875348593736,29.3473273277261,24.2804286668212,23.0155508610758,16.8414069057184,15.2077102726516
30.64,46.6484115070266,29.1491833322651,24.3349914278702,22.3924883685282,17.0441409527348,15.7947726177356
31.64,48.1684538805357,29.8536953161265,24.953369386426,22.9777894978911,17.5799380769924,16.1022814651605
32.64,48.2022325999471,30.2499833070486,25.3171211267529,23.2232383585917,17.652343093784,16.5216117116491
33.64,47.8982241252452,30.0078073125962,25.426246648851,23.0533122242605,17.9274821575919,16.9828749827865
34.64,49.4182664987544,29.9857913131005,25.4808094099,22.5812951844517,17.7102671072172,17.6398257022852
35.64,49.3844877793431,30.5361913004922,25.6444976930471,23.0155508610758,17.8695581441587,17.5140266283386
36.64,47.5266582117208,29.6115193216742,24.9169942123933,22.6945792740058,17.840596137442,17.4720936036898
37.64,47.2902071758415,29.4574073252045,24.8988066253769,23.0721929058529,17.9709251676669,17.5559596529875
38.64,46.9186412623171,28.9290233373084,24.3168038408539,22.2603235973818,17.7537101172922,17.3462945297432
39.64,46.2092881546794,28.6648313433604,24.0803652096414,22.9589088162988,17.7826721240088,17.108674056733
40.64,47.0537561399623,29.0611193342824,24.6623679941644,23.242119040184,17.5075330602008,17.1366294064989
41.64,49.4520452181657,30.2719993065442,25.0806824955404,22.864505408337,17.4640900501259,16.9269642832547
42.64,49.6547175346336,30.6022392989793,25.426246648851,23.242119040184,17.4351280434093,16.5775224111809
43.64,49.3507090599318,30.8884472924229,25.8809363242596,22.864505408337,17.5799380769924,16.4657010121173
44.64,48.5062410746489,30.8003832944403,26.1719377165211,22.9589088162988,18.0433301844584,16.7592321846593
45.64,51.8503342963691,31.681023274267,26.0628121944231,22.6379372292288,17.8695581441587,16.6753661353615
46.64,51.9178917351917,31.61497527578,25.8263735632106,22.3736076869359,17.5654570736341,16.4796786870002

