Latitude,Longitude,Altitude,Time,VCP0.32,VCP0.32_inph,VCP0.71,VCP0.71_inph,VCP1.14,VCP1.14_inph,Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
5224.462795N,00220.616603W,41.73,09:29:49.09,8.63,2.67,15.62,5.64,-7.91,-31.96,-1,-1,-1,-1,
5224.462790N,00220.616632W,41.72,09:29:50.14,9.1,2.69,15.66,5.6,-7.4,-31.01,-1,-1,-1,-1,
5224.462784N,00220.616651W,41.73,09:29:51.19,9.78,2.68,15.68,5.57,-8.66,-31.59,-1,-1,-1,-1,
5224.462779N,00220.616603W,41.73,09:29:52.09,11.97,2.66,16.31,5.36,-7.66,-18.7,-1,-1,-1,-1,
5224.462779N,00220.616572W,41.73,09:29:53.14,12.41,2.63,16.33,5.21,-3.78,-15.85,-1,-1,-1,-1,
5224.462775N,00220.616593W,41.73,09:29:54.19,12.61,2.66,15.98,5.17,-5.92,-21.27,-1,-1,-1,-1,
5224.462728N,00220.616542W,41.73,09:29:55.09,12.47,2.63,16.51,5.22,-4.36,-16.8,-1,-1,-1,-1,
5224.462811N,00220.616547W,41.72,09:29:56.14,12.47,2.63,16.43,5.22,-3.63,-15.6,-1,-1,-1,-1,
5224.462770N,00220.616533W,41.72,09:29:57.19,11.81,2.61,16.19,5.17,-3.49,-17.89,-1,-1,-1,-1,
5224.462759N,00220.616529W,41.72,09:29:58.09,11.83,2.59,16.17,5.16,-3.79,-17.03,-1,-1,-1,-1,
5224.462745N,00220.616520W,41.72,09:29:59.14,11.78,2.57,16.4,5.17,-3.62,-15.7,-1,-1,-1,-1,
5224.462738N,00220.616572W,41.71,09:30:00.19,11.56,2.55,16.42,5.17,-3.42,-15.84,-1,-1,-1,-1,
5224.462699N,00220.616574W,41.72,09:30:01.09,11.6,2.56,16.45,5.15,-3.11,-15.88,-1,-1,-1,-1,
5224.462699N,00220.616590W,41.74,09:30:02.14,11.47,2.54,16.49,5.15,-3.03,-15.14,-1,-1,-1,-1,
5224.462694N,00220.616566W,41.74,09:30:03.19,11.71,2.55,16.6,5.18,-2.75,-13.63,-1,-1,-1,-1,
5224.462677N,00220.616562W,41.74,09:30:04.09,11.54,2.55,16.55,5.13,-2.67,-14.7,-1,-1,-1,-1,
5224.462717N,00220.616592W,41.71,09:30:05.14,11.38,2.5,16.54,5.17,-2.6,-14.51,-1,-1,-1,-1,
5224.462732N,00220.616595W,41.71,09:30:06.19,10.94,2.47,16.3,5.16,-3.73,-18.37,-1,-1,-1,-1,
5224.462750N,00220.616616W,41.71,09:30:07.09,10.44,2.55,16.46,5.31,-4.75,-21.77,-1,-1,-1,-1,
5224.462733N,00220.616605W,41.72,09:30:08.14,11.6,2.55,17.19,5.39,-3.13,-11.24,-1,-1,-1,-1,
5224.462730N,00220.616614W,41.72,09:30:09.04,9.94,2.57,16.89,5.31,-2.39,-11.04,-1,-1,-1,-1,
5224.462699N,00220.616632W,41.74,09:30:10.09,13.63,2.6,16.89,5.3,-2.1,-11.33,-1,-1,-1,-1,
5224.462686N,00220.616598W,41.74,09:30:11.14,13.44,2.58,16.76,5.31,-2.42,-11.83,-1,-1,-1,-1,
5224.462682N,00220.616610W,41.74,09:30:12.04,15.45,2.55,16.77,5.3,-2.5,-12.03,-1,-1,-1,-1,
5224.462668N,00220.616593W,41.72,09:30:13.09,4.23,2.32,17.03,5.35,-2.31,-10.49,-1,-1,-1,-1,
5224.462679N,00220.616617W,41.73,09:30:14.14,-0.72,2.23,17.01,5.39,-1.75,-9.06,-1,-1,-1,-1,
5224.462688N,00220.616608W,41.74,09:30:15.04,5.76,2.36,17.01,5.36,-1.32,-8.21,-1,-1,-1,-1,
5224.462683N,00220.616591W,41.74,09:30:16.09,6.17,2.36,17.1,5.37,-1.09,-7.85,-1,-1,-1,-1,
5224.462692N,00220.616610W,41.76,09:30:17.14,7.65,2.4,16.86,5.4,-1.43,-8.9,-1,-1,-1,-1,
5224.462706N,00220.616636W,41.77,09:30:18.04,9.27,2.42,17.03,5.34,-1.58,-9.02,-1,-1,-1,-1,
5224.462683N,00220.616576W,41.77,09:30:19.09,8.98,2.41,17.12,5.43,-1.27,-7.43,-1,-1,-1,-1,
5224.462685N,00220.616581W,41.78,09:30:20.14,9.13,2.4,17.13,5.43,-1.02,-6.13,-1,-1,-1,-1,
5224.462708N,00220.616596W,41.77,09:30:21.04,11.42,2.44,17.08,5.42,-1.02,-6.49,-1,-1,-1,-1,
5224.462717N,00220.616626W,41.77,09:30:22.09,13.11,2.48,17.07,5.4,-1.25,-7.27,-1,-1,-1,-1,
5224.462704N,00220.616594W,41.77,09:30:23.14,14.83,2.51,17.12,5.42,-1.17,-7.45,-1,-1,-1,-1,
5224.462690N,00220.616579W,41.77,09:30:24.04,16.55,2.54,17.17,5.37,-0.95,-6.94,-1,-1,-1,-1,
5224.462699N,00220.616590W,41.78,09:30:25.09,15.06,2.45,16.92,5.33,-1.4,-8.37,-1,-1,-1,-1,
5224.462708N,00220.616599W,41.78,09:30:26.14,13.69,2.58,16.99,5.31,-1.51,-8.25,-1,-1,-1,-1,
5224.462720N,00220.616587W,41.78,09:30:27.04,13.7,2.7,17.12,5.38,-1.21,-7.24,-1,-1,-1,-1,
5224.462721N,00220.616583W,41.79,09:30:28.09,13.78,2.71,17.15,5.43,-0.99,-6.63,-1,-1,-1,-1,
5224.462699N,00220.616582W,41.79,09:30:29.14,11.55,2.68,16.18,5.24,-3.11,-17.15,-1,-1,-1,-1,
5224.462696N,00220.616588W,41.78,09:30:30.04,11.27,2.64,16.77,5.37,-2.99,-12.68,-1,-1,-1,-1,
5224.462712N,00220.616558W,41.77,09:30:31.09,9.27,2.59,16.33,5.29,-4.25,-19.31,-1,-1,-1,-1,
5224.462699N,00220.616562W,41.8,09:30:32.14,9.34,2.6,17.07,5.48,-2.92,-11.71,-1,-1,-1,-1,
5224.462659N,00220.616536W,41.76,09:30:33.04,9.27,2.62,16.28,5.28,-3.66,-16.09,-1,-1,-1,-1,
5224.462794N,00220.616579W,41.74,09:30:34.09,8.29,2.59,15.68,5.27,-3.08,-20.39,-1,-1,-1,-1,
5224.462773N,00220.616674W,41.66,09:30:35.14,7.87,2.57,15.31,5.19,-1.49,-18.86,-1,-1,-1,-1,
5224.462845N,00220.616709W,41.68,09:30:36.04,7.62,2.55,13.76,4.85,-0.71,-18.26,-1,-1,-1,-1,
5224.462863N,00220.616722W,41.67,09:30:37.09,7.69,2.53,13.2,5.11,-0.6,-17.71,-1,-1,-1,-1,
5224.462863N,00220.616706W,41.66,09:30:38.14,7.28,2.56,12.51,5.13,1.34,-15.76,-1,-1,-1,-1,
5224.462875N,00220.616640W,41.63,09:30:39.03,7.59,2.69,14.03,5.17,1.41,-21.3,-1,-1,-1,-1,
5224.463176N,00220.616400W,41.62,09:30:40.09,8.21,2.64,14.81,5.05,6.26,-5.98,11.27,0.73,3,29.3,
5224.463350N,00220.616042W,41.6,09:30:41.14,8.14,2.62,13.86,4.38,11.72,1.54,1.96,14.71,0.5,10.5,
5224.463564N,00220.615713W,41.62,09:30:42.04,7.9,2.67,13.05,4,14.7,6.5,2.88,21.96,1,6.6,
5224.463915N,00220.615396W,41.56,09:30:43.09,8.11,2.79,12.57,4.22,15.68,8.96,1.58,25.84,1.2,2.7,
5224.464151N,00220.615216W,41.5,09:30:44.14,7.63,2.91,11.94,4.39,15.03,7.29,1.51,24.77,1.2,2.1,
5224.464203N,00220.615243W,41.47,09:30:45.04,7.68,2.92,12.18,4.42,15.23,7.67,1.53,25.1,1.2,2,
5224.464282N,00220.615198W,41.38,09:30:46.09,7.6,2.91,12.15,4.4,15.42,7.89,1.55,25.41,1.2,2.5,
5224.464311N,00220.615191W,41.33,09:30:47.14,7.47,2.9,11.32,4.19,15.15,7.86,3.59,53.8,3.5,4,
5224.464317N,00220.615186W,41.31,09:30:48.04,8.01,2.88,12.48,4.6,16.21,7.84,1.63,26.72,1.2,2.8,
5224.464286N,00220.615178W,41.34,09:30:49.09,8.06,2.91,12.08,4.48,16,8.04,1.61,26.37,1.2,3.2,
5224.464286N,00220.615148W,41.41,09:30:50.13,8.18,2.94,12.18,4.56,15.65,8.21,1.58,25.79,1.2,3.5,
5224.464236N,00220.614916W,41.64,09:30:51.04,8.28,2.95,12.24,4.46,15.26,7.98,4.16,27.59,1.7,2.2,
5224.464185N,00220.614972W,41.58,09:30:52.08,8.92,2.97,13.21,4.44,16.14,7.88,4.4,29.18,1.7,1.9,
5224.464057N,00220.614913W,41.63,09:30:53.13,9.21,2.97,13.31,4.53,16.15,8.39,4.4,29.2,1.7,1.9,
5224.464058N,00220.614846W,41.68,09:30:54.03,8.97,2.96,13.31,4.4,16.34,8.37,4.46,29.55,1.7,1.8,
5224.464111N,00220.614872W,41.77,09:30:55.09,9.23,2.95,13.89,4.4,17.12,8.49,4.67,30.96,1.7,2.2,
5224.464035N,00220.614719W,42.11,09:30:56.14,9.24,2.99,13.57,4.56,16.76,8.94,4.57,30.3,1.7,1.4,
5224.464072N,00220.614816W,41.86,09:30:57.04,9.2,2.99,13.52,4.45,16.73,8.57,4.56,30.25,1.7,1.4,
5224.464073N,00220.614801W,41.82,09:30:58.09,9.26,2.96,13.44,4.46,16.42,8.71,4.48,29.69,1.7,1.2,
5224.464075N,00220.614762W,41.77,09:30:59.14,9.07,2.94,13.02,4.38,15.85,8.72,4.32,28.66,1.7,2,
5224.464098N,00220.614707W,41.73,09:31:00.04,9.76,2.91,14.27,4.42,17.52,9.32,4.78,31.68,1.7,1.4,
5224.464082N,00220.614721W,41.72,09:31:01.08,9.61,2.9,14.1,4.42,17.4,9.75,4.75,31.46,1.7,1.5,
5224.464075N,00220.614780W,42.1,09:31:02.14,9.69,2.88,13.96,4.4,17.3,9.79,4.72,31.28,1.7,0.8,
5224.464075N,00220.614662W,42.08,09:31:03.04,9.61,2.86,14.07,4.32,17.8,9.78,4.85,32.19,1.7,1.9,
5224.464076N,00220.614696W,42.32,09:31:04.09,9.69,2.87,14.37,4.43,18.12,10.29,4.94,32.76,1.7,2.2,
5224.464147N,00220.614730W,42.45,09:31:05.14,9.67,2.87,14.16,4.41,17.56,10.12,4.79,31.75,1.7,1.5,
5224.464177N,00220.614784W,42.49,09:31:06.04,9.65,2.89,14.27,4.47,17.88,10.3,4.88,32.33,1.7,1.9,
5224.464103N,00220.614695W,42.46,09:31:07.09,9.13,2.89,13.54,4.43,16.99,9.85,4.63,30.72,1.7,1.7,
5224.464047N,00220.614731W,42.41,09:31:08.14,9.33,2.87,13.71,4.37,17.21,9.65,4.69,31.12,1.7,1.5,
5224.463975N,00220.614763W,42.38,09:31:09.03,9.5,2.89,14.09,4.44,17.76,10.05,4.84,32.11,1.7,2.1,
5224.463982N,00220.614864W,42.32,09:31:10.08,9.69,2.91,14.29,4.55,17.91,10.43,4.88,32.38,1.7,1.8,
5224.464075N,00220.614709W,42.25,09:31:11.13,9.44,2.9,13.78,4.49,16.86,10.04,4.6,30.49,1.7,1.1,
5224.464046N,00220.614613W,42.06,09:31:12.03,9.5,2.89,13.78,4.37,17.28,9.64,4.71,31.24,1.7,1.1,
5224.464009N,00220.614641W,41.87,09:31:13.08,9.45,2.89,13.74,4.39,17.41,9.81,4.75,31.48,1.7,1.7,
5224.464033N,00220.614638W,41.81,09:31:14.13,9.79,2.87,14.2,4.35,17.86,9.59,4.87,32.29,1.7,1.2,
5224.464058N,00220.614692W,41.81,09:31:15.03,10.34,2.88,15.13,4.53,19.08,10.64,5.2,34.5,1.7,2.1,
5224.464101N,00220.614612W,41.8,09:31:16.08,10.5,2.9,14.72,4.57,17.82,10.69,4.86,32.22,1.7,3,
5224.464095N,00220.614641W,41.86,09:31:17.13,10.14,2.89,14.56,4.46,17.98,10.25,4.9,32.51,1.7,1,
5224.464046N,00220.614689W,41.82,09:31:18.03,10.19,2.89,14.87,4.54,18.61,10.3,5.08,33.65,1.7,1.7,
5224.464073N,00220.614619W,41.82,09:31:19.08,9.54,2.9,13.4,4.53,16.65,10.28,4.54,30.11,1.7,1.1,
5224.464074N,00220.614609W,41.82,09:31:20.13,9.41,2.89,13.62,4.41,16.98,9.71,4.63,30.7,1.7,0.9,
5224.464060N,00220.614622W,41.82,09:31:21.03,9.27,2.88,13.68,4.33,17.01,9.55,4.64,30.76,1.7,1.5,
5224.464050N,00220.614636W,41.82,09:31:22.08,9.15,2.86,13.84,4.29,17.11,9.31,4.67,30.94,1.7,2.4,
5224.464052N,00220.614641W,41.83,09:31:23.13,9.39,2.86,14.46,4.38,18.35,9.79,1.85,30.24,1.2,2.4,
5224.464050N,00220.614637W,41.84,09:31:24.03,9.34,2.86,14.15,4.33,17.7,9.81,1.78,29.17,1.2,3.1,
5224.464040N,00220.614638W,41.85,09:31:25.07,9.39,2.87,14.13,4.38,17.74,9.96,1.79,29.24,1.2,3.1,
5224.464035N,00220.614650W,41.85,09:31:26.12,9.25,2.86,13.96,4.39,17.71,10.05,1.78,29.19,1.2,2.8,
5224.464045N,00220.614656W,41.85,09:31:27.02,9.17,2.85,13.41,4.35,16.99,9.93,4.63,30.72,1.7,1.7,
5224.464041N,00220.614673W,41.84,09:31:28.07,9.36,2.86,13.62,4.37,17.57,9.9,4.79,31.77,1.7,3,
5224.464041N,00220.614673W,41.84,09:31:28.97,9.36,2.85,13.44,4.4,17.53,9.88,4.78,31.7,1.7,3.2,
5224.464045N,00220.614667W,41.85,09:31:30.03,9.61,2.85,13.56,4.39,17.95,9.83,4.9,32.46,1.7,3.8,
5224.464056N,00220.614710W,41.84,09:31:31.08,9.74,2.86,14.17,4.4,18.18,10.15,4.96,32.87,1.7,2.8,
5224.464056N,00220.614710W,41.84,09:31:31.98,9.62,2.86,14.32,4.32,18.13,10.29,1.83,29.88,1.2,3.4,
5224.464056N,00220.614686W,41.84,09:31:33.03,9.42,2.86,14.08,4.32,17.5,10.19,4.77,31.64,1.7,2.1,
5224.464060N,00220.614744W,41.81,09:31:34.08,9.74,2.82,14.77,4.3,18.84,10.54,1.9,31.05,1.2,3,
5224.464060N,00220.614744W,41.81,09:31:34.98,9.91,2.83,15.07,4.38,19.16,11.28,1.93,31.58,1.2,3,
5224.464067N,00220.614711W,41.78,09:31:36.03,9.53,2.83,14.38,4.29,18.27,10.72,1.84,30.11,1.2,3,
5224.464081N,00220.614743W,41.76,09:31:37.08,9.36,2.86,14.2,4.36,17.97,10.3,1.81,29.62,1.2,2.8,
5224.464081N,00220.614743W,41.76,09:31:37.98,9.79,2.88,14.56,4.44,18,10.51,4.91,32.55,1.7,2.1,
5224.464092N,00220.614676W,41.75,09:31:39.03,9.68,2.9,14.49,4.46,17.97,10.32,4.9,32.49,1.7,2.3,
5224.464078N,00220.614659W,41.87,09:31:40.08,9.77,2.89,14.53,4.43,17.99,10.36,4.91,32.53,1.7,2.1,
5224.464078N,00220.614659W,41.87,09:31:40.98,9.94,2.88,14.62,4.41,17.9,10.39,4.88,32.37,1.7,1.7,
5224.464072N,00220.614670W,41.85,09:31:42.03,9.87,2.89,14.62,4.42,18.21,10.38,4.97,32.93,1.7,2.1,
5224.464085N,00220.614730W,41.83,09:31:43.08,9.64,2.86,14.44,4.36,18.11,10.41,1.83,29.85,1.2,3.4,
5224.464085N,00220.614730W,41.83,09:31:43.98,9.25,2.83,14.2,4.31,18.03,10.67,1.82,29.72,1.2,2.4,
5224.464082N,00220.614745W,41.82,09:31:45.03,9.54,2.81,14.55,4.29,18.46,11.05,1.86,30.42,1.2,2.7,
5224.464098N,00220.614747W,41.8,09:31:46.08,9.92,2.81,15,4.33,18.76,11.36,1.89,30.92,1.2,3.5,
5224.464098N,00220.614747W,41.8,09:31:46.98,9.45,2.82,14.37,4.26,18.47,10.5,1.86,30.44,1.2,2.9,
5224.464087N,00220.614764W,41.8,09:31:48.03,9.83,2.81,15.03,4.36,18.7,11.17,1.88,30.82,1.2,3.4,
5224.464129N,00220.614835W,41.78,09:31:49.08,10.13,2.8,15.5,4.39,19.26,11.75,1.94,31.74,1.2,3.7,
5224.464129N,00220.614835W,41.78,09:31:49.98,9.62,2.79,14.67,4.28,18.46,11.56,1.86,30.42,1.2,2.7,
5224.464089N,00220.614796W,41.8,09:31:51.03,9.92,2.78,15.03,4.29,18.75,11.69,1.89,30.9,1.2,3.6,
5224.464092N,00220.614779W,41.77,09:31:52.08,9.72,2.78,15,4.29,19.04,11.62,1.92,31.38,1.2,2.5,
5224.464092N,00220.614779W,41.77,09:31:52.98,9.79,2.8,14.96,4.32,18.83,11.42,1.9,31.03,1.2,2.8,
5224.464099N,00220.614755W,41.77,09:31:54.03,9.86,2.8,14.98,4.32,18.93,11.1,1.91,31.2,1.2,3,
5224.464118N,00220.614756W,41.78,09:31:55.08,10.13,2.81,15.12,4.37,19.14,11.43,1.93,31.54,1.2,3.6,
5224.464118N,00220.614756W,41.78,09:31:55.98,9.84,2.81,14.87,4.37,18.67,11.55,1.88,30.77,1.2,3.2,
5224.464115N,00220.614772W,41.77,09:31:57.03,9.8,2.8,14.84,4.38,18.75,11.39,1.89,30.9,1.2,3,
5224.464104N,00220.614764W,41.79,09:31:58.08,9.57,2.75,14.78,4.34,18.84,11.33,1.9,31.05,1.2,2.4,
5224.464104N,00220.614764W,41.79,09:31:58.98,9.08,2.67,14.67,4.37,18.61,11.43,1.88,30.67,1.2,2.8,
5224.464112N,00220.614771W,41.78,09:32:00.03,9.16,2.67,14.88,4.31,18.85,11.35,1.9,31.07,1.2,2.9,
5224.464107N,00220.614786W,41.79,09:32:01.08,9.3,2.66,15.24,4.32,19.45,11.56,1.96,32.06,1.2,3.9,
5224.464107N,00220.614786W,41.79,09:32:01.98,9.1,2.62,14.95,4.33,18.94,11.58,1.91,31.21,1.2,3.4,
5224.464103N,00220.614767W,41.79,09:32:03.03,9.82,2.82,15.1,4.45,19.2,11.69,1.94,31.64,1.2,2.7,
5224.464100N,00220.614763W,41.79,09:32:04.07,9.26,2.69,14.85,4.48,18.77,11.71,1.89,30.93,1.2,2.3,
5224.464100N,00220.614763W,41.79,09:32:04.97,9.33,2.71,14.8,4.33,18.64,11.31,1.88,30.72,1.2,1.7,
5224.464097N,00220.614751W,41.79,09:32:06.02,9.53,2.77,15.01,4.31,18.96,11.38,1.91,31.25,1.2,1.8,
5224.464087N,00220.614722W,41.81,09:32:07.08,9.59,2.8,14.85,4.34,18.9,11.45,1.9,31.15,1.2,2.4,
5224.464087N,00220.614722W,41.81,09:32:07.98,9.54,2.81,14.56,4.24,18.66,11.59,1.88,30.75,1.2,2.8,
5224.464089N,00220.614730W,41.81,09:32:09.03,9.61,2.79,14.74,4.23,18.58,11.39,1.87,30.62,1.2,2.6,
5224.464088N,00220.614769W,41.8,09:32:10.08,9.51,2.77,14.94,4.15,19.12,11.36,1.93,31.51,1.2,2.6,
5224.464088N,00220.614769W,41.8,09:32:10.98,9.43,2.77,14.96,4.21,19.01,11.63,1.92,31.33,1.2,2.4,
5224.464092N,00220.614765W,41.8,09:32:12.03,9.53,2.77,15.06,4.21,19.38,11.69,1.95,31.94,1.2,3.2,
5224.464081N,00220.614757W,41.8,09:32:13.08,9.33,2.79,14.62,4.23,18.97,11.64,1.91,31.26,1.2,3.4,
5224.464081N,00220.614757W,41.8,09:32:13.98,9.5,2.78,14.51,4.31,18.56,11.34,1.87,30.59,1.2,2.7,
5224.464087N,00220.614731W,41.8,09:32:15.02,9.7,2.79,14.97,4.34,18.94,11.23,1.91,31.21,1.2,2.5,
5224.464083N,00220.614773W,41.79,09:32:16.08,9.62,2.78,14.85,4.31,18.74,11.29,1.89,30.89,1.2,2.4,
5224.464083N,00220.614773W,41.79,09:32:16.98,9.38,2.77,14.68,4.24,18.86,11.48,1.9,31.08,1.2,2.6,
5224.464061N,00220.614743W,41.79,09:32:18.01,9.59,2.77,14.86,4.29,19.1,11.61,1.92,31.48,1.2,2.4,
5224.464071N,00220.614746W,41.79,09:32:19.06,9.6,2.79,14.73,4.36,19.15,11.71,1.93,31.56,1.2,2.9,
5224.464071N,00220.614746W,41.79,09:32:19.96,9.05,2.79,13.97,4.3,17.87,11.31,1.8,29.45,1.2,2.2,
5224.464075N,00220.614747W,41.79,09:32:21.01,9.37,2.82,14.47,4.49,18.72,11.57,1.89,30.85,1.2,2.6,
5224.464085N,00220.614773W,41.78,09:32:22.06,9.68,2.84,14.8,4.52,18.91,11.82,1.91,31.17,1.2,2.8,
5224.464085N,00220.614773W,41.78,09:32:22.96,9.74,2.86,14.8,4.69,18.64,12.09,1.88,30.72,1.2,2.9,
5224.464088N,00220.614774W,41.78,09:32:24.02,9.33,2.85,14.33,4.53,18.22,11.46,1.84,30.03,1.2,2.4,
5224.464073N,00220.614752W,41.78,09:32:25.07,9.42,2.82,14.65,4.46,18.74,11.45,1.89,30.89,1.2,2.2,
5224.464073N,00220.614752W,41.78,09:32:25.97,9.93,2.74,15.18,4.3,19.34,12.01,1.95,31.87,1.2,2.9,
5224.464080N,00220.614756W,41.78,09:32:27.02,9.9,2.74,15.04,4.27,19.12,12.02,1.93,31.51,1.2,3.1,
5224.464070N,00220.614723W,41.79,09:32:28.07,9.69,2.75,14.86,4.25,18.77,11.54,1.89,30.93,1.2,2.6,
5224.464070N,00220.614723W,41.79,09:32:28.97,8.99,2.75,14.38,4.39,18.74,11.6,1.89,30.89,1.2,4.3,
5224.464050N,00220.614709W,41.78,09:32:30.01,9.93,2.75,14.64,4.2,18.83,11.36,1.9,31.03,1.2,3.9,
5224.464078N,00220.614729W,41.77,09:32:31.06,9.68,2.76,14.82,4.25,18.91,11.46,1.91,31.17,1.2,2.8,
5224.464078N,00220.614729W,41.77,09:32:31.96,9.97,2.78,14.92,4.38,18.95,11.62,1.91,31.23,1.2,3.5,
5224.464090N,00220.614734W,41.76,09:32:33.01,9.59,2.76,14.8,4.32,18.73,11.47,1.89,30.87,1.2,2.4,
5224.464084N,00220.614739W,41.77,09:32:34.06,9.64,2.74,14.71,4.22,18.75,11.28,1.89,30.9,1.2,2.8,
5224.464084N,00220.614739W,41.77,09:32:34.96,10.18,2.75,15.08,4.25,19.19,11.59,1.93,31.63,1.2,3.9,
5224.464088N,00220.614748W,41.77,09:32:36.02,10.08,2.69,15.25,4.05,19.04,11.3,1.92,31.38,1.2,3.6,
5224.464103N,00220.614761W,41.74,09:32:37.07,9.47,2.63,14.52,3.79,18.21,10.6,1.84,30.01,1.2,2.7,
5224.464103N,00220.614761W,41.74,09:32:37.97,9.73,2.57,14.84,3.58,18.99,10.25,1.91,31.3,1.2,2.9,
5224.464098N,00220.614762W,41.76,09:32:39.02,9.62,2.5,14.67,3.28,18.52,9.92,1.87,30.52,1.2,2.8,
5224.464100N,00220.614791W,41.75,09:32:40.06,9.6,2.46,14.52,3.07,18.48,9.33,1.86,30.46,1.2,3,
5224.464100N,00220.614791W,41.75,09:32:40.96,9.81,2.44,15.03,3.02,19.53,9.32,1.97,32.19,1.2,2.9,
5224.464086N,00220.614776W,41.75,09:32:42.02,9.41,2.45,14.58,3.05,18.73,9.26,1.89,30.87,1.2,2.3,
5224.464112N,00220.614780W,41.76,09:32:43.06,9.66,2.43,14.79,3,18.8,9.19,1.89,30.98,1.2,2.7,
5224.464112N,00220.614780W,41.76,09:32:43.96,9.76,2.43,15,2.95,18.98,9.19,1.91,31.28,1.2,2.6,
5224.464116N,00220.614796W,41.75,09:32:45.01,9.81,2.43,15.38,2.97,19.36,9.17,1.95,31.91,1.2,2.1,
5224.464118N,00220.614811W,41.74,09:32:45.92,9.9,2.44,15.2,3.1,19.21,9.64,1.94,31.66,1.2,2.7,
5224.464120N,00220.614800W,41.75,09:32:46.96,9.75,2.43,14.94,2.99,18.75,9.33,1.89,30.9,1.2,2.8,
5224.464118N,00220.614798W,41.75,09:32:48.02,9.78,2.43,15.02,2.9,19.04,9.26,1.92,31.38,1.2,2.7,
5224.464115N,00220.614798W,41.74,09:32:48.91,9.67,2.44,14.94,2.98,19.1,9.41,1.92,31.48,1.2,2.5,
5224.464112N,00220.614793W,41.74,09:32:49.97,9.43,2.43,14.5,2.97,18.38,9.22,1.85,30.29,1.2,2.4,
5224.464114N,00220.614809W,41.74,09:32:51.01,9.59,2.43,14.76,2.92,18.54,9.14,1.87,30.56,1.2,2.6,
5224.464115N,00220.614796W,41.76,09:32:51.92,9.52,2.42,14.41,2.89,18.38,8.83,1.85,30.29,1.2,3,
5224.464133N,00220.614638W,41.75,09:32:52.97,9.33,2.4,14.05,2.89,17.64,8.36,1.78,29.07,1.2,3,
5224.464131N,00220.614562W,41.73,09:32:54.02,9.26,2.44,13.92,2.91,17.79,7.91,1.79,29.32,1.2,3,
5224.464124N,00220.614606W,41.75,09:32:54.92,8.72,2.52,14.19,2.96,17.87,8.01,1.8,29.45,1.2,2.3,
5224.464099N,00220.614710W,41.74,09:32:55.97,6.29,2.49,13.95,3.05,17.7,8.26,0.42,41.13,1.8,8.6,
5224.464079N,00220.614668W,41.75,09:32:57.01,7.01,2.52,13.52,2.96,16.98,7.85,0.5,34.43,1.6,6.2,
5224.464092N,00220.614663W,41.76,09:32:57.91,7.6,2.51,13.76,2.91,17.82,7.65,0.74,32.01,1.3,5.9,
5224.464048N,00220.614669W,41.76,09:32:58.96,8.04,2.53,13.69,2.97,17.93,8.08,0.74,32.21,1.3,4.8,
5224.464059N,00220.614685W,41.76,09:33:00.01,4.22,2.43,13.38,2.95,16.75,8.05,0.2,65.54,3,19.2,
5224.464081N,00220.614644W,41.76,09:33:00.92,6.67,2.52,14.41,3.02,18.43,8.27,0.44,42.83,1.8,9.6,
5224.464071N,00220.614669W,41.75,09:33:01.97,7.95,2.61,14.7,3.03,18.82,8.48,0.56,38.16,1.6,8,
5224.464081N,00220.614662W,41.75,09:33:03.02,8.39,2.55,14.3,3.08,18.26,8.48,0.76,32.8,1.3,4.8,
5224.464077N,00220.614672W,41.74,09:33:03.92,9.21,2.54,14.91,3.14,19.25,8.56,1.94,31.73,1.2,4.2,
5224.464078N,00220.614675W,41.74,09:33:04.97,8.03,2.53,14.09,3.15,18.07,8.73,0.75,32.46,1.3,4.3,
5224.464074N,00220.614659W,41.74,09:33:06.02,8.65,2.57,13.82,3.07,17.61,8.34,1.77,29.02,1.2,2.4,
5224.464073N,00220.614655W,41.73,09:33:06.92,7.82,2.6,14.49,3.08,18.32,8.55,0.76,32.91,1.3,5.2,
5224.464077N,00220.614667W,41.72,09:33:07.97,8.07,2.63,14.25,2.95,18.02,8.23,0.75,32.37,1.3,3.6,
5224.464071N,00220.614667W,41.73,09:33:09.02,8.1,2.68,14.81,3.03,19.05,8.51,0.79,34.22,1.3,6.2,
5224.464073N,00220.614679W,41.72,09:33:09.92,8.24,2.68,14.8,3.1,19.06,8.9,0.79,34.24,1.3,5.6,
5224.464074N,00220.614662W,41.72,09:33:10.97,7.96,2.63,14.57,3.12,18.4,8.7,0.76,33.05,1.3,4.8,
5224.464076N,00220.614696W,41.71,09:33:12.02,5.3,2.51,14.44,3.25,18.27,8.94,0.32,58.6,2.5,16.5,
5224.464072N,00220.614702W,41.72,09:33:12.92,7.88,2.54,14.14,3.09,17.82,8.38,0.74,32.01,1.3,3.8,
5224.464058N,00220.614681W,41.72,09:33:13.97,8.52,2.55,14.75,3.08,18.63,8.29,0.77,33.47,1.3,4.4,
5224.464055N,00220.614706W,41.71,09:33:15.02,8.39,2.57,14.5,3.07,18.47,8.5,0.77,33.18,1.3,4.4,
5224.464062N,00220.614744W,41.7,09:33:15.92,8.59,2.57,14.19,3.04,18.5,8.57,0.77,33.23,1.3,5.9,
5224.464059N,00220.614755W,41.71,09:33:16.97,8.73,2.59,14.63,3.07,19.19,8.85,0.8,34.47,1.3,5.7,
