Latitude,Longitude,Altitude,Time,HCP0.32,HCP0.32_inph,HCP0.71,HCP0.71_inph,HCP1.14,HCP1.14_inph,Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
5224.461265N,00220.673206W,30.52,13:11:43.46,5.5,2.18,7.92,2.89,11.24,5.3,2.82,19.19,3.9,2.4,
5224.461265N,00220.673197W,30.5,13:11:44.36,5.41,2.18,7.89,2.89,11.19,5.3,2.81,19.1,3.9,2.8,
5224.461270N,00220.673193W,30.48,13:11:45.41,5.49,2.18,7.9,2.92,11.48,5.21,2.88,19.6,3.9,3.9,
5224.461274N,00220.673185W,30.47,13:11:46.46,5.44,2.18,7.92,2.92,11.25,5.29,2.82,19.2,3.9,2.8,
5224.461271N,00220.673189W,30.46,13:11:47.36,5.51,2.18,8,2.88,11.4,5.3,2.86,19.46,3.9,2.9,
5224.461253N,00220.673162W,30.45,13:11:48.41,5.34,2.18,7.84,2.88,11.21,5.23,2.81,19.13,3.9,3.6,
5224.461262N,00220.673164W,30.45,13:11:49.46,5.12,2.18,7.43,2.88,10.45,5.2,2.62,17.84,3.9,2.8,
5224.461246N,00220.673146W,30.46,13:11:50.36,5.1,2.18,7.67,2.92,10.99,5.32,1.75,17.1,3.1,2.2,
5224.461259N,00220.673151W,30.45,13:11:51.41,5.31,2.18,7.96,2.89,11.39,5.25,1.81,17.73,3.1,2.1,
5224.461250N,00220.673152W,30.45,13:11:52.46,5.31,2.17,7.85,2.87,11.3,5.17,1.8,17.59,3.1,2.6,
5224.461248N,00220.673157W,30.44,13:11:53.36,5.27,2.17,7.73,2.84,11.21,5.19,1.78,17.45,3.1,2.9,
5224.461257N,00220.673154W,30.43,13:11:54.41,5.29,2.18,7.82,2.87,11.31,5.19,1.8,17.6,3.1,2.6,
5224.461263N,00220.673156W,30.43,13:11:55.46,5.2,2.18,7.64,2.9,11.04,5.24,1.76,17.18,3.1,2.9,
5224.461265N,00220.673157W,30.43,13:11:56.36,5.28,2.18,7.81,2.89,11.19,5.21,1.78,17.41,3.1,2.6,
5224.461269N,00220.673160W,30.43,13:11:57.41,5.36,2.18,7.95,2.92,11.34,5.34,1.8,17.65,3.1,2.4,
5224.461248N,00220.673171W,30.42,13:11:58.46,5.21,2.18,7.76,2.88,11.08,5.27,1.76,17.24,3.1,2.4,
5224.461257N,00220.673175W,30.42,13:11:59.36,5.18,2.17,7.57,2.87,10.92,5.23,1.74,16.99,3.1,3.2,
5224.461248N,00220.673170W,30.42,13:12:00.40,5.21,2.18,7.82,2.88,11.07,5.25,1.76,17.23,3.1,2.2,
5224.461253N,00220.673168W,30.42,13:12:01.46,5.26,2.18,7.8,2.92,11.22,5.29,1.78,17.46,3.1,2.5,
5224.461260N,00220.673173W,30.43,13:12:02.36,5.35,2.18,7.87,2.91,11.25,5.26,2.82,19.2,3.9,3.6,
5224.461257N,00220.673179W,30.41,13:12:03.41,5.4,2.18,7.77,2.85,11.21,5.13,2.81,19.13,3.9,3.5,
5224.461248N,00220.673165W,30.42,13:12:04.46,5.26,2.18,7.77,2.9,11.15,5.33,1.77,17.35,3.1,2.7,
5224.461229N,00220.673159W,30.42,13:12:05.36,5.15,2.18,7.46,2.88,10.99,5.27,1.75,17.1,3.1,3.5,
5224.461218N,00220.673180W,30.41,13:12:06.41,5.14,2.18,7.59,2.84,11,5.15,1.75,17.12,3.1,2.8,
5224.461219N,00220.673173W,30.41,13:12:07.46,5.04,2.18,7.55,2.87,10.87,5.15,1.73,16.92,3.1,2.4,
5224.461216N,00220.673158W,30.4,13:12:08.36,5.17,2.18,7.72,2.88,11.03,5.21,1.75,17.17,3.1,2.4,
5224.461226N,00220.673155W,30.41,13:12:09.40,5.22,2.18,7.76,2.84,11.16,5.19,1.77,17.37,3.1,2.5,
5224.461229N,00220.673163W,30.41,13:12:10.46,5.15,2.18,7.58,2.87,11.01,5.25,1.75,17.13,3.1,2.9,
5224.461246N,00220.673175W,30.41,13:12:11.36,5.21,2.18,7.72,2.9,11.16,5.3,1.77,17.37,3.1,2.6,
5224.461245N,00220.673175W,30.41,13:12:12.41,5.2,2.18,7.67,2.89,11.06,5.21,1.76,17.21,3.1,2.8,
5224.461227N,00220.673137W,30.4,13:12:13.46,5.2,2.18,7.7,2.89,11.03,5.22,1.75,17.17,3.1,2.7,
5224.461238N,00220.673169W,30.4,13:12:14.36,5.31,2.18,7.88,2.86,11.24,5.23,1.79,17.49,3.1,2.5,
5224.461232N,00220.673184W,30.4,13:12:15.41,5.24,2.17,7.74,2.85,11.08,5.2,1.76,17.24,3.1,2.7,
5224.461263N,00220.673178W,30.41,13:12:16.46,5.19,2.18,7.79,2.88,11.44,5.29,1.82,17.8,3.1,2.1,
5224.461174N,00220.673168W,30.39,13:12:17.36,5.08,2.18,7.4,2.85,10.93,5.15,1.74,17.01,3.1,3.3,
5224.461216N,00220.673181W,30.41,13:12:18.41,5.14,2.19,7.66,2.85,11.38,5.22,1.81,17.71,3.1,2.3,
5224.461236N,00220.673156W,30.41,13:12:19.46,4.91,2.19,7.52,2.86,10.95,5.21,1.74,17.04,3.1,1.7,
5224.461236N,00220.673231W,30.4,13:12:20.36,5.02,2.19,7.41,2.85,10.81,5.2,1.72,16.82,3.1,2.9,
5224.461270N,00220.673276W,30.41,13:12:21.41,5.01,2.19,7.53,2.86,10.77,5.11,1.71,16.76,3.1,2.4,
5224.461378N,00220.673331W,30.43,13:12:22.46,5.01,2.18,7.52,2.79,10.88,4.94,1.73,16.93,3.1,2.3,
5224.461438N,00220.673416W,30.41,13:12:23.36,5,2.18,7.49,2.8,10.92,4.95,1.74,16.99,3.1,2.4,
5224.461448N,00220.673381W,30.43,13:12:24.40,4.93,2.18,7.44,2.82,10.85,5.01,1.72,16.89,3.1,2.2,
5224.461427N,00220.673379W,30.43,13:12:25.46,5.1,2.19,7.65,2.85,10.99,5.12,1.75,17.1,3.1,2.3,
5224.461429N,00220.673358W,30.45,13:12:26.36,5.2,2.19,7.73,2.82,11.06,5.02,1.76,17.21,3.1,2.5,
5224.461417N,00220.673361W,30.45,13:12:27.40,5.15,2.18,7.44,2.8,10.65,4.96,2.67,18.18,3.9,3.5,
5224.461418N,00220.673362W,30.45,13:12:28.46,5.08,2.18,7.58,2.82,10.91,5.05,1.73,16.98,3.1,2.5,
5224.461376N,00220.673180W,30.47,13:12:29.36,5.02,2.18,7.61,2.81,11.21,5.06,1.78,17.45,3.1,1.9,
5224.461557N,00220.673187W,30.44,13:12:30.41,5.12,2.18,7.57,2.81,11.04,5.01,1.76,17.18,3.1,2.7,
5224.461512N,00220.673105W,30.46,13:12:31.46,5.23,2.18,7.8,2.84,11.17,5.03,1.78,17.38,3.1,2.4,
5224.461503N,00220.673072W,30.48,13:12:32.36,5.3,2.18,7.92,2.8,11.34,4.99,1.8,17.65,3.1,2.2,
5224.461672N,00220.673139W,30.46,13:12:33.41,5.31,2.18,7.6,2.77,10.77,4.84,2.7,18.38,3.9,2.4,
5224.461576N,00220.672667W,30.45,13:12:34.46,4.94,2.19,7.43,2.82,10.78,4.94,1.71,16.78,3.1,2.3,
5224.461773N,00220.672208W,30.47,13:12:35.36,4.99,2.2,7.41,2.79,10.99,4.89,1.75,17.1,3.1,2.7,
5224.461829N,00220.671467W,30.43,13:12:36.41,5.18,2.2,7.61,2.83,10.95,4.93,1.74,17.04,3.1,3,
5224.461735N,00220.670687W,30.45,13:12:37.45,5.13,2.21,7.67,2.82,11.11,4.86,1.77,17.29,3.1,2.3,
5224.461585N,00220.669706W,30.43,13:12:38.36,5.27,2.2,7.9,2.8,11.34,4.86,1.8,17.65,3.1,2.1,
5224.461319N,00220.668821W,30.35,13:12:39.40,5.32,2.21,7.93,2.8,11.53,5.01,1.83,17.94,3.1,2.2,
5224.461111N,00220.667918W,30.37,13:12:40.46,5.59,2.21,8.21,2.75,11.8,4.93,1.88,18.36,3.1,2.5,
5224.460864N,00220.666953W,30.42,13:12:41.36,5.42,2.23,8.37,2.79,11.94,4.95,1.9,18.58,3.1,0.8,
5224.460645N,00220.666126W,30.44,13:12:42.40,5.44,2.25,8.5,2.81,12.19,4.99,1.94,18.97,3.1,0.7,
5224.460326N,00220.665127W,30.45,13:12:43.46,6,2.24,9.08,2.84,12.7,5.03,2.02,19.76,3.1,2.4,
5224.460044N,00220.664164W,30.41,13:12:44.36,6.66,2.22,9.65,2.85,12.92,5.17,3.24,22.05,3.9,4,
5224.459784N,00220.663235W,30.34,13:12:45.40,7.24,2.23,10.25,2.86,13.31,5.14,4.23,16.48,2.5,3.8,
5224.459556N,00220.662276W,30.34,13:12:46.31,7.91,2.22,10.86,2.88,13.93,5.16,4.43,17.25,2.5,2.8,
5224.459234N,00220.661361W,30.38,13:12:47.36,8.32,2.21,11.05,2.83,14.08,5.19,4.48,17.44,2.5,3.9,
5224.458840N,00220.660499W,30.45,13:12:48.41,8.23,2.24,11.15,2.86,14.23,5.27,4.52,17.62,2.5,3.3,
5224.458412N,00220.659685W,30.53,13:12:49.31,8.08,2.23,11.29,2.87,14.61,5.19,2.69,15.76,1.6,3.5,
5224.457957N,00220.658907W,30.48,13:12:50.35,7.71,2.22,11.13,2.9,15.02,5.26,3.83,29.12,4.1,3.9,
5224.457510N,00220.658299W,30.57,13:12:51.41,7.4,2.23,10.78,2.9,14.67,5.23,3.74,28.44,4.1,3.2,
5224.457058N,00220.657769W,30.65,13:12:52.31,7.13,2.23,10.69,2.89,14.65,5.29,3.73,28.4,4.1,3.9,
5224.456644N,00220.657236W,30.77,13:12:53.35,6.88,2.23,10.31,2.86,14.51,5.2,2.24,23.91,3.2,2.9,
5224.456284N,00220.656721W,30.79,13:12:54.40,6.76,2.23,9.97,2.89,13.9,5.37,3.49,23.73,3.9,3.3,
5224.455891N,00220.656284W,30.81,13:12:55.31,6.9,2.23,10.21,2.83,14.41,5.16,3.67,27.93,4.1,3.6,
5224.455553N,00220.656314W,30.97,13:12:56.35,6.88,2.22,9.99,2.82,13.98,5.18,3.51,23.86,3.9,2.8,
5224.455079N,00220.656281W,30.96,13:12:57.40,7.33,2.23,10.17,2.89,14.09,5.24,3.54,24.05,3.9,3.7,
5224.454509N,00220.656413W,31.01,13:12:58.31,7.04,2.24,10.04,2.86,13.98,5.21,3.51,23.86,3.9,2.4,
5224.453923N,00220.656635W,31.03,13:12:59.36,6.86,2.24,9.77,2.84,13.94,5.1,3.5,23.79,3.9,2.9,
5224.453307N,00220.656908W,30.95,13:13:00.40,7.34,2.24,10.03,2.87,13.8,5.13,3.46,23.55,3.9,4.5,
5224.452700N,00220.657007W,30.91,13:13:01.31,7.86,2.26,10.59,3.01,13.63,4.17,4.33,16.88,2.5,3.3,
5224.452097N,00220.656990W,30.95,13:13:02.35,8.25,2.27,11.68,3.49,13.21,1.73,1.55,12.82,1,2.2,
5224.451569N,00220.656836W,30.94,13:13:03.41,8.44,2.25,12.91,3.84,22.64,14.74,1.43,113.07,6.2,6.2,
5224.451112N,00220.656679W,30.89,13:13:04.31,8.35,2.26,12.85,3.62,41.38,36.99,0.35,196.07,5.9,24.8,
5224.450634N,00220.656806W,30.92,13:13:05.35,8.45,2.26,12.94,3.65,41.2,33.53,0.35,195.22,5.9,25,
5224.450252N,00220.657085W,31.03,13:13:06.41,8.77,2.25,13.23,3.63,43.41,35.84,0.37,205.69,5.9,25.2,
5224.450046N,00220.657142W,31.1,13:13:07.31,8.89,2.24,12.77,3.33,28.81,15.95,0.77,165.4,6.2,13.2,
5224.449935N,00220.657282W,31.09,13:13:08.36,8.7,2.38,13.17,3.79,18.13,6.23,4.62,35.15,4.1,3.8,
5224.449701N,00220.657670W,30.98,13:13:09.40,45.86,9.31,28.15,12.86,22.64,13.56,100.99,14.93,0.8,1.3,
5224.449431N,00220.657659W,31.01,13:13:10.31,138.47,24.05,64.98,31.89,39.1,32.96,596.16,20.25,0.5,3.4,
5224.449223N,00220.657778W,30.93,13:13:11.36,156.55,25.67,71.21,33.5,42.86,34.44,687.89,25.94,0.5,4.2,
5224.449176N,00220.657975W,30.87,13:13:12.41,224.31,36.47,94.82,46.32,51.82,45.65,1143.56,27.76,0.5,3.4,
5224.449179N,00220.657951W,30.87,13:13:13.31,220.29,35.15,94.44,44.81,51.84,44.54,1144,27.77,0.5,3.9,
5224.449219N,00220.657931W,30.87,13:13:14.35,193.95,29.78,83.17,36.84,46.15,35.93,626.44,20.63,0.7,2.5,
5224.449219N,00220.657928W,30.86,13:13:15.41,202.7,31.6,85.98,39.23,46.99,38.22,1036.97,25.17,0.5,3.1,
5224.449206N,00220.657955W,30.85,13:13:16.31,211.66,33.06,89.5,41.28,48.53,40.44,1070.96,25.99,0.5,3,
5224.449176N,00220.658012W,30.87,13:13:17.36,211.99,33.15,89.81,41.5,48.88,40.65,1078.68,26.18,0.5,3.2,
5224.449148N,00220.658063W,30.91,13:13:18.41,215.29,33.68,90.67,42.02,49.19,41.09,1085.52,26.35,0.5,3,
5224.449140N,00220.658078W,30.94,13:13:19.31,221.49,34.48,92.49,42.77,49.79,41.63,1098.76,26.67,0.5,2.8,
5224.449126N,00220.658110W,30.99,13:13:20.36,223.8,34.67,93.43,43,50.07,41.83,1104.94,26.82,0.5,3.1,
5224.449113N,00220.658122W,31.02,13:13:21.41,231.39,36.06,96.23,44.91,50.84,43.49,623.74,9.01,0.8,2.9,
5224.449131N,00220.658100W,31.04,13:13:22.31,236.57,36.86,98.33,45.87,52.11,44.6,639.32,9.23,0.8,3,
5224.449152N,00220.658079W,31.04,13:13:23.36,235.71,36.67,98.15,45.74,52.11,44.52,1149.96,27.91,0.5,4,
5224.449157N,00220.658070W,31.03,13:13:24.40,232.27,36.16,96.72,44.86,51.51,43.54,1136.72,27.59,0.5,3.7,
5224.449180N,00220.658031W,30.99,13:13:25.31,231.54,36.2,96.48,45.05,51.41,43.84,1134.51,27.54,0.5,3.6,
5224.449213N,00220.658020W,30.99,13:13:26.36,234.42,36.29,96.76,44.71,51.33,43.19,629.75,9.09,0.8,3.2,
5224.449212N,00220.658007W,30.95,13:13:27.41,239.53,37.29,98.87,46.2,52.06,44.63,638.71,9.22,0.8,3.2,
5224.449222N,00220.657986W,30.95,13:13:28.31,235.02,36.6,97.92,45.57,52.01,44.33,1147.76,27.86,0.5,3.9,
5224.449232N,00220.657978W,30.92,13:13:29.36,235.66,36.67,97.78,45.46,51.79,44.12,635.39,9.17,0.8,3,
5224.449220N,00220.658002W,30.89,13:13:30.41,236.63,36.77,98.26,45.56,52.12,44.17,639.44,9.23,0.8,3.1,
5224.449213N,00220.658021W,30.89,13:13:31.31,237.5,36.84,98.21,45.49,52.04,44.07,638.46,9.22,0.8,3.2,
5224.449209N,00220.658018W,30.89,13:13:32.36,234.59,36.04,96.78,44.23,51.27,42.63,629.01,9.08,0.8,3.2,
5224.449208N,00220.658008W,30.87,13:13:33.41,236.23,36.44,97.26,44.87,51.42,43.24,630.85,9.11,0.8,3.2,
5224.449218N,00220.657994W,30.85,13:13:34.31,243.57,37.62,99.76,46.18,52.52,44.54,644.35,9.3,0.8,3.5,
5224.449257N,00220.657996W,30.85,13:13:35.36,234.27,34.95,94.14,41.15,49.05,38.57,1069.92,21.2,0.6,2.9,
5224.449270N,00220.658025W,30.83,13:13:36.41,232.36,34.99,91.68,40,46.77,36.21,1020.19,20.22,0.6,0.8,
5224.449277N,00220.658019W,30.79,13:13:37.31,218.94,33.35,88.44,38.67,45.31,35.19,988.34,19.59,0.6,2.1,
5224.449425N,00220.657656W,30.8,13:13:38.36,134.14,21.52,64.23,28.27,38.85,28.96,592.35,20.12,0.5,4,
5224.449926N,00220.657287W,30.85,13:13:39.40,91.1,15.34,48.57,21.16,32.8,22.78,345.86,20.21,0.6,3.1,
5224.450454N,00220.656910W,30.92,13:13:40.31,42.98,7.4,29.41,11.74,24.73,14.51,197.78,19.22,0.4,3.8,
5224.451050N,00220.656693W,30.93,13:13:41.36,15.62,3.13,16.05,4.99,18.12,7.68,15.04,16.54,2.8,3.8,
5224.451669N,00220.656495W,30.97,13:13:42.40,8.36,2.32,11.41,3.19,15.53,5.69,5.34,29.28,4.5,5.2,
5224.452222N,00220.656298W,30.95,13:13:43.31,7.03,2.25,10.31,2.91,14.63,5.34,3.73,28.36,4.1,3.6,
5224.452825N,00220.656069W,31.06,13:13:44.36,6.76,2.23,10.29,2.9,14.75,5.28,2.27,24.31,3.2,2.2,
5224.453392N,00220.655791W,31.14,13:13:45.41,6.56,2.23,10.32,2.89,14.91,5.3,2.3,24.57,3.2,2.1,
5224.453952N,00220.655333W,31.19,13:13:46.31,6.67,2.23,10.43,2.85,14.96,5.25,2.31,24.66,3.2,1.4,
5224.454408N,00220.655020W,31.23,13:13:47.35,6.75,2.23,10.42,2.84,14.8,5.21,2.28,24.39,3.2,1.7,
5224.454910N,00220.654795W,31.25,13:13:48.40,6.83,2.24,10.54,2.88,15.21,5.34,2.34,25.07,3.2,1.5,
5224.455411N,00220.654709W,31.31,13:13:49.31,6.73,2.23,10.24,2.86,14.89,5.3,2.3,24.54,3.2,2.1,
5224.455927N,00220.654567W,31.4,13:13:50.35,6.7,2.23,10.15,2.84,14.49,5.24,2.23,23.88,3.2,2.4,
5224.456466N,00220.654332W,31.45,13:13:51.40,6.84,2.23,10.3,2.88,14.76,5.34,2.28,24.33,3.2,2.5,
5224.456906N,00220.654035W,31.55,13:13:52.31,6.69,2.23,10.33,2.89,14.74,5.3,2.27,24.29,3.2,1.7,
5224.457354N,00220.653707W,31.72,13:13:53.36,6.64,2.23,10.3,2.86,14.84,5.28,2.29,24.46,3.2,1.5,
5224.457998N,00220.653265W,31.8,13:13:54.25,7.26,2.23,11.13,2.91,15.37,5.37,2.37,25.33,3.2,3,
5224.458595N,00220.652862W,31.77,13:13:55.31,7.27,2.24,11.1,2.87,15.22,5.26,3.88,29.51,4.1,4.3,
5224.459046N,00220.652597W,31.82,13:13:56.36,7.47,2.24,11.35,2.89,15.33,5.34,3.91,29.72,4.1,4,
5224.459541N,00220.652233W,31.84,13:13:57.26,8.47,2.23,12.03,2.86,15.76,5.35,2.9,17,1.6,4.4,
5224.459936N,00220.651980W,31.89,13:13:58.31,8.67,2.23,11.92,2.87,15.72,5.31,2.89,16.96,1.6,3.7,
5224.460213N,00220.651763W,31.87,13:13:59.36,8.65,2.23,12.06,2.87,15.83,5.34,2.91,17.08,1.6,3.8,
5224.460674N,00220.651122W,31.91,13:14:00.26,8.67,2.23,12.21,2.88,16.02,5.38,2.94,17.29,1.6,4.1,
5224.461134N,00220.650647W,31.88,13:14:01.31,8.9,2.23,12.39,2.92,16.19,5.43,2.98,17.47,1.6,3.3,
5224.461643N,00220.650231W,31.96,13:14:02.36,9.28,2.23,12.82,2.9,16.42,5.42,3.02,17.72,1.6,1.9,
5224.462186N,00220.649816W,31.96,13:14:03.26,9.32,2.23,13.24,2.94,16.8,5.45,3.09,18.13,1.6,1.8,
5224.462714N,00220.649406W,31.98,13:14:04.31,9.38,2.24,13.69,2.97,17.45,5.52,3.21,18.83,1.6,3.2,
5224.463318N,00220.648930W,32.03,13:14:05.36,9.68,2.24,14.08,2.94,17.73,5.58,3.26,19.13,1.6,2.4,
5224.463843N,00220.648444W,32.08,13:14:06.26,9.93,2.23,14.31,2.96,17.91,5.6,3.29,19.32,1.6,2,
5224.464361N,00220.648065W,32.13,13:14:07.31,10.51,2.25,14.5,2.95,18.01,5.6,3.31,19.43,1.6,3,
5224.464886N,00220.647773W,32.15,13:14:08.36,11.12,2.39,13.26,2.77,17.64,5.26,7.63,23.01,3,3.2,
5224.465477N,00220.647358W,32.28,13:14:09.25,11.97,2.24,13.66,2.71,17.65,5.19,10.15,57.03,8.4,3.6,
5224.465969N,00220.646964W,32.37,13:14:10.31,10.56,2.27,15.13,3.18,18.63,5.98,3.42,20.1,1.6,2.5,
5224.466543N,00220.646496W,32.5,13:14:11.36,10.66,2.25,15.47,3.08,19.2,5.92,3.53,20.72,1.6,2.6,
5224.467078N,00220.646045W,32.44,13:14:12.26,11.44,2.24,16.43,3.05,20.49,5.93,4.91,24.27,1.9,1.5,
5224.467616N,00220.645635W,32.6,13:14:13.31,11.24,2.22,16.4,3.07,20.94,5.93,5.01,24.8,1.9,2.9,
5224.468069N,00220.645235W,32.7,13:14:14.35,10.66,2.23,16.12,3.09,21.45,5.96,5.5,49.37,4.4,3.9,
5224.468646N,00220.644916W,32.71,13:14:15.25,11.12,2.25,16.62,3.15,21.97,6.19,2.12,26.21,1.7,3.4,
5224.468847N,00220.644989W,32.6,13:14:16.31,11.91,2.26,16.88,3.18,21.98,6.32,5.26,26.04,1.9,2.9,
5224.468922N,00220.644644W,32.62,13:14:17.36,11.79,2.28,16.61,3.21,21.92,5.95,5.25,25.96,1.9,3.7,
5224.469306N,00220.644188W,32.8,13:14:18.26,13.77,2.38,16.57,3.32,21.16,5.07,9.07,28.89,2.9,3.2,
5224.469673N,00220.643870W,32.75,13:14:19.31,19.39,2.73,16.23,3.39,18.96,3.05,53.39,15.96,0.3,5.8,
5224.470070N,00220.643820W,32.68,13:14:20.35,24.6,4.71,12.47,3.6,13.68,-0.81,258.34,9.04,0.3,9.9,
5224.470539N,00220.643565W,32.85,13:14:21.25,30.81,8.23,11,3.5,9.56,-2.98,275.8,4.63,0.3,10.8,
5224.470947N,00220.643213W,33.09,13:14:22.31,23.96,4.38,18.06,3.17,16.42,2.28,35.04,12.07,1.1,1.9,
5224.471289N,00220.642783W,33.36,13:14:23.36,14.61,2.54,18.68,3.32,21.41,5.48,7.37,21.4,1.1,2.7,
5224.471633N,00220.642372W,33.65,13:14:24.25,12.16,2.28,17.52,3.19,22.5,6.01,5.39,26.65,1.9,2.4,
5224.472041N,00220.642026W,33.9,13:14:25.31,11.74,2.29,16.37,3.14,21.97,6.28,7.29,41.16,4,6.9,
5224.472409N,00220.641617W,34.11,13:14:26.36,10.92,2.37,14.82,2.97,21.42,6.03,5.49,49.31,4.4,3,
5224.472802N,00220.641281W,34.33,13:14:27.25,11.23,2.24,15.8,2.91,21.8,5.91,5.59,50.18,4.4,3.1,
5224.473132N,00220.640893W,34.43,13:14:28.31,11.71,2.23,16.44,2.83,22.47,5.82,5.76,51.72,4.4,3.6,
5224.473492N,00220.640557W,34.58,13:14:29.36,11.37,2.24,16.7,2.9,23.2,5.93,5.94,53.4,4.4,2.5,
5224.473796N,00220.640188W,34.77,13:14:30.26,11.69,2.22,17.29,3.1,23.56,6.31,6.04,54.23,4.4,2.6,
5224.474049N,00220.640037W,34.9,13:14:31.31,12.5,2.25,17.89,3.18,23.69,6.3,2.29,28.26,1.7,4.4,
5224.474304N,00220.639778W,35.15,13:14:32.35,11.99,2.36,17.05,3.27,22.78,6.16,5.84,52.44,4.4,4.6,
5224.474550N,00220.639440W,35.35,13:14:33.26,12.01,2.54,17.14,3.4,23.22,5.98,5.95,53.45,4.4,3.4,
5224.474776N,00220.639197W,35.54,13:14:34.31,12.55,2.67,17.06,3.38,22.66,5.71,5.43,26.84,1.9,2.7,
5224.474999N,00220.638848W,35.8,13:14:35.36,12.06,2.43,16.72,3.19,21.64,4.86,5.18,25.63,1.9,1.9,
5224.475270N,00220.638546W,35.96,13:14:36.25,11.86,2.27,17.19,3.08,21.04,4.17,5.04,24.92,1.9,1.7,
5224.475637N,00220.638354W,36.04,13:14:37.31,11.65,2.22,17.24,3.02,22.56,5.73,2.18,26.91,1.7,3.6,
5224.475971N,00220.638142W,36.19,13:14:38.36,10.92,2.22,16.35,2.98,22.54,5.96,5.78,51.88,4.4,3.3,
5224.476292N,00220.637885W,36.38,13:14:39.25,10.62,2.24,15.38,3.04,21.38,5.86,5.48,49.21,4.4,2.5,
5224.476652N,00220.637602W,36.58,13:14:40.31,10.53,2.24,14.96,2.92,20.49,5.55,5.25,47.17,4.4,3.7,
5224.476986N,00220.637336W,36.78,13:14:41.36,10.64,2.25,14.62,2.61,19.41,4.75,3.57,20.94,1.6,4.5,
5224.477233N,00220.637023W,36.86,13:14:42.26,11.1,2.25,14.61,2.35,18.97,4.23,3.49,20.47,1.6,4,
5224.477465N,00220.636664W,37.02,13:14:43.31,11.31,2.17,15.05,2.42,18.45,4.65,7.98,24.06,3,3.4,
5224.477774N,00220.636325W,37.21,13:14:44.36,11.95,2.13,15.97,2.83,19.04,5.4,8.24,24.83,3,3.6,
5224.478060N,00220.636211W,37.3,13:14:45.26,12.27,2.19,16.45,3.17,19.54,6.01,8.46,25.48,3,3.9,
5224.478316N,00220.636079W,37.45,13:14:46.31,12.47,2.23,17.01,3.16,21.02,5.86,5.03,24.9,1.9,3.1,
5224.478674N,00220.635705W,37.61,13:14:47.36,12.19,2.23,17.38,3,22.44,5.82,5.37,26.58,1.9,2.4,
5224.478875N,00220.635347W,37.84,13:14:48.26,12.07,2.24,17.36,3.05,23.15,6.04,5.93,53.29,4.4,4.2,
5224.479204N,00220.635099W,37.96,13:14:49.31,12.31,2.28,17.4,3.15,23.54,6.14,6.03,54.19,4.4,3.8,
5224.479409N,00220.634943W,38.04,13:14:50.35,12.25,2.32,17.16,3.17,23.84,6.28,6.11,54.88,4.4,2.3,
5224.479630N,00220.634769W,38.06,13:14:51.26,12.24,2.29,17.5,3.09,24.06,6.19,6.16,55.38,4.4,2.4,
5224.479701N,00220.634422W,38.18,13:14:52.31,12,2.26,18.16,3.11,24.45,6.26,6.26,56.28,4.4,3.4,
5224.479922N,00220.634305W,38.33,13:14:53.36,12.39,2.24,18.88,3.04,25.13,6.15,6.44,57.85,4.4,3.8,
5224.479935N,00220.634121W,38.42,13:14:54.25,12.35,2.25,18.9,3.03,25.07,6.04,2.42,29.91,1.7,3.7,
5224.480011N,00220.634130W,38.43,13:14:55.31,13.39,2.28,18.86,3.06,24.07,5.95,5.76,28.51,1.9,0.9,
5224.480077N,00220.634084W,38.45,13:14:56.21,12.31,2.27,17.32,3.05,22.35,5.71,5.35,26.47,1.9,2,
5224.480037N,00220.633912W,38.44,13:14:57.25,10.98,2.21,15.63,2.88,20.42,5.32,4.89,24.19,1.9,3.8,
5224.480042N,00220.633947W,38.42,13:14:58.31,9.67,2.17,14.05,2.69,18.7,5.13,4.77,36.25,4.1,4.4,
5224.479930N,00220.633674W,38.39,13:14:59.21,8.08,2.21,12.72,2.76,18.46,5.16,2.85,30.42,3.2,2.2,
5224.479920N,00220.633418W,38.48,13:15:00.25,8.05,2.22,12.84,2.77,18.86,5.22,2.91,31.08,3.2,3.6,
5224.479700N,00220.633061W,38.44,13:15:01.30,8.32,2.22,12.79,2.78,18.52,5.29,2.85,30.52,3.2,1.5,
5224.479612N,00220.632733W,38.52,13:15:02.20,8.34,2.23,12.47,2.75,17.67,5.15,2.72,29.12,3.2,2.1,
5224.479604N,00220.632559W,38.51,13:15:03.26,8.13,2.23,12.13,2.76,17.33,5.06,2.67,28.56,3.2,2.1,
5224.479510N,00220.632387W,38.54,13:15:04.31,8.55,2.23,12.31,2.75,17.52,5.1,4.47,33.96,4.1,2.4,
5224.479279N,00220.632102W,38.55,13:15:05.21,8.83,2.24,12.63,2.81,17.9,5.2,4.56,34.7,4.1,2.1,
5224.479349N,00220.631998W,38.63,13:15:06.26,9.08,2.25,12.51,2.85,17.19,5.15,4.38,33.32,4.1,3.6,
5224.479177N,00220.631754W,38.66,13:15:07.31,9.49,2.26,12.85,2.92,17.08,5.22,3.14,18.43,1.6,3.4,
5224.479171N,00220.631761W,38.68,13:15:08.21,10.19,2.28,13.07,2.92,16.86,5.01,7.3,21.99,3,3.3,
5224.479130N,00220.631731W,38.67,13:15:09.25,10.86,2.29,13.48,3.01,17.11,5.31,7.4,22.32,3,1.5,
