block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,13,24.99,38.66,33.18,2.87,2.54,3.43,0.1,0,0.1,22.84,25.41,41.48,3.08,3.72,3.77,0.3,0.6,0,2,64,SYNAB108101
1,13,23.56,28.01,33.89,2.95,3.14,3.46,0.1,0.1,0.1,23.63,32.64,43.04,3.07,3.32,3.82,0.1,0.1,0,3,64,SYNAB108101
1,14,18.24,21.26,25.77,2.92,3.11,3.36,0,0,0.2,18.61,25.39,34.38,3,3.29,3.81,0,0.1,0.1,1,32,Dickens (med)
1,14,18.78,21.14,25.68,2.91,3.12,3.39,0.2,0.2,0,19.15,25.34,33.99,2.99,3.27,3.75,0.1,0,0.1,2,32,Dickens (med)
1,14,19.74,22.19,26.5,2.91,2.98,2.97,0,0,0.1,19,25.45,33.36,3.1,3.17,3.62,0.2,0.3,0,3,32,Dickens (med)
1,15,21.46,24.85,28.92,2.88,3.09,3.35,0,0,0.2,21.41,27.15,34.06,3.06,3.33,3.73,0,0.1,0,1,26,SY Rowyn
1,15,23.82,24.91,28.53,2.86,3.08,3.33,0,0,0.2,24.2,28.76,34.91,3.04,3.31,3.74,0.1,0.1,0,2,26,SY Rowyn
1,15,24.17,25.39,29.79,2.89,3.13,3.41,0.1,0.2,0.2,22.75,29.12,36.35,3.02,3.29,3.76,0,0,0.3,3,26,SY Rowyn
1,16,22.48,25.55,30.54,2.89,3.12,3.38,0.1,0,0.3,22.31,30.48,40,3.07,3.33,3.78,0.1,0.1,0,1,41,SY112-277 (short)
1,16,22.57,26.28,31.48,2.92,3.13,3.43,0,0.2,0,22.8,29.8,39.91,3.08,3.33,3.67,0,0.1,0.1,2,41,SY112-277 (short)
1,16,22.52,27.45,32.34,2.94,3.03,3.35,0,0.4,0.2,22.78,30.11,39.74,3.05,3.28,3.74,0,0,0,3,41,SY112-277 (short)
1,17,24.99,28.05,32.95,2.89,3,3.13,0,0,0,23.62,32.43,41.11,3.02,2.93,4.4,0,0.1,0,1,57,Meteor 
1,17,24.63,28.75,33.93,2.89,3,3.21,0,0,0.1,23.56,31.2,40.54,3.07,3.28,3.72,0,0.1,0,2,57,Meteor 
1,17,24.57,27.28,32.61,2.93,3.14,3.44,0.2,0.2,0,24.82,32.67,41.49,3.09,3.29,3.78,0.1,0.1,0.2,3,57,Meteor 
1,18,22.07,24.72,29.17,2.96,3.18,3.51,0.1,0.1,0.1,23.72,28.81,35.39,3.02,3.26,3.75,0,0,0.2,1,7,KWS Santiago
1,18,24.14,25.53,29.61,2.9,3.13,3.39,0,0,0,22.05,27.34,34.7,3.07,3.27,3.73,0,0.1,0,2,7,KWS Santiago
1,18,19.92,24.11,28.73,2.93,3.13,3.38,0,0.2,0.4,20.45,26.78,34.09,3.08,3.29,3.73,0.2,0.3,0,3,7,KWS Santiago
1,19,19,21.28,25.7,2.9,3.04,3.34,0.2,0.1,0.1,19.61,26.31,34.1,3.04,3.26,3.79,0,0.1,0.1,1,33,Edward (tall)
1,19,19.5,21.73,25.95,2.97,3.18,3.47,0.2,0.3,0.5,18.52,25.36,33.52,3.08,3.25,3.79,0,0.1,0.2,2,33,Edward (tall)
1,19,19.08,20.49,25.92,2.92,3.18,3.45,0.2,0.3,0.3,18.53,24.87,34.41,3.17,3.42,3.82,0,0,0.2,3,33,Edward (tall)
1,20,24.23,28.07,34.3,2.86,3.13,3.47,0.2,0.2,0.1,23.03,32.03,41.62,3.12,3.38,3.83,0,0,0,1,44,SY112-933 (short)
1,20,25.26,27.49,32.29,2.89,3.14,3.44,0.1,0.1,0,23.57,31.71,39.64,3.07,3.27,3.74,0,0.1,0.2,2,44,SY112-933 (short)
