x,y,VCP0.32,VCP0.71,VCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32,HCP0.71,HCP1.18,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph
26,1,21.156,14.17,14.57,1.81,1.9,2.1,15.87,14.32,15.89,2.15,2.25,2.66
27,1,21.0343333333333,15.91,17.54,1.83,1.9,2.16,12.26,18.05,21.4,2.17,2.24,2.61
28,1,20.5486666666667,16.74,18.24,1.82,1.9,2.14,18.48,19.45,21.84,2.11,2.2,2.6
29,1,20.443,15.73,17.02,1.81,1.88,2.13,15.85,16.41,18.19,2.12,2.22,2.97
0,2,27.0162222222222,28.03,32.79,1.75,1.86,2.06,28.65,33.58,38.57,2.23,2.35,2.76
1,2,26.6781111111111,26.06,29.19,1.74,1.87,2.16,26.73,29.69,36.5,2.16,2.3,2.71
2,2,25.15,24.44,28.51,1.76,1.88,2.16,26.39,28.87,34.49,2.16,2.31,2.7
3,2,22.5105555555556,26.48,23.84,1.74,1.38,2.13,24.02,25.76,29.77,2.14,2.28,2.71
4,2,20.8224444444444,19.28,22.19,1.77,1.9,2.15,20.15,23,28.67,2.17,2.3,2.7
5,2,21.6043333333333,20.77,23.99,1.78,1.87,2.15,23.92,26.58,30.92,2.17,2.32,2.7
6,2,21.1048888888889,19.18,22.05,1.76,1.88,2.1,19.73,23.42,28.64,2.16,2.27,2.65
7,2,21.8467777777778,20.84,23.28,1.73,1.83,2.1,21.9,24.57,28.79,2.16,2.27,2.74
8,2,199.518666666667,38.67,29.15,0.96,1.18,1.31,33.57,25.76,29.88,2.06,2.21,2.71
9,2,21.7992222222222,19.48,21.17,1.85,1.94,2.28,22.4,22.12,25.21,2.06,2.16,2.59
10,2,21.3811111111111,18.67,21.42,1.87,1.95,2.24,25.28,23.43,26,2.06,2.12,2.54
11,2,22.283,19.52,20.67,1.87,1.98,2.25,22.02,21.72,24.22,2.09,2.15,2.59
12,2,19.3835555555556,13.99,15.89,1.76,1.88,2.14,16.03,15.83,18.43,2.14,2.27,2.64
13,2,18.0954444444444,13.34,15.46,1.78,1.89,2.15,15.61,14.88,18.46,2.2,2.17,2.56
14,2,17.0973333333333,13.71,15.4,1.81,1.92,2.16,14.92,16.47,19.33,2.15,2.25,2.66
15,2,54.6078888888889,13.73,14.09,1.57,1.83,2.12,12.87,13.63,16.32,2.14,2.26,2.63
16,2,17.4897777777778,12.04,15.56,1.74,1.87,1.76,13.47,13.31,16.1,2.13,2.23,2.63
17,2,16.7916666666667,11.77,13.11,1.78,1.88,2.14,11.15,12.83,15.86,2.1,2.25,2.61
18,2,24.4722222222222,10.4,12.32,1.76,1.88,2.19,15.98,11.67,15.14,2.17,2.31,2.68
19,2,18.2941111111111,11.16,12.35,1.75,1.9,2.09,14.02,13.12,15.99,2.16,2.24,2.6
20,2,16.246,11.62,13.37,1.79,1.89,2.14,14.42,14.18,16.58,2.17,2.24,2.64
