Latitude,Longitude,Altitude,Time,HCP0.32f10000h0,HCP0.32f10000h0_inph,HCP0.72f10000h0,HCP0.72f10000h0_inph,HCP1.18f10000h0,HCP1.18f10000h0_inph,Inv.Cond.1[mS/m],Inv.Cond.2[mS/m],Inv.Thick[m],Inv.RMS[%],Note
5332.506325N,00255.887739W,23.94,10:44:01.48,44.62,1.73,10.58,2.02,8.99,2.66,509.26,0.42,0,30.1,
5332.506325N,00255.887739W,23.94,10:44:02.01,44.66,1.73,10.61,2.02,9.15,2.66,518.32,0.43,0,29.1,
5332.506317N,00255.887710W,23.95,10:44:02.53,44.67,1.73,10.55,2.02,9.14,2.65,517.76,0.43,0,29,
5332.506317N,00255.887710W,23.95,10:44:02.98,44.69,1.73,10.59,2.02,9.11,2.66,516.06,0.43,0,29.4,
5332.506326N,00255.887664W,23.96,10:44:03.51,44.62,1.73,10.66,2.02,9.28,2.66,525.69,0.44,0,28.4,
5332.506270N,00255.887476W,23.96,10:44:04.03,28.2,1.99,8.27,2.19,8.31,2.81,588.99,0.29,0,21.6,
5332.506270N,00255.887476W,23.96,10:44:04.48,-0.61,2.58,3,2.63,6.29,3.01,-1,-1,-1,-1,
5332.506270N,00255.887476W,23.96,10:44:05.01,-1.31,2.54,2.62,2.62,6.16,2.99,-1,-1,-1,-1,
5332.505977N,00255.887168W,23.93,10:44:05.53,-0.81,2.5,2.96,2.58,6.25,2.99,-1,-1,-1,-1,
5332.505977N,00255.887168W,23.93,10:44:05.98,-0.78,2.49,2.85,2.57,6.25,2.98,-1,-1,-1,-1,
5332.505571N,00255.886313W,23.88,10:44:06.50,-0.19,2.45,3.31,2.53,6.61,2.97,-1,-1,-1,-1,
5332.505007N,00255.885363W,23.83,10:44:07.03,-0.25,2.46,3.21,2.52,6.58,2.96,-1,-1,-1,-1,
5332.505007N,00255.885363W,23.83,10:44:07.48,-0.19,2.43,3.2,2.51,6.61,2.94,-1,-1,-1,-1,
5332.505007N,00255.885363W,23.83,10:44:08.01,-0.02,2.41,3.43,2.47,6.63,2.95,-1,-1,-1,-1,
5332.504474N,00255.884390W,23.81,10:44:08.53,0.36,2.37,3.53,2.47,6.69,2.94,-1,-1,-1,-1,
5332.504474N,00255.884390W,23.81,10:44:08.98,-0.35,2.47,3.26,2.49,6.55,2.87,-1,-1,-1,-1,
5332.503986N,00255.883408W,23.88,10:44:09.50,-0.31,2.42,3.19,2.43,6.53,2.91,-1,-1,-1,-1,
5332.503595N,00255.882216W,23.92,10:44:10.03,-0.2,2.43,3.24,2.45,6.59,2.88,-1,-1,-1,-1,
5332.503595N,00255.882216W,23.92,10:44:10.48,0.03,2.38,3.43,2.42,6.81,2.88,-1,-1,-1,-1,
5332.503595N,00255.882216W,23.92,10:44:11.00,-0.03,2.4,3.18,2.42,6.46,2.86,-1,-1,-1,-1,
5332.503110N,00255.881115W,23.94,10:44:11.45,-0.3,2.44,3.21,2.42,6.59,2.84,-1,-1,-1,-1,
5332.503110N,00255.881115W,23.94,10:44:11.98,-0.1,2.4,3.25,2.39,6.46,2.84,-1,-1,-1,-1,
5332.502568N,00255.880165W,23.95,10:44:12.50,0.14,2.37,3.34,2.36,6.61,2.82,-1,-1,-1,-1,
5332.502568N,00255.880165W,23.95,10:44:12.95,0.73,2.33,3.57,2.33,6.77,2.89,-1,-1,-1,-1,
5332.502064N,00255.879108W,23.95,10:44:13.48,0.5,2.36,3.45,2.37,6.79,2.88,-1,-1,-1,-1,
5332.502064N,00255.879108W,23.95,10:44:14.00,0.05,2.38,3.98,2.34,7.07,2.83,-1,-1,-1,-1,
5332.501516N,00255.878127W,24.09,10:44:14.45,4.72,2.3,5.92,2.26,7.64,2.71,3.7,16.6,0.9,2.8,
5332.501516N,00255.878127W,24.09,10:44:14.98,1.14,2.33,4.14,2.31,7.4,2.77,0.09,66.33,2,23.6,
5332.501064N,00255.877143W,24.06,10:44:15.50,1.03,2.27,4.17,2.29,7.3,2.75,0.09,68.88,2.1,29,
5332.501064N,00255.877143W,24.06,10:44:15.95,0.47,2.35,3.79,2.31,7.12,2.76,-1,-1,-1,-1,
5332.500535N,00255.876109W,24.12,10:44:16.48,0.74,2.33,3.77,2.33,6.87,2.79,-1,-1,-1,-1,
5332.500535N,00255.876109W,24.12,10:44:17.00,1.42,2.27,3.99,2.28,6.44,2.83,0.11,36.28,1.4,11.4,
5332.499937N,00255.875209W,24.16,10:44:17.45,1.54,2.35,3.8,2.31,6.7,2.79,0.11,59.74,2,9.2,
5332.499937N,00255.875209W,24.16,10:44:17.98,0.36,2.34,3.43,2.32,6.84,2.78,-1,-1,-1,-1,
5332.499287N,00255.874401W,24.21,10:44:18.50,0.69,2.28,3.67,2.25,7.04,2.75,-1,-1,-1,-1,
5332.499287N,00255.874401W,24.21,10:44:18.95,0.52,2.33,3.99,2.27,7,2.89,-1,-1,-1,-1,
5332.498762N,00255.873441W,24.12,10:44:19.48,2.54,2.34,3.17,2.38,6.21,2.87,1.14,28.67,1.6,11.4,
5332.498762N,00255.873441W,24.12,10:44:20.00,1.83,2.36,3.74,2.3,6.57,2.72,0.22,68.55,2.2,4,
5332.498301N,00255.872415W,24.12,10:44:20.45,0.49,2.34,3.41,2.31,6.47,2.76,-1,-1,-1,-1,
5332.498301N,00255.872415W,24.12,10:44:20.98,0.94,2.24,3.85,2.25,6.81,2.75,0.11,58.23,2,29.3,
5332.497863N,00255.871314W,24.03,10:44:21.50,0.79,2.3,3.83,2.29,6.96,2.81,-1,-1,-1,-1,
5332.497863N,00255.871314W,24.03,10:44:21.95,0.6,2.32,3.8,2.31,6.96,2.77,-1,-1,-1,-1,
5332.497549N,00255.870121W,24.11,10:44:22.48,0.46,2.37,3.76,2.35,7.01,2.8,-1,-1,-1,-1,
5332.497549N,00255.870121W,24.11,10:44:23.00,0.66,2.33,3.99,2.29,6.93,2.77,-1,-1,-1,-1,
5332.497268N,00255.868850W,23.94,10:44:23.45,0.87,2.33,3.85,2.28,6.9,2.77,-1,-1,-1,-1,
5332.497268N,00255.868850W,23.94,10:44:23.98,0.45,2.34,3.69,2.33,6.8,2.76,-1,-1,-1,-1,
5332.497093N,00255.867497W,23.96,10:44:24.50,1.09,2.32,4.02,2.29,7.02,2.76,0.12,62.6,2.1,23.7,
5332.497093N,00255.867497W,23.96,10:44:24.95,0.69,2.29,3.76,2.26,6.72,2.72,-1,-1,-1,-1,
5332.497070N,00255.866131W,23.94,10:44:25.48,0.27,2.37,3.32,2.35,6.24,2.8,-1,-1,-1,-1,
5332.497070N,00255.866131W,23.94,10:44:26.00,-0.22,2.43,2.8,2.41,5.88,2.82,-1,-1,-1,-1,
5332.497160N,00255.864860W,23.87,10:44:26.45,-0.52,2.43,2.93,2.41,5.99,2.8,-1,-1,-1,-1,
5332.497160N,00255.864860W,23.87,10:44:26.98,-0.42,2.42,2.73,2.39,6.01,2.8,-1,-1,-1,-1,
5332.497244N,00255.863516W,23.98,10:44:27.50,-0.09,2.38,3.13,2.37,6.2,2.8,-1,-1,-1,-1,
5332.497244N,00255.863516W,23.98,10:44:27.95,-0.17,2.41,3.05,2.39,6.09,2.82,-1,-1,-1,-1,
5332.497244N,00255.862221W,23.99,10:44:28.48,0.08,2.38,3.05,2.36,6.08,2.78,-1,-1,-1,-1,
5332.497244N,00255.862221W,23.99,10:44:29.00,-0.32,2.44,3.02,2.41,6.03,2.8,-1,-1,-1,-1,
5332.497147N,00255.860872W,24.03,10:44:29.45,0.02,2.39,3.23,2.38,6.14,2.81,-1,-1,-1,-1,
5332.497147N,00255.860872W,24.03,10:44:29.98,0.05,2.4,3.38,2.38,6.45,2.82,-1,-1,-1,-1,
5332.497087N,00255.859564W,24.12,10:44:30.50,0.14,2.4,3.36,2.38,6.51,2.82,-1,-1,-1,-1,
5332.497087N,00255.859564W,24.12,10:44:30.95,-0.12,2.42,3.36,2.42,6.73,2.82,-1,-1,-1,-1,
5332.497054N,00255.858197W,24.16,10:44:31.48,-0.18,2.44,3.37,2.44,6.65,2.84,-1,-1,-1,-1,
5332.497054N,00255.858197W,24.16,10:44:32.00,0.1,2.41,3.78,2.42,6.91,2.86,-1,-1,-1,-1,
5332.497114N,00255.856836W,24.26,10:44:32.45,-0.04,2.44,3.72,2.47,7.35,2.89,-1,-1,-1,-1,
5332.497114N,00255.856836W,24.26,10:44:32.98,0.48,2.43,4.13,2.46,7.69,2.91,-1,-1,-1,-1,
5332.497076N,00255.855468W,24.25,10:44:33.50,0.58,2.42,4.26,2.45,7.72,2.88,-1,-1,-1,-1,
5332.497076N,00255.855468W,24.25,10:44:33.95,0.61,2.41,4.14,2.46,7.37,2.91,-1,-1,-1,-1,
5332.496904N,00255.854157W,24.22,10:44:34.47,0.24,2.43,3.97,2.48,7.23,2.89,-1,-1,-1,-1,
5332.496904N,00255.854157W,24.22,10:44:35.00,0.44,2.41,4.14,2.43,7.39,2.87,-1,-1,-1,-1,
5332.496599N,00255.853001W,24.21,10:44:35.45,0.14,2.44,3.98,2.47,7.25,2.85,-1,-1,-1,-1,
5332.496599N,00255.853001W,24.21,10:44:35.97,0.04,2.45,3.82,2.48,7.21,2.87,-1,-1,-1,-1,
5332.496357N,00255.851781W,24.16,10:44:36.50,0.09,2.45,3.82,2.48,6.89,2.92,-1,-1,-1,-1,
5332.496357N,00255.851781W,24.16,10:44:36.95,0.31,2.44,3.18,2.53,6.6,2.99,-1,-1,-1,-1,
5332.496205N,00255.850506W,24.11,10:44:37.47,0.6,2.43,3.63,2.51,7.02,2.94,-1,-1,-1,-1,
5332.496205N,00255.850506W,24.11,10:44:38.00,0.12,2.45,3.54,2.51,6.82,2.95,-1,-1,-1,-1,
5332.496032N,00255.849219W,24.14,10:44:38.45,-0.19,2.46,3.57,2.5,6.75,2.87,-1,-1,-1,-1,
5332.496032N,00255.849219W,24.14,10:44:38.97,-0.13,2.45,3.26,2.48,6.39,2.92,-1,-1,-1,-1,
5332.495875N,00255.847939W,24.2,10:44:39.50,-0.07,2.43,3.2,2.5,6.45,2.93,-1,-1,-1,-1,
5332.495875N,00255.847939W,24.2,10:44:39.95,-0.65,2.49,2.85,2.56,6.12,2.95,-1,-1,-1,-1,
5332.495863N,00255.846766W,24.28,10:44:40.47,-0.39,2.47,3.66,2.5,6.35,2.9,-1,-1,-1,-1,
5332.495863N,00255.846766W,24.28,10:44:40.93,1.95,2.46,3.8,2.49,6.29,2.9,0.31,25.06,1.1,3.4,
5332.495853N,00255.845495W,24.21,10:44:41.45,0.05,2.47,3.33,2.51,5.71,2.93,-1,-1,-1,-1,
5332.495853N,00255.845495W,24.21,10:44:41.97,7.74,2.4,4.21,2.48,6.28,2.95,7.33,1.47,0.7,19.7,
5332.495739N,00255.844130W,24.23,10:44:42.43,0.74,2.49,3.53,2.57,6.31,2.97,-1,-1,-1,-1,
5332.495739N,00255.844130W,24.23,10:44:42.95,-0.5,2.5,2.84,2.56,6.12,2.94,-1,-1,-1,-1,
5332.495455N,00255.842771W,24.29,10:44:43.48,-0.71,2.49,2.74,2.57,5.83,2.95,-1,-1,-1,-1,
5332.495455N,00255.842771W,24.29,10:44:43.93,-0.46,2.48,2.88,2.55,5.9,2.97,-1,-1,-1,-1,
5332.495127N,00255.841589W,24.25,10:44:44.45,-0.46,2.49,2.8,2.57,6.06,2.95,-1,-1,-1,-1,
5332.495127N,00255.841589W,24.25,10:44:44.97,-0.56,2.5,2.9,2.55,5.95,2.95,-1,-1,-1,-1,
5332.494757N,00255.840349W,24.37,10:44:45.43,0.52,2.47,2.74,2.55,5.79,2.98,-1,-1,-1,-1,
5332.494757N,00255.840349W,24.37,10:44:45.95,-0.05,2.47,2.89,2.55,5.85,2.95,-1,-1,-1,-1,
5332.494338N,00255.839164W,24.4,10:44:46.48,-0.77,2.5,2.51,2.58,5.73,2.98,-1,-1,-1,-1,
5332.494338N,00255.839164W,24.4,10:44:46.92,-0.91,2.51,2.47,2.59,5.83,2.99,-1,-1,-1,-1,
5332.493947N,00255.837986W,24.45,10:44:47.45,-1.08,2.52,2.32,2.62,5.56,3,-1,-1,-1,-1,
5332.493947N,00255.837986W,24.45,10:44:47.98,-0.86,2.5,2.48,2.59,5.59,2.98,-1,-1,-1,-1,
5332.493559N,00255.836764W,24.41,10:44:48.42,-0.75,2.49,2.56,2.56,5.59,2.97,-1,-1,-1,-1,
5332.493559N,00255.836764W,24.41,10:44:48.95,-0.8,2.49,2.5,2.57,5.56,2.98,-1,-1,-1,-1,
5332.493193N,00255.835613W,24.56,10:44:49.47,-1,2.51,2.25,2.59,5.31,2.98,-1,-1,-1,-1,
5332.493193N,00255.835613W,24.56,10:44:49.92,-0.84,2.48,2.37,2.56,5.37,2.96,-1,-1,-1,-1,
5332.492923N,00255.834386W,24.56,10:44:50.44,-0.46,2.45,2.53,2.55,5.64,2.95,-1,-1,-1,-1,
5332.492923N,00255.834386W,24.56,10:44:50.97,1.33,2.43,3.13,2.49,5.66,2.94,0.09,50.47,2,10.2,
5332.492745N,00255.833118W,24.6,10:44:51.42,0.61,2.42,2.92,2.51,5.71,2.94,-1,-1,-1,-1,
5332.492745N,00255.833118W,24.6,10:44:51.95,-0.82,2.5,2.22,2.59,5.2,3,-1,-1,-1,-1,
5332.492570N,00255.831812W,24.74,10:44:52.47,-0.67,2.47,2.3,2.58,4.96,3,-1,-1,-1,-1,
5332.492570N,00255.831812W,24.74,10:44:52.92,-0.67,2.47,2.05,2.58,4.84,3,-1,-1,-1,-1,
5332.492354N,00255.830587W,24.77,10:44:53.45,-0.79,2.46,1.96,2.57,4.66,3.02,-1,-1,-1,-1,
5332.492354N,00255.830587W,24.77,10:44:53.97,-1.08,2.49,1.69,2.61,4.58,3.02,-1,-1,-1,-1,
5332.492124N,00255.829293W,24.85,10:44:54.42,-1.1,2.49,1.73,2.6,4.79,3.03,-1,-1,-1,-1,
5332.492124N,00255.829293W,24.85,10:44:54.95,-0.89,2.47,1.97,2.59,4.76,3.01,-1,-1,-1,-1,
5332.491922N,00255.828044W,24.8,10:44:55.47,-1.05,2.48,1.63,2.59,4.47,3.02,-1,-1,-1,-1,
5332.491922N,00255.828044W,24.8,10:44:55.92,-1.17,2.49,1.54,2.62,4.59,3.02,-1,-1,-1,-1,
5332.491760N,00255.826814W,24.89,10:44:56.45,-0.93,2.47,1.74,2.59,4.56,3.01,-1,-1,-1,-1,
5332.491760N,00255.826814W,24.89,10:44:56.97,-1.29,2.49,1.51,2.61,4.17,3.03,-1,-1,-1,-1,
5332.491588N,00255.825562W,24.92,10:44:57.42,-1.28,2.49,1.48,2.61,4.39,3.04,-1,-1,-1,-1,
5332.491588N,00255.825562W,24.92,10:44:57.95,-1.4,2.51,1.41,2.63,4.41,3.03,-1,-1,-1,-1,
5332.491307N,00255.824270W,25,10:44:58.47,-1.37,2.5,1.38,2.61,4.12,3.03,-1,-1,-1,-1,
5332.491307N,00255.824270W,25,10:44:58.93,-1.09,2.47,1.42,2.6,4.2,3.03,-1,-1,-1,-1,
5332.490991N,00255.823013W,25.04,10:44:59.45,-1.08,2.47,1.4,2.61,4.13,3.01,-1,-1,-1,-1,
5332.490991N,00255.823013W,25.04,10:44:59.97,-1.32,2.48,1.24,2.59,3.99,3.02,-1,-1,-1,-1,
5332.490635N,00255.821794W,25.09,10:45:00.42,-1.44,2.5,1.26,2.63,3.94,3.03,-1,-1,-1,-1,
5332.490635N,00255.821794W,25.09,10:45:00.94,-1.5,2.49,1.2,2.63,3.89,3.06,-1,-1,-1,-1,
5332.490336N,00255.820479W,24.99,10:45:01.47,-1.34,2.48,1.2,2.62,3.99,3.06,-1,-1,-1,-1,
5332.490336N,00255.820479W,24.99,10:45:01.92,-1.22,2.47,1.17,2.62,3.89,3.07,-1,-1,-1,-1,
5332.490032N,00255.819201W,25.04,10:45:02.45,-1.25,2.49,1.14,2.62,3.85,3.05,-1,-1,-1,-1,
5332.490032N,00255.819201W,25.04,10:45:02.97,-1.57,2.5,1.06,2.63,3.88,3.05,-1,-1,-1,-1,
5332.489683N,00255.817976W,25.13,10:45:03.42,-1.53,2.51,1.16,2.63,3.85,3.06,-1,-1,-1,-1,
5332.489683N,00255.817976W,25.13,10:45:03.95,-1.58,2.5,0.95,2.64,3.72,3.06,-1,-1,-1,-1,
5332.489376N,00255.816730W,24.99,10:45:04.47,-1.3,2.49,1.21,2.62,4.13,3.02,-1,-1,-1,-1,
5332.489376N,00255.816730W,24.99,10:45:04.92,-1.25,2.51,1.51,2.61,3.82,3.07,-1,-1,-1,-1,
5332.488994N,00255.815575W,24.9,10:45:05.45,0.76,2.49,0.96,2.63,3.59,3.04,0.18,8.98,0.9,34,
5332.488994N,00255.815575W,24.9,10:45:05.97,-1.19,2.49,1.23,2.62,3.8,3.04,-1,-1,-1,-1,
5332.488651N,00255.814469W,24.89,10:45:06.42,-1.58,2.5,1.09,2.63,3.75,3.05,-1,-1,-1,-1,
5332.488651N,00255.814469W,24.89,10:45:06.95,-1.5,2.5,1.03,2.63,3.91,3.04,-1,-1,-1,-1,
5332.488374N,00255.813325W,24.89,10:45:07.47,-1.57,2.51,1.08,2.62,3.75,3.03,-1,-1,-1,-1,
5332.488374N,00255.813325W,24.89,10:45:07.92,-1.61,2.51,1.19,2.62,3.92,3.04,-1,-1,-1,-1,
5332.488053N,00255.812018W,25.02,10:45:08.45,-1.61,2.5,0.97,2.63,3.82,3.06,-1,-1,-1,-1,
5332.488053N,00255.812018W,25.02,10:45:08.98,-1.52,2.51,1.1,2.64,4.06,3.05,-1,-1,-1,-1,
5332.487751N,00255.810726W,25.13,10:45:09.42,-1.42,2.48,1.06,2.62,3.74,3.06,-1,-1,-1,-1,
5332.487751N,00255.810726W,25.13,10:45:09.95,-1.47,2.49,1.07,2.64,3.98,3.08,-1,-1,-1,-1,
5332.487474N,00255.809493W,25.19,10:45:10.47,-1.62,2.52,1.07,2.66,3.97,3.07,-1,-1,-1,-1,
5332.487474N,00255.809493W,25.19,10:45:10.92,-1.53,2.51,1.26,2.64,4.02,3.05,-1,-1,-1,-1,
5332.487140N,00255.808141W,25.08,10:45:11.45,-1.34,2.48,1.23,2.63,4.1,3.07,-1,-1,-1,-1,
5332.487140N,00255.808141W,25.08,10:45:11.97,-1.33,2.5,1.14,2.64,4.02,3.07,-1,-1,-1,-1,
5332.486773N,00255.806819W,25.06,10:45:12.42,-1.45,2.5,1.12,2.63,4.02,3.07,-1,-1,-1,-1,
5332.486773N,00255.806819W,25.06,10:45:12.94,-1.57,2.51,1.04,2.66,3.76,3.07,-1,-1,-1,-1,
5332.486419N,00255.805511W,25.2,10:45:13.47,-1.43,2.5,1.18,2.64,3.79,3.08,-1,-1,-1,-1,
5332.486419N,00255.805511W,25.2,10:45:13.92,-1.32,2.49,1.07,2.64,3.75,3.11,-1,-1,-1,-1,
5332.486096N,00255.804177W,25.28,10:45:14.45,-1.51,2.48,-0.51,2.72,3.37,3.13,-1,-1,-1,-1,
5332.486096N,00255.804177W,25.28,10:45:14.97,-1.04,2.47,1.42,2.57,4.03,2.99,-1,-1,-1,-1,
5332.485703N,00255.802877W,25.34,10:45:15.42,-1.33,2.49,1.26,2.61,3.87,3.03,-1,-1,-1,-1,
5332.485703N,00255.802877W,25.34,10:45:15.95,-1.07,2.49,1.26,2.64,4,3.07,-1,-1,-1,-1,
5332.485325N,00255.801569W,25.34,10:45:16.47,-1.28,2.51,1.24,2.65,3.97,3.06,-1,-1,-1,-1,
5332.485325N,00255.801569W,25.34,10:45:16.92,-1.57,2.51,1.21,2.64,3.8,3.08,-1,-1,-1,-1,
5332.484853N,00255.800369W,25.33,10:45:17.45,-1.34,2.5,1.32,2.64,4.16,3.08,-1,-1,-1,-1,
5332.484853N,00255.800369W,25.33,10:45:17.97,-1.38,2.49,1.34,2.64,4.01,3.07,-1,-1,-1,-1,
5332.484390N,00255.799234W,25.27,10:45:18.42,-1.25,2.49,1.43,2.63,4.07,3.05,-1,-1,-1,-1,
5332.484390N,00255.799234W,25.27,10:45:18.94,-1.29,2.48,1.4,2.62,4.15,3.05,-1,-1,-1,-1,
5332.484019N,00255.797964W,25.23,10:45:19.47,-1.49,2.51,1.35,2.64,4.16,3.05,-1,-1,-1,-1,
5332.484019N,00255.797964W,25.23,10:45:19.92,-1.49,2.5,1.38,2.63,4.03,3.04,-1,-1,-1,-1,
5332.483656N,00255.796720W,25.42,10:45:20.44,-1.19,2.48,1.38,2.6,4.14,3.01,-1,-1,-1,-1,
5332.483656N,00255.796720W,25.42,10:45:20.97,-1.01,2.48,1.92,2.57,4.31,3,-1,-1,-1,-1,
5332.483285N,00255.795447W,25.39,10:45:21.42,0.7,2.47,1.92,2.59,4.36,3.03,0,54.65,2.6,23.6,
5332.483285N,00255.795447W,25.39,10:45:21.95,-1.33,2.51,1.47,2.62,4.36,3,-1,-1,-1,-1,
5332.482932N,00255.794236W,25.48,10:45:22.39,-1.16,2.49,2.1,2.54,4.42,2.98,-1,-1,-1,-1,
5332.482932N,00255.794236W,25.48,10:45:22.92,-0.5,2.49,1.68,2.59,4.47,2.99,-1,-1,-1,-1,
5332.482605N,00255.792867W,25.5,10:45:23.45,-1.22,2.48,1.27,2.6,4.24,3.02,-1,-1,-1,-1,
5332.482605N,00255.792867W,25.5,10:45:23.90,-1.26,2.49,1.49,2.61,4.22,3.01,-1,-1,-1,-1,
5332.482235N,00255.791495W,25.59,10:45:24.42,-0.86,2.46,1.55,2.59,4.51,3.01,-1,-1,-1,-1,
5332.482235N,00255.791495W,25.59,10:45:24.95,-0.98,2.48,1.67,2.57,4.36,3,-1,-1,-1,-1,
5332.481913N,00255.790178W,25.58,10:45:25.39,-1.22,2.49,1.48,2.59,4.29,3.01,-1,-1,-1,-1,
5332.481913N,00255.790178W,25.58,10:45:25.92,-1.2,2.49,1.49,2.59,4.29,3.03,-1,-1,-1,-1,
5332.481500N,00255.788915W,25.55,10:45:26.45,-1.17,2.48,1.61,2.58,4.36,3,-1,-1,-1,-1,
5332.481500N,00255.788915W,25.55,10:45:26.89,-1.12,2.47,1.55,2.55,4.37,3,-1,-1,-1,-1,
5332.481089N,00255.787596W,25.53,10:45:27.42,-1.1,2.48,1.58,2.58,4.42,3.01,-1,-1,-1,-1,
5332.481089N,00255.787596W,25.53,10:45:27.95,-1.21,2.5,1.64,2.61,4.46,3.01,-1,-1,-1,-1,
5332.480601N,00255.786336W,25.52,10:45:28.39,-0.75,2.46,1.79,2.59,4.5,3.02,-1,-1,-1,-1,
5332.480601N,00255.786336W,25.52,10:45:28.92,-0.79,2.45,1.79,2.59,4.53,3.02,-1,-1,-1,-1,
5332.480204N,00255.785028W,25.43,10:45:29.45,-1.32,2.51,1.58,2.59,4.41,3.02,-1,-1,-1,-1,
5332.480204N,00255.785028W,25.43,10:45:29.89,-1.08,2.48,1.62,2.58,4.49,2.99,-1,-1,-1,-1,
5332.479776N,00255.783762W,25.38,10:45:30.42,-0.75,2.45,1.91,2.57,4.56,3.01,-1,-1,-1,-1,
5332.479776N,00255.783762W,25.38,10:45:30.94,-0.86,2.46,1.68,2.58,4.38,3,-1,-1,-1,-1,
5332.479372N,00255.782549W,25.54,10:45:31.39,-0.39,2.45,1.72,2.59,4.32,3.05,-1,-1,-1,-1,
5332.479372N,00255.782549W,25.54,10:45:31.92,-0.57,2.45,1.54,2.59,4.43,3.06,-1,-1,-1,-1,
5332.478897N,00255.781397W,25.59,10:45:32.44,-0.82,2.46,1.63,2.59,4.45,3.02,-1,-1,-1,-1,
5332.478897N,00255.781397W,25.59,10:45:32.89,-1.15,2.48,1.48,2.6,4.36,3.04,-1,-1,-1,-1,
5332.478351N,00255.780259W,25.67,10:45:33.42,-1.07,2.47,1.58,2.59,4.35,3.04,-1,-1,-1,-1,
5332.478351N,00255.780259W,25.67,10:45:33.94,-1.16,2.49,1.51,2.6,4.47,3,-1,-1,-1,-1,
5332.477858N,00255.779121W,25.55,10:45:34.39,-0.44,2.45,1.9,2.58,4.57,3.05,-1,-1,-1,-1,
5332.477858N,00255.779121W,25.55,10:45:34.92,0,2.47,1.81,2.6,4.49,3.06,-1,-1,-1,-1,
5332.477365N,00255.777995W,25.65,10:45:35.44,-1.23,2.5,1.66,2.62,4.38,3.05,-1,-1,-1,-1,
5332.477365N,00255.777995W,25.65,10:45:35.89,-1.2,2.49,1.38,2.61,4.32,3.06,-1,-1,-1,-1,
5332.477019N,00255.776783W,25.74,10:45:36.42,-1.16,2.49,1.46,2.61,4.41,3.05,-1,-1,-1,-1,
5332.477019N,00255.776783W,25.74,10:45:36.94,-1.26,2.5,1.61,2.61,4.42,3.03,-1,-1,-1,-1,
5332.476698N,00255.775509W,25.57,10:45:37.39,-1.05,2.49,1.6,2.61,4.39,3.03,-1,-1,-1,-1,
5332.476698N,00255.775509W,25.57,10:45:37.92,-1.23,2.5,1.58,2.62,4.45,3.04,-1,-1,-1,-1,
5332.476358N,00255.774274W,25.51,10:45:38.44,-1.17,2.49,1.59,2.62,4.41,3.06,-1,-1,-1,-1,
5332.476358N,00255.774274W,25.51,10:45:38.89,-1,2.48,1.79,2.61,4.63,3.04,-1,-1,-1,-1,
5332.475941N,00255.773121W,25.53,10:45:39.42,-0.72,2.49,1.85,2.59,4.47,3.04,-1,-1,-1,-1,
5332.475941N,00255.773121W,25.53,10:45:39.94,-0.86,2.47,1.6,2.6,4.29,3.06,-1,-1,-1,-1,
5332.475504N,00255.771893W,25.53,10:45:40.40,-1.08,2.47,1.4,2.61,4.04,3.07,-1,-1,-1,-1,
5332.475504N,00255.771893W,25.53,10:45:40.92,-1.17,2.49,1.15,2.66,3.96,3.06,-1,-1,-1,-1,
5332.475080N,00255.770636W,25.56,10:45:41.44,-1.41,2.5,1.3,2.61,3.98,3.04,-1,-1,-1,-1,
5332.475080N,00255.770636W,25.56,10:45:41.89,-1.21,2.48,1.36,2.62,4.11,3.04,-1,-1,-1,-1,
5332.474638N,00255.769399W,25.47,10:45:42.42,-1.43,2.51,1.35,2.63,4.05,3.05,-1,-1,-1,-1,
5332.474638N,00255.769399W,25.47,10:45:42.94,-1.32,2.5,1.35,2.62,4.16,3.06,-1,-1,-1,-1,
5332.474229N,00255.768090W,25.39,10:45:43.39,-1.02,2.5,1.73,2.62,4.76,3.06,-1,-1,-1,-1,
5332.474229N,00255.768090W,25.39,10:45:43.92,-0.89,2.47,1.75,2.6,4.65,3.05,-1,-1,-1,-1,
5332.473818N,00255.766920W,25.35,10:45:44.44,-0.93,2.49,1.86,2.61,4.89,3.03,-1,-1,-1,-1,
5332.473818N,00255.766920W,25.35,10:45:44.89,-0.88,2.48,1.94,2.6,4.87,3.03,-1,-1,-1,-1,
5332.473430N,00255.765685W,25.27,10:45:45.42,-0.38,2.46,2.25,2.58,5.17,3.03,-1,-1,-1,-1,
5332.473430N,00255.765685W,25.27,10:45:45.94,-0.98,2.51,1.97,2.62,5.01,3.03,-1,-1,-1,-1,
5332.473033N,00255.764459W,25.33,10:45:46.39,-0.73,2.49,2.06,2.6,4.98,3.03,-1,-1,-1,-1,
5332.473033N,00255.764459W,25.33,10:45:46.92,-0.92,2.49,2.1,2.62,4.94,3.04,-1,-1,-1,-1,
5332.472586N,00255.763131W,25.32,10:45:47.44,-1.3,2.53,1.76,2.66,4.97,3.04,-1,-1,-1,-1,
5332.472586N,00255.763131W,25.32,10:45:47.89,-1.21,2.52,1.91,2.63,5.02,3.04,-1,-1,-1,-1,
5332.472160N,00255.761963W,25.43,10:45:48.42,-0.8,2.49,2.33,2.6,5.39,3.01,-1,-1,-1,-1,
5332.472160N,00255.761963W,25.43,10:45:48.94,-0.95,2.51,2.26,2.61,5.38,3.01,-1,-1,-1,-1,
5332.471713N,00255.760720W,25.45,10:45:49.39,-0.77,2.48,2.4,2.59,5.61,3.03,-1,-1,-1,-1,
