VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,name,plot,x,y,elevation
13.626884864959429,16.372645929633148,16.9619814180618,11.619417958757007,15.172062191937703,15.85223712253685,var30,31,30,0,0
16.653183593744075,19.839182488322074,20.5464850265538,14.156518376953516,19.526360624780764,20.71269535459436,var31,32,31,0,0
16.717007117022487,19.149643151104602,19.796830153477927,13.894651836327482,19.81487560376601,20.77172926024687,var32,33,32,0,0
14.536370071676785,16.267142643064357,16.971207939576573,12.177494192878067,15.711129652673293,16.24087700141594,var33,34,33,0,0
14.754433776211355,17.82708409447437,18.837271915940818,14.023438659586187,18.414059455798192,19.423788414514323,var34,35,34,0,0
14.58423771413559,16.643940095095765,17.725476073409837,13.358040072749539,16.963892061425,17.92580305858162,var35,36,35,0,0
13.371590771845785,16.172943280056508,17.506346187433817,11.18583565378603,15.096137197467904,16.56802322857365,var36,37,36,0,0
14.047056393208964,15.63789089817191,16.994274243363527,11.636589535191504,14.621605982031655,15.520171403241427,var37,38,37,0,0
16.14259540751679,18.41865609416368,19.38394331569153,12.82572120328022,17.461200775202187,18.179156903673693,var38,39,38,0,0
15.488404293913078,18.377208374440226,19.386249946070226,13.886066048110239,18.820258176211624,20.422445318469453,var39,40,39,0,0
16.87124729827865,19.869326284484586,20.380407639287764,13.538341625311727,19.76552435736064,21.199725076227644,var40,41,40,0,0
15.988355226260635,19.258914412193707,19.4877416827328,14.306769670755338,18.379893208286788,18.830989611920266,var41,42,41,0,0
15.961762091561296,16.937842107680257,17.63321085826204,12.701227274130142,15.608630910139055,16.75496392980665,var42,43,42,0,0
13.419458414304595,16.719299585502046,17.483279883646865,13.69288581322218,15.908534638294773,16.553264752160526,var43,44,43,0,0
13.110978051792273,15.634122923651598,17.421000863422098,11.477752453172432,15.19104344055516,16.75496392980664,var44,45,44,0,0
16.360659112051362,17.913747508441595,18.75884648306519,12.310573910245395,17.02083580727735,17.928262804650487,var45,46,45,0,0
15.876664060523414,16.85494666823335,18.23062812634404,12.04441447551074,16.626025836034387,17.655230991007574,var46,47,46,0,0
15.153330796701429,18.328224705676146,19.17865321198768,14.014852871368944,18.505169449161954,19.067125234530348,var47,48,47,0,0
16.227693438554674,18.456335839366808,19.266305166378086,14.315355458972592,19.849041851277427,20.734833069214037,var48,49,48,0,0
14.37149263654089,17.559557903532074,18.59507572617784,12.98885117940792,17.446015776308233,18.708002308477518,var49,50,49,0,0
