VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
23.17,25.64,31.27,23.1,30.45,39.65,2.87,3.21,3.51,3.12,3.32,3.77,1,var0,1
23.58,26.8,32.11,22.75,31.48,40.78,2.85,3.08,3.39,3.05,3.32,3.79,1,var0,1
23.99,26.58,31.67,22.59,30.73,39.93,2.86,3.1,3.4,3.07,3.34,3.81,1,var0,1
22.11,25.19,29.95,22.0,29.15,37.2,2.85,3.1,3.42,3.09,3.34,3.85,2,var1,1
23.05,24.59,28.54,22.55,28.3,35.85,2.84,3.08,3.35,3.06,3.3,3.72,2,var1,1
22.39,23.89,27.32,20.44,26.55,33.74,2.87,3.05,3.31,3.08,3.33,3.79,2,var1,1
20.37,22.5,26.86,18.9,25.73,33.21,2.86,3.06,3.17,3.02,3.15,4.17,3,var2,1
21.92,22.26,26.92,22.33,26.78,34.6,2.79,3.06,3.29,3.05,3.26,3.87,3,var2,1
21.12,23.53,27.83,20.22,28.01,36.86,2.75,2.47,2.64,2.99,3.24,3.73,3,var2,1
25.17,26.2,31.98,23.06,32.42,41.38,3.44,3.04,2.35,3.03,3.29,3.81,4,var3,1
23.59,26.75,31.98,22.96,30.39,39.06,2.85,3.04,3.35,3.06,3.34,3.79,4,var3,1
20.97,23.7,28.77,20.41,27.23,35.96,2.92,3.12,3.41,3.07,3.35,3.78,4,var3,1
23.91,25.67,29.92,23.89,30.08,37.46,2.9,3.19,3.6,3.11,3.36,3.81,5,var4,1
21.85,23.77,27.48,20.43,25.66,34.01,2.85,3.06,3.37,3.01,3.29,3.68,5,var4,1
21.22,23.43,27.27,20.93,26.87,35.24,2.86,3.09,3.38,3.09,3.33,3.74,5,var4,1
22.09,23.66,27.8,21.61,26.88,33.48,2.9,3.22,3.54,3.03,3.33,3.77,6,var5,1
23.2,24.02,27.28,20.7,25.85,31.79,2.88,3.09,3.38,3.04,3.31,3.72,6,var5,1
20.77,22.41,26.08,18.83,24.02,30.15,2.88,3.09,3.35,3.06,3.31,3.72,6,var5,1
20.52,21.18,24.2,20.28,23.64,30.86,2.84,3.07,3.41,3.06,3.34,3.78,7,var6,1
21.86,21.68,24.44,20.94,24.25,30.08,2.87,3.06,3.32,3.05,3.32,3.78,7,var6,1
21.25,20.71,24.06,18.86,23.63,31.56,2.87,3.08,3.35,3.07,3.33,3.76,7,var6,1
21.48,23.32,27.39,22.78,28.27,35.72,2.89,3.09,3.43,3.05,3.3,3.76,8,var7,1
21.23,23.53,27.93,21.39,27.24,34.52,2.87,3.09,3.39,3.11,3.36,3.81,8,var7,1
