VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
17.72,20.48,26.14,20.07,30.45,39.14,3.3,3.17,3.21,3.45,3.4,4.32,17,var16,1
16.13,18.74,24.32,17.24,28.32,37.54,3.34,3.59,3.81,3.56,3.83,4.41,17,var16,1
16.38,18.68,24.26,18.59,29.41,38.06,3.35,3.6,3.84,3.56,3.79,4.39,17,var16,1
17.38,18.17,22.16,19.29,27.77,34.24,3.32,3.58,3.82,3.56,3.86,4.41,18,var17,1
16.96,17.94,22.24,19.69,27.9,34.24,3.35,3.6,3.83,3.55,3.83,4.37,18,var17,1
19.28,18.84,22.43,18.13,27.94,34.6,3.33,3.58,3.84,3.54,3.77,4.31,18,var17,1
17.37,17.8,21.97,16.93,26.26,33.54,3.32,3.57,3.79,3.59,3.78,4.31,19,var18,1
16.88,17.75,21.92,17.65,26.63,33.22,3.36,3.61,3.88,3.53,3.76,4.36,19,var18,1
16.21,18.21,23.7,19.66,28.22,35.43,3.37,3.56,3.81,3.52,3.78,4.31,19,var18,1
20.88,22.83,28.31,22.67,34.06,42.26,3.34,3.61,3.9,3.55,3.78,4.51,20,var19,1
18.75,19.9,25.09,21.15,32.86,40.74,3.32,3.54,3.82,3.59,3.81,4.42,20,var19,1
16.64,18.06,22.94,14.69,29.31,36.3,3.37,3.63,3.87,3.75,3.77,4.37,20,var19,1
14.33,15.39,19.49,15.1,23.71,30.26,3.37,3.6,3.83,3.56,3.79,4.33,21,var20,1
31.53,17.08,20.79,-2.12,25.48,33.26,3.2,3.56,3.83,3.95,3.84,4.3,21,var20,1
17.05,18.37,22.86,17.46,26.11,33.0,3.35,3.6,3.83,3.6,3.85,4.44,21,var20,1
15.2,16.45,20.46,17.57,25.16,30.58,3.39,3.61,3.85,3.64,3.8,4.32,22,var21,1
17.39,16.67,20.19,16.61,23.93,29.96,3.34,3.58,3.84,3.64,3.83,4.32,22,var21,1
17.32,16.72,20.52,16.61,23.86,29.07,3.32,3.56,3.78,3.66,3.87,4.35,22,var21,1
16.13,16.03,20.62,18.91,22.95,28.24,3.34,3.59,3.82,3.56,3.78,4.29,23,var22,1
17.07,17.78,22.31,16.79,24.26,31.2,3.35,3.58,3.84,3.59,3.82,4.35,23,var22,1
16.63,18.34,23.18,17.85,26.24,33.89,3.35,3.59,3.85,3.55,3.81,4.36,23,var22,1
18.14,19.87,25.25,19.59,28.39,36.58,3.37,3.59,3.93,3.63,3.86,4.34,24,var23,1
18.77,19.72,24.86,19.62,28.19,35.89,3.33,3.62,3.9,3.59,3.85,4.41,24,var23,1
17.89,18.77,24.24,18.84,27.65,36.34,3.38,3.66,3.95,3.61,3.88,4.45,24,var23,1
18.25,19.63,25.9,18.45,28.28,36.89,3.35,3.55,3.84,3.59,3.82,4.41,25,var24,1
18.73,20.82,26.74,19.13,29.26,38.59,3.32,3.57,3.87,3.59,3.85,4.42,25,var24,1
20.17,21.63,27.77,19.6,30.29,39.24,3.35,3.59,3.87,3.63,3.83,4.44,25,var24,1
19.44,19.52,24.06,20.87,28.87,35.13,3.33,3.54,3.78,3.58,3.8,4.65,26,var25,1
17.49,17.72,22.98,17.62,26.13,33.86,3.29,3.55,3.82,3.6,3.87,4.39,26,var25,1
18.91,18.84,23.68,19.9,28.26,35.29,3.3,3.55,3.82,3.66,3.9,4.44,26,var25,1
17.24,17.29,21.35,16.55,25.92,32.62,3.35,3.6,3.82,3.66,3.85,4.38,27,var26,1
15.03,15.44,19.5,17.99,25.93,31.23,3.32,3.55,3.79,3.64,3.82,4.33,27,var26,1
19.68,15.52,19.15,16.03,22.99,28.57,3.37,3.62,3.92,3.57,3.8,4.33,27,var26,1
18.36,19.84,23.75,19.44,27.07,32.62,3.35,3.56,3.84,3.63,3.82,4.32,28,var27,1
17.37,17.91,22.1,16.4,24.74,31.09,3.33,3.51,3.82,3.61,3.81,4.28,28,var27,1
15.71,15.38,20.09,15.51,23.71,31.02,3.33,3.6,3.87,3.6,3.82,4.45,28,var27,1
16.55,17.05,21.74,17.52,24.62,31.43,3.3,3.58,3.85,3.58,3.8,4.34,29,var28,1
16.26,17.7,22.51,17.57,26.77,35.44,3.36,3.62,3.9,3.63,3.85,4.4,29,var28,1
17.0,18.34,24.16,18.61,29.14,36.66,3.33,3.6,3.88,3.66,3.86,4.44,29,var28,1
18.57,20.84,25.88,21.67,31.77,37.96,3.32,3.52,3.77,3.64,3.76,4.34,30,var29,1
18.78,20.03,24.74,19.39,29.12,35.57,3.3,3.52,3.77,3.59,3.8,4.35,30,var29,1
19.82,19.45,24.44,18.59,27.47,33.94,3.31,3.57,3.83,3.63,3.85,4.37,30,var29,1
16.9,16.97,21.44,16.58,25.06,31.36,3.29,3.45,3.53,3.61,3.76,4.43,31,var30,1
15.13,16.43,20.37,16.33,24.18,30.45,3.3,3.31,3.44,3.55,3.65,4.35,31,var30,1
15.79,16.28,20.44,16.77,23.85,30.13,3.35,3.55,3.8,3.67,3.83,4.4,31,var30,1
19.27,20.59,26.48,19.79,28.64,36.57,3.34,3.58,3.85,3.63,3.84,4.41,32,var31,1
17.4,20.08,26.5,20.05,30.16,38.68,3.33,3.57,3.87,3.6,3.79,4.37,32,var31,1
19.19,20.83,27.48,21.88,31.61,39.78,3.32,3.59,3.85,3.66,3.86,4.41,32,var31,1
19.4,21.37,26.84,20.92,30.11,38.77,3.32,3.55,3.85,3.71,3.81,4.4,33,var32,1
17.22,19.38,24.79,18.13,28.26,37.37,3.32,3.55,3.83,3.66,3.95,4.44,33,var32,1
15.97,19.26,25.43,17.87,29.08,36.99,3.34,3.57,3.73,3.7,3.89,4.47,33,var32,1
17.6,17.52,21.39,19.0,27.74,33.67,3.31,3.53,3.77,3.65,3.86,4.36,34,var33,1
15.32,16.89,20.76,17.23,25.23,31.45,3.34,3.52,3.72,3.67,3.79,4.36,34,var33,1
16.09,17.46,21.21,17.05,25.32,31.79,3.32,3.46,3.73,3.63,3.81,4.34,34,var33,1
18.11,19.16,24.22,21.04,29.26,36.7,3.32,3.57,3.88,3.61,3.86,4.4,35,var34,1
17.86,19.51,24.41,19.66,29.42,38.16,3.32,3.55,3.84,3.64,3.85,4.37,35,var34,1
18.99,21.1,25.81,20.77,30.53,37.5,3.33,3.56,3.84,3.65,3.87,4.43,35,var34,1
18.59,20.15,25.23,19.2,27.87,34.4,3.34,3.61,3.9,3.59,3.89,4.44,36,var35,1
17.49,18.73,23.71,17.85,27.45,35.52,3.32,3.61,3.89,3.71,3.9,4.4,36,var35,1
16.26,17.47,22.13,17.86,25.45,31.95,3.33,3.6,3.87,3.65,3.84,4.38,36,var35,1
17.84,18.37,22.84,17.61,23.47,30.07,3.31,3.59,3.86,3.68,3.89,4.36,37,var36,1
17.7,18.39,23.23,17.93,25.95,33.01,3.3,3.54,3.82,3.6,3.87,4.34,37,var36,1
18.54,19.87,23.89,19.58,28.39,33.32,3.3,3.52,3.82,3.64,3.85,4.37,37,var36,1
15.0,15.37,19.48,17.53,23.06,28.32,3.34,3.57,3.86,3.62,3.87,4.4,38,var37,1
16.26,16.18,20.49,16.33,24.34,30.85,3.32,3.61,3.83,3.7,3.82,4.33,38,var37,1
16.98,17.38,21.7,18.4,26.84,32.67,3.31,3.57,3.83,3.67,3.86,4.36,38,var37,1
18.25,18.86,23.55,19.72,29.47,36.07,3.29,3.54,3.8,3.71,3.91,4.42,39,var38,1
19.83,19.57,23.97,18.75,26.71,34.15,3.28,3.56,3.81,3.67,3.9,4.44,39,var38,1
18.24,20.69,25.84,20.07,27.43,35.71,3.33,3.57,3.87,3.65,3.88,4.36,39,var38,1
18.15,19.99,25.29,19.35,29.89,38.2,3.29,3.56,3.85,3.62,3.82,4.41,40,var39,1
18.76,20.82,25.92,18.11,28.37,37.25,3.31,3.56,3.88,3.67,3.86,4.46,40,var39,1
17.82,19.82,24.74,18.13,28.77,37.66,3.32,3.56,3.86,3.6,3.84,4.47,40,var39,1
19.37,20.92,26.97,20.89,30.29,40.42,3.33,3.56,3.85,3.62,3.83,4.5,41,var40,1
17.52,19.54,26.31,18.95,28.98,38.2,3.33,3.61,3.88,3.64,3.84,4.49,41,var40,1
15.68,19.27,25.89,18.42,29.14,37.67,3.33,3.58,3.93,3.65,3.86,4.61,41,var40,1
18.61,19.53,25.59,20.71,29.88,38.75,3.29,3.55,3.81,3.6,3.8,4.29,42,var41,1
18.73,20.3,25.7,21.28,29.93,38.66,3.27,3.48,3.77,3.58,3.78,4.34,42,var41,1
18.53,20.82,26.64,19.37,30.49,38.67,3.3,3.56,3.83,3.59,3.79,4.37,42,var41,1
18.74,20.71,25.48,19.31,29.46,37.27,3.29,3.5,3.77,3.61,3.78,4.28,43,var42,1
18.64,20.29,24.9,18.78,27.74,34.79,3.31,3.52,3.8,3.65,3.81,4.3,43,var42,1
19.02,17.67,21.87,17.8,24.55,31.87,3.27,3.53,3.77,3.57,3.74,4.23,43,var42,1
