VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
18.37,24.16,29.85,23.01,31.22,40.59,2.89,3.12,3.48,3.16,3.49,3.96,1,var0,1
18.712253086419754,24.196651234567906,29.95597222222223,22.23189814814815,30.29,40.52,2.86,3.08,3.38,3.2,3.47,3.95,1,var0,1
20.244506172839504,25.0633024691358,30.481944444444448,23.353796296296302,31.24,41.22,2.87,3.08,3.42,3.16,3.48,3.94,1,var0,1
18.656759259259253,23.639953703703704,28.85791666666667,21.995694444444442,29.12,36.85,2.93,3.22,3.63,3.17,3.42,3.92,2,var1,1
19.09901234567901,22.58660493827161,26.94388888888889,21.43759259259259,27.4,34.83,2.87,3.08,3.39,3.14,3.43,3.89,2,var1,1
17.901265432098764,21.933256172839503,25.979861111111113,20.819490740740736,26.59,34.29,2.89,3.09,3.37,3.17,3.45,3.98,2,var1,1
17.29351851851852,20.759907407407404,25.34583333333333,19.89138888888889,26.71,34.48,2.85,2.99,3.1,3.05,3.12,4.22,3,var2,1
21.715771604938272,19.15655864197531,25.891805555555557,20.75328703703704,27.11,37.01,2.84,3.14,3.21,3.09,3.49,4.59,3,var2,1
17.71802469135802,21.783209876543207,27.24777777777777,19.085185185185185,26.57,36.37,2.88,3.06,3.35,3.19,3.52,3.99,3,var2,1
18.460277777777783,24.769861111111112,30.78375,23.54708333333333,33.37,43.05,2.91,3.09,3.41,3.43,3.69,4.19,4,var3,1
19.44253086419753,24.186512345679013,29.319722222222218,22.47898148148148,29.99,39.11,2.89,3.09,3.42,3.19,3.49,3.97,4,var3,1
18.194783950617285,21.573163580246916,26.415694444444448,18.97087962962963,24.41,34.32,2.87,3.09,3.43,3.16,3.48,3.93,4,var3,1
19.69703703703704,23.549814814814816,27.83166666666667,21.562777777777782,27.39,34.59,2.87,3.11,3.47,3.11,3.41,3.91,5,var4,1
19.38929012345679,22.27646604938272,26.15763888888889,19.664675925925923,25.62,33.94,2.86,3.08,3.42,3.14,3.46,3.92,5,var4,1
17.631543209876547,21.433117283950622,25.753611111111113,20.10657407407407,25.28,33.43,2.9,3.09,3.4,3.2,3.5,3.97,5,var4,1
19.783796296296295,22.019768518518518,26.40958333333333,19.378472222222218,25.89,33.02,2.89,3.11,3.46,3.22,3.46,3.93,6,var5,1
18.52604938271605,21.026419753086422,24.805555555555557,19.250370370370373,23.9,31.03,2.88,3.09,3.41,3.2,3.48,3.94,6,var5,1
17.018302469135804,19.60307098765432,23.50152777777777,18.902268518518518,24.24,31.11,2.86,3.08,3.39,3.21,3.52,3.97,6,var5,1
17.190555555555555,19.879722222222227,23.4475,20.264166666666668,23.73,30.11,2.91,3.09,3.41,3.2,3.47,3.96,7,var6,1
18.142808641975307,19.786373456790127,23.28347222222223,20.096064814814813,23.33,29.84,2.88,3.08,3.38,3.17,3.46,3.91,7,var6,1
17.145061728395063,18.883024691358024,23.079444444444448,18.367962962962967,22.81,31.07,2.87,3.08,3.36,3.16,3.44,3.93,7,var6,1
18.577314814814816,20.909675925925924,25.455416666666665,19.949861111111108,25.62,33.94,2.85,3.07,3.36,3.17,3.47,3.98,8,var7,1
18.96956790123457,21.796327160493828,26.321388888888887,20.961759259259264,25.71,34.05,2.89,3.08,3.39,3.16,3.5,4.01,8,var7,1
18.061820987654322,21.972978395061727,27.307361111111113,19.79365740740741,27.21,36.68,2.92,3.09,3.37,3.18,3.43,3.94,8,var7,1
17.434074074074072,20.499629629629627,25.23333333333333,19.925555555555558,25.94,35.48,2.88,3.09,3.42,3.18,3.48,3.99,9,var8,1
18.786327160493826,20.58628086419753,25.599305555555553,19.677453703703698,25.33,34.97,2.9,3.14,3.49,3.2,3.55,3.95,9,var8,1
19.658580246913587,21.82293209876543,26.475277777777773,19.55935185185185,26.67,36.42,2.88,3.08,3.45,3.16,3.44,3.94,9,var8,1
17.720833333333335,20.449583333333333,24.80125,18.22125,22.84,31.56,2.94,3.14,3.44,3.17,3.47,3.9,10,var9,1
18.813086419753088,21.356234567901236,24.85722222222222,19.18314814814815,23.91,31.92,2.89,3.08,3.41,3.19,3.45,3.92,10,var9,1
21.42533950617284,22.262885802469135,25.033194444444447,20.565046296296302,24.53,30.11,2.84,3.09,3.37,3.17,3.46,3.94,10,var9,1
18.327592592592595,20.399537037037035,24.299166666666668,20.526944444444442,24.57,31.84,2.88,3.1,3.38,3.17,3.43,3.97,11,var10,1
18.239845679012348,20.346188271604934,24.17513888888889,20.248842592592588,23.72,31.36,2.86,3.09,3.42,3.17,3.49,3.91,11,var10,1
17.942098765432103,20.56283950617284,24.82111111111111,19.64074074074074,25.34,33.34,2.86,3.11,3.43,3.23,3.48,3.95,11,var10,1
18.634351851851854,21.01949074074074,25.20708333333333,18.46263888888889,24.11,32.63,2.9,3.11,3.37,3.18,3.47,3.91,12,var11,1
18.886604938271606,21.706141975308643,25.37305555555556,19.514537037037037,22.88,31.71,2.89,3.06,3.35,3.19,3.72,3.9,12,var11,1
19.00885802469136,21.412793209876547,25.359027777777772,20.546435185185185,25.42,33.1,2.88,3.08,3.36,3.2,3.42,3.85,12,var11,1
17.261111111111113,21.249444444444443,27.055,17.128333333333334,23.98,34.03,2.88,3.11,3.44,3.18,3.48,3.91,13,var12,1
20.293364197530867,24.51609567901234,31.030972222222218,19.80023148148148,28.41,38.37,2.86,3.11,3.34,3.16,3.45,3.95,13,var12,1
20.335617283950622,25.58274691358025,31.606944444444448,23.72212962962963,31.8,41.92,2.89,3.1,3.39,3.15,3.47,3.95,13,var12,1
16.207870370370372,19.829398148148147,24.87291666666667,18.894027777777783,25.71,35.03,2.88,3.06,3.36,3.15,3.4,3.98,14,var13,1
17.200123456790127,20.09604938271605,24.97888888888889,17.575925925925926,24.34,33.73,2.87,3.07,3.32,3.18,3.48,3.99,14,var13,1
16.632376543209876,20.17270061728395,24.804861111111112,18.15782407407407,23.66,32.63,2.88,2.84,2.89,3.19,3.45,3.83,14,var13,1
18.964629629629627,22.62935185185185,27.450833333333332,19.48972222222222,26.12,33.78,2.88,3.08,3.36,3.21,3.47,3.97,15,var14,1
20.436882716049386,23.066003086419748,26.956805555555555,21.74162037037037,26.9,34.35,2.86,3.08,3.36,3.17,3.46,3.95,15,var14,1
20.47913580246913,23.522654320987648,28.44277777777777,21.65351851851852,26.71,35.46,2.91,3.13,3.45,3.14,3.46,3.95,15,var14,1
19.54138888888889,23.789305555555554,28.96875,22.63541666666667,30.13,39.23,2.9,3.13,3.4,3.15,3.44,3.98,16,var15,1
20.38364197530864,24.755956790123452,27.06472222222223,20.907314814814814,29.7,39.65,2.88,3.03,4.03,3.13,3.41,3.96,16,var15,1
20.3658950617284,25.852608024691357,30.670694444444447,32.639212962962965,27.99,39.85,2.9,3.0,3.35,3.11,3.55,3.98,16,var15,1
21.488148148148152,25.65925925925925,30.906666666666666,21.73111111111111,31.18,40.28,2.92,3.13,3.31,3.15,3.19,4.37,17,var16,1
21.860401234567906,26.125910493827163,31.50263888888889,22.143009259259262,30.55,40.29,2.85,2.97,3.2,3.2,3.5,3.99,17,var16,1
21.212654320987657,25.32256172839506,30.72861111111111,21.41490740740741,30.77,40.49,2.91,3.15,3.48,3.15,3.43,4.0,17,var16,1
18.884907407407404,22.739212962962966,27.20458333333333,20.516805555555557,26.36,34.14,2.93,3.13,3.39,3.16,3.47,3.95,18,var17,1
18.92716049382716,22.74586419753086,27.310555555555553,20.588703703703704,26.65,34.07,2.89,3.09,3.38,3.19,3.42,3.94,18,var17,1
18.799413580246913,23.28251543209877,28.156527777777782,20.45060185185185,26.89,34.35,2.89,3.14,3.4,3.09,3.41,3.95,18,var17,1
17.101666666666667,20.269166666666663,24.7525,17.3225,24.55,34.06,2.87,3.02,3.28,3.1,3.44,3.9,19,var18,1
16.78391975308642,20.555817901234565,25.378472222222218,16.884398148148147,24.54,33.6,2.94,3.15,3.45,3.17,3.45,3.96,19,var18,1
