VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
18.49,20.49,27.51,20.85,30.93,40.2,2.74,3.05,3.42,3.01,3.24,3.95,1,var0,1
17.23,19.65,27.41,21.71,30.46,41.06,2.75,3.1,3.4,3.03,3.35,4.05,1,var0,1
19.81,20.71,28.27,21.48,31.77,43.17,2.72,3.1,3.43,3.01,3.29,4.03,1,var0,1
18.5,17.69,24.43,19.57,27.09,35.85,2.75,3.14,3.44,3.01,3.29,3.91,2,var1,1
16.41,17.04,23.65,18.18,26.71,33.85,2.76,3.11,3.41,3.06,3.25,3.89,2,var1,1
19.0,18.54,24.12,19.79,25.89,34.23,2.74,3.08,3.35,3.01,3.29,3.89,2,var1,1
19.78,18.67,25.88,22.82,28.94,37.3,2.68,2.9,3.15,2.98,3.14,3.81,3,var2,1
17.9,18.11,26.55,21.7,31.39,41.13,2.71,2.82,3.13,2.8,3.18,4.34,3,var2,1
19.43,19.86,27.22,19.91,29.88,40.8,2.69,2.95,3.28,3.06,3.32,4.01,3,var2,1
18.67,22.48,30.69,21.95,34.1,44.22,2.8,3.1,3.43,3.06,3.28,4.07,4,var3,1
19.46,22.1,30.3,24.03,33.09,41.4,2.76,3.15,3.51,2.98,3.33,3.91,4,var3,1
18.37,20.55,28.21,19.39,27.54,37.62,2.75,3.15,3.49,2.99,3.31,3.93,4,var3,1
16.56,17.56,25.08,19.37,25.52,35.36,2.77,3.12,3.42,3.04,3.38,3.94,5,var4,1
19.71,19.15,25.34,19.22,26.32,35.83,2.75,3.1,3.43,3.14,3.41,3.94,5,var4,1
18.49,17.93,24.85,18.43,26.77,36.18,2.74,3.11,3.42,2.99,3.27,3.91,5,var4,1
20.01,17.44,23.56,19.44,24.88,33.98,2.74,3.16,3.43,3.03,3.32,3.89,6,var5,1
16.25,16.2,22.16,17.11,24.18,31.62,2.75,3.07,3.37,3.05,3.31,3.91,6,var5,1
15.99,15.18,21.15,18.24,23.49,32.09,2.77,3.09,3.4,3.02,3.34,3.88,6,var5,1
20.74,17.74,23.61,21.44,25.59,33.17,2.71,3.1,3.37,3.02,3.31,3.88,7,var6,1
18.36,17.32,22.92,19.64,25.06,32.98,2.73,3.09,3.37,3.04,3.29,3.89,7,var6,1
16.9,15.98,22.15,17.11,25.66,34.17,2.76,3.12,3.4,3.03,3.26,3.89,7,var6,1
18.26,18.02,25.97,21.82,28.27,37.29,2.77,3.13,3.4,3.0,3.3,3.92,8,var7,1
20.25,20.09,26.57,20.94,28.41,37.87,2.74,3.08,3.41,3.03,3.34,3.96,8,var7,1
18.65,19.43,26.82,20.58,29.87,39.01,2.75,3.08,3.4,2.99,3.25,3.99,8,var7,1
16.93,19.2,26.32,19.65,29.15,38.5,2.79,3.09,3.38,3.02,3.22,3.91,9,var8,1
18.78,19.17,27.36,21.49,28.87,38.82,2.74,3.14,3.42,3.04,3.33,3.95,9,var8,1
19.47,19.02,26.65,20.12,29.07,38.11,2.73,3.12,3.4,3.03,3.31,3.96,9,var8,1
17.14,17.42,23.36,18.59,26.05,34.29,2.79,3.13,3.43,3.03,3.26,3.87,10,var9,1
17.62,17.15,23.18,19.65,25.66,34.05,2.78,3.15,3.4,3.03,3.27,3.92,10,var9,1
18.53,17.26,23.67,21.04,25.85,32.02,2.76,3.1,3.4,3.04,3.3,3.87,10,var9,1
17.26,16.93,22.62,16.86,23.46,31.58,2.76,3.09,3.39,3.09,3.31,3.92,11,var10,1
16.8,16.21,22.3,17.98,25.56,34.25,2.77,3.12,3.39,3.01,3.28,3.94,11,var10,1
16.95,16.97,23.74,18.59,24.86,33.66,2.76,3.12,3.4,3.06,3.36,3.91,11,var10,1
16.28,16.89,23.9,17.82,26.44,34.18,2.79,3.18,3.46,3.03,3.26,3.87,12,var11,1
21.72,17.02,24.55,19.53,26.34,34.18,2.73,3.19,3.42,2.97,3.25,3.85,12,var11,1
19.46,18.4,25.67,20.23,26.81,34.31,2.78,3.16,3.42,3.05,3.27,3.88,12,var11,1
17.39,18.16,26.93,18.63,30.1,41.03,2.78,3.15,3.46,3.04,3.26,3.89,13,var12,1
21.07,22.21,30.82,23.42,33.98,44.04,2.76,3.14,3.45,3.02,3.3,3.94,13,var12,1
21.14,21.66,30.61,24.37,35.58,46.91,2.77,3.17,3.5,3.02,3.24,3.95,13,var12,1
17.27,17.19,24.72,18.6,27.97,37.88,2.76,3.12,3.39,3.04,3.28,3.98,14,var13,1
18.51,17.89,24.86,18.82,28.67,38.17,2.74,3.12,3.35,3.02,3.24,3.87,14,var13,1
18.11,17.52,24.69,22.91,27.19,35.45,2.76,2.99,3.02,2.92,3.11,4.01,14,var13,1
16.09,16.2,23.91,17.8,25.61,34.73,2.78,3.18,3.39,3.01,3.3,3.91,15,var14,1
