VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
15.81,18.02,24.12,15.76,25.64,34.72,3.65,3.77,4.22,3.8,3.93,4.67,1,var0,1
15.27,18.04,24.03,15.84,25.51,34.99,3.63,3.74,4.21,3.81,3.97,4.65,1,var0,1
15.98,18.03,23.88,16.98,25.78,34.67,3.63,3.75,4.2,3.78,3.95,4.68,1,var0,1
14.54,15.69,21.01,13.96,21.91,29.2,3.63,3.76,4.17,3.82,3.94,4.6,2,var1,1
13.69,15.32,19.74,13.43,21.69,28.42,3.62,3.71,4.07,3.77,3.89,4.58,2,var1,1
13.25,14.8,19.33,13.47,20.82,28.48,3.65,3.74,4.14,3.83,3.94,4.59,2,var1,1
15.29,18.7,22.68,14.24,23.43,29.97,3.6,3.59,3.96,3.77,3.86,4.7,3,var2,1
16.48,18.41,23.78,17.24,25.32,34.62,3.41,3.07,3.55,3.58,4.03,5.16,3,var2,1
15.4,17.35,23.38,15.0,25.42,33.88,3.59,3.7,4.11,3.82,3.97,4.72,3,var2,1
16.09,18.05,23.9,15.69,25.86,35.29,3.63,3.75,4.2,3.78,3.94,4.69,4,var3,1
14.2,16.26,21.72,16.77,27.22,34.9,3.63,3.74,4.22,3.8,3.93,4.7,4,var3,1
13.33,15.2,20.6,13.25,23.59,32.06,3.65,3.77,4.23,3.81,3.94,4.67,4,var3,1
14.45,16.36,21.08,15.86,23.44,31.7,3.63,3.74,4.21,3.82,4.01,4.63,5,var4,1
13.74,16.17,21.19,14.43,22.18,30.28,3.64,3.74,4.19,3.84,4.0,4.66,5,var4,1
13.67,15.59,20.89,15.39,22.91,30.42,3.66,3.74,4.2,3.74,3.93,4.66,5,var4,1
14.49,15.69,20.64,13.65,21.76,29.3,3.63,3.74,4.17,3.78,3.94,4.6,6,var5,1
13.62,14.89,19.14,13.45,20.65,26.64,3.61,3.68,4.11,3.77,3.91,4.6,6,var5,1
13.54,14.48,18.54,12.93,20.2,26.13,3.64,3.73,4.16,3.79,3.92,4.55,6,var5,1
12.93,14.65,18.83,13.41,20.73,27.27,3.65,3.74,4.14,3.86,3.99,4.65,7,var6,1
14.26,14.52,18.83,12.75,20.41,26.76,3.62,3.7,4.11,3.85,4.0,4.71,7,var6,1
13.2,14.35,18.62,13.08,20.77,28.0,3.64,3.74,4.13,3.82,3.99,4.65,7,var6,1
15.01,16.72,21.43,13.89,22.23,30.43,3.63,3.72,4.17,3.84,4.0,4.67,8,var7,1
15.13,16.65,22.4,13.36,24.21,32.54,3.62,3.73,4.14,3.84,3.96,4.68,8,var7,1
15.29,16.77,22.94,13.88,23.24,32.16,3.63,3.74,4.14,3.82,3.96,4.7,8,var7,1
14.97,17.11,22.5,16.09,25.13,33.95,3.62,3.75,4.2,3.76,3.95,4.65,9,var8,1
16.62,17.08,22.38,15.28,24.7,33.1,3.64,3.77,4.21,3.8,3.93,4.62,9,var8,1
14.65,16.53,21.85,15.37,24.8,32.67,3.66,3.77,4.22,3.81,3.94,4.67,9,var8,1
16.17,16.11,20.31,14.13,21.88,28.9,3.51,3.71,4.14,3.83,3.98,4.67,10,var9,1
14.06,15.87,20.18,14.0,22.05,29.08,3.65,3.73,4.17,3.8,3.96,4.67,10,var9,1
15.25,16.73,20.36,15.93,22.7,28.23,3.62,3.7,4.16,3.8,3.98,4.67,10,var9,1
14.95,15.66,19.9,14.74,21.54,27.56,3.63,3.77,4.16,3.79,3.97,4.6,11,var10,1
17.2,15.43,18.6,14.03,21.18,27.43,3.62,3.76,4.31,3.81,3.95,4.63,11,var10,1
14.6,15.17,19.47,13.31,21.16,29.24,3.63,3.76,4.21,3.83,3.99,4.62,11,var10,1
15.05,16.56,20.24,13.39,21.71,28.59,3.66,3.76,4.17,3.76,3.93,4.61,12,var11,1
14.96,14.83,19.73,13.59,21.59,28.88,3.62,3.79,4.13,3.81,3.92,4.6,12,var11,1
15.4,15.24,20.03,13.46,21.34,28.55,3.63,3.78,4.16,3.84,3.98,4.67,12,var11,1
13.99,15.92,21.55,14.94,22.96,31.41,3.67,3.78,4.25,3.79,3.94,4.61,13,var12,1
14.92,18.2,24.85,15.93,25.8,35.36,3.66,3.78,4.23,3.8,3.99,4.68,13,var12,1
16.66,20.13,26.82,16.12,27.88,38.06,3.66,3.78,4.25,3.85,4.02,4.73,13,var12,1
14.06,15.91,21.3,15.09,23.86,32.29,3.64,3.72,4.15,3.81,3.97,4.71,14,var13,1
15.62,16.54,21.42,14.35,22.87,31.26,3.64,3.75,4.14,3.82,3.97,4.69,14,var13,1
15.73,16.29,21.22,15.57,22.89,30.4,3.63,3.72,4.05,3.74,3.89,4.42,14,var13,1
16.19,17.39,22.6,15.57,23.63,30.47,3.61,3.72,4.15,3.78,3.92,4.6,15,var14,1
15.26,16.6,22.05,16.33,24.55,30.19,3.64,3.78,4.2,3.76,3.92,4.59,15,var14,1
15.08,17.24,22.3,16.2,23.59,30.93,3.66,3.75,4.2,3.8,3.94,4.66,15,var14,1
16.22,18.25,23.52,16.74,26.28,34.53,3.65,3.77,4.23,3.8,3.97,4.68,16,var15,1
15.8,17.7,23.8,15.33,24.99,34.23,3.64,3.78,4.21,3.83,3.99,4.69,16,var15,1
