VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18
26.780058018969658,25.76707636924092,26.22345990842594,31.70229331668981,29.070029477264338,30.96773548679877
30.621812990721146,32.448418533778316,27.623895527734977,33.072366770923274,31.2104948611019,34.29784679271914
30.420697917839462,32.231551764625515,27.056796371375583,32.982040327362064,29.922080140176593,31.720894693693054
29.234576067548552,29.989057087853986,26.005482506023725,33.22544031032785,28.399306409520978,29.841811596114802
30.032180163408903,30.492003424825377,26.593817179448894,33.149801093361944,28.821580135559806,29.256169169521627
31.76908306556902,35.65989239187088,28.6222546355864,39.77741209450031,33.13610085871528,36.80665292964489
23.71990935319021,20.885266970014012,24.050510810052362,25.264963495664137,25.477591009192768,27.48513191292687
32.98034429997013,37.29331444038347,29.051268592438245,42.281312243324756,33.950039282097656,37.691844938108595
25.71734769067433,30.842681604732043,27.842126510177213,40.27952485408589,34.05949018898107,42.0909437653047
31.332571941473514,35.83984566840193,28.086910945381664,40.296904738890355,32.94042119165934,37.74765773528894
27.726213020935823,28.327949919875078,26.337686848739487,33.11999146308699,30.483076020017442,36.059399009343664
26.206246319898504,26.951025524547294,25.986976125787745,29.810605898454448,27.90431453262657,32.55980691523146
29.812946239604468,31.983758630348433,27.40083781328415,25.07662650618787,29.81390225133525,34.491737085369444
29.44896734862497,31.538384019215584,27.245252606219907,32.64672868751506,29.41203379112939,31.26689980136989
27.71731020063159,29.191259818545515,25.938638974078454,31.953691163872428,27.736156808143285,31.76722017876461
28.317323887579608,28.834960129639224,26.21808813239773,29.87990965081871,27.70195523706193,31.152965458002768
30.593846405705943,35.096927162166985,28.423470679133573,37.48732923726512,32.16811039410148,36.988385305240065
23.612069496917343,21.985098610416106,24.34049189569043,26.873193009784533,25.156788322424845,29.11700827870352
34.43658112138044,40.085122806854855,29.05789579531785,42.67977960671066,32.581379378001124,37.53328868656104
26.307719222838248,32.87005410650278,27.994478457713733,41.30436667517376,33.157105824537155,42.754453813036505
30.11074715040587,34.62483007436618,27.79206663493112,37.263424806549814,30.956804751637005,35.52705350987928
26.519488759408134,28.376224280172394,25.882749142414614,32.75334984499854,28.254880636210423,36.61686027252123
25.42862328522107,26.117003892294345,24.41505870253232,30.348693316652355,25.297422761788848,29.911477906332077
28.85502584174428,32.03319963658002,25.74648864668625,33.92665086906206,26.87132201440127,28.790004816006647
28.65235508054513,30.664972810992357,25.460252893219945,32.88822893691795,26.606301178050717,29.241030581949865
27.18721436937624,29.0836265421667,24.251701934139923,31.80308820463338,25.164912343613572,29.444610234095226
27.784670884161248,28.74689782185073,24.766348036331888,30.3498173780091,25.037810513935256,28.84163604299748
30.125940406763984,34.80801478753822,26.42449151727062,36.823989269952115,28.53446297721336,34.83389287992792
22.77701415953213,21.2493558087394,22.697644181734404,24.619212073564483,22.91493952888242,30.71963825274861
33.539676040712244,38.503505933284394,26.638445514811092,40.593084088901314,28.891429818012057,34.828716369702384
26.24563979130516,31.51745058394417,26.368111747648452,39.76795279920286,30.4409904223882,40.54358365868556
29.81348964991529,35.114906785800876,26.2163200602042,38.4281419157768,28.69942492637033,35.351365402128145
26.07463633654337,27.749498827497096,24.441080134665622,34.213965635439536,25.57596506938177,32.33917195192853
23.32229314715088,21.13504905270563,21.606098749385072,22.07498172812784,22.125499858158523,25.741355706499828
26.968756417339907,26.916125703828172,23.36194191205541,25.26938860004309,24.70386179206384,28.70436281862009
26.597283011511177,26.425585539181732,23.12132127504108,25.860561300365077,24.504246674600207,28.129000710302922
25.012999134760538,24.09450624437425,21.80547013433981,24.50708696015423,22.2973906537522,22.98794992172908
25.79008134046713,23.70937140436259,22.369209912487694,22.272039294901838,22.75484196460637,24.022308768141972
27.372357252861924,28.28234087313273,23.326192560270425,27.239964267783023,24.648413148323932,28.11319800570494
20.734027092484762,15.901269279494414,20.11700075003348,15.338724379722116,19.45010279770837,24.42053692401093
30.63329136673143,31.318825032803694,22.923324865155,29.03422527051465,24.185416973095773,25.179593501533645
22.515091476106825,20.924238403436085,21.447976616489942,23.350670186717373,22.61067549088263,26.377869492912804
27.09325020740143,28.69990812072433,23.432065640556747,27.32293587484576,24.911794206088462,29.146934321330647
23.509033832243148,21.9863997516788,21.478226068000307,21.478623302364436,21.742904216353207,25.77104563635058
20.729410004255172,19.024170708873037,20.351124273150745,16.536151152101915,18.491518132906574,18.436840381476667
24.82593999142844,24.873115058414946,21.82885735342686,20.28318616376189,20.196637208054394,19.90761738207064
24.220280773229142,24.71086423410424,21.802013882395507,20.803991768088558,20.3691203514942,19.410334613961503
21.35466984440267,19.94623027141923,20.56587204140159,18.07552346931524,18.930118126224944,19.241764184093995
24.23400120859288,23.990628867651854,21.21816838746352,19.430539820395232,19.523952948639145,19.34712070276118
23.575420311133442,23.17146007174172,21.796645188189224,20.015870012868568,20.758439446686907,21.538536291038746
18.383215557055934,15.525884643247164,19.082770266919198,13.102521282868596,16.719869845289118,16.59942269592087
29.314482417565664,30.092842796605588,21.591292634799363,22.679813723495215,20.043866423864845,20.653541534234343
19.694497165390338,17.951732333551078,19.618297513994733,17.471757680228574,18.3288911690919,19.60419060830913
23.40097477579448,24.01041555354341,22.06239555139965,20.670333692641893,21.029484386378037,21.0075394369561
20.93325647251643,19.38824572927754,20.26790951295354,17.052347857275247,18.688641725409216,17.796272747980147
20.471016284087053,21.401482836805872,19.247382334503968,19.966092661048613,18.132509616002952,19.610311715658863
24.60835139552929,27.594197978932055,20.892679091221137,23.678373832083288,20.341456308232857,20.810740197430693
