x,y,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1
468095.918367347,468750,36.1359270337571,34.232310570517,31.3783608786513,20.6444715049871,24.260193877559,32.4786833735859
468092.448979592,468754.081632653,25.3991459539472,26.5808460014242,30.0477308290887,26.5652841540952,22.8294160446231,26.8323143838233
468095.918367347,468754.081632653,45.1548141812229,33.3840213445099,33.4339460177227,27.80576846757,23.3827915040972,27.0618451501003
468099.387755102,468754.081632653,55.3268833413028,35.5727846410254,33.1965448172672,21.7471745969869,22.1812543161116,26.9553685195959
468102.857142857,468754.081632653,41.6634507781547,30.1474005010154,29.4603423592448,23.8854758815569,24.1453902547142,29.5868959053156
468106.326530612,468754.081632653,73.666896270194,37.8528693174402,32.3039338580468,23.7761558691312,25.2536772854644,30.2746548808822
468109.795918367,468754.081632653,106.92655252086,47.4102390900393,35.9202249307562,35.0648335124137,26.3890783003655,29.4757935105162
468113.265306122,468754.081632653,131.218363943048,54.0687584854454,38.8793460618056,24.453061822625,25.0302847235903,29.2121784521901
468116.734693878,468754.081632653,130.550066248686,55.475330358528,41.2697791073499,18.088040980633,24.823802464329,33.6629836891767
468120.204081633,468754.081632653,93.5865087658251,47.4577161380176,45.3461923093724,17.9259776721733,24.6660943237898,53.7523847960409
468123.673469388,468754.081632653,56.7936017054388,39.4220084526019,48.9531489602059,24.7244886508721,27.0872239883762,42.2025865326322
468088.979591837,468758.163265306,24.17416845095,24.0023564701941,26.5708236498838,15.0416912059814,19.2278764200289,24.3705891152797
468092.448979592,468758.163265306,24.5258898155364,26.4057628559589,29.4405823417873,15.4767089421474,20.2015122594454,25.6676882482027
468095.918367347,468758.163265306,23.6694543926972,26.1176566519715,29.4970488206683,14.7011220710738,19.1322503466453,24.305889545439
468099.387755102,468758.163265306,21.914934709865,24.5006782091236,28.0920844603673,15.1862958888007,19.4998970458051,24.6589978535525
468102.857142857,468758.163265306,20.1558822565344,22.8496461658345,26.6411372984976,14.3326373901435,18.8505658995913,24.62016855791
468106.326530612,468758.163265306,47.2712773069174,30.8974994829821,29.6505776278043,15.2910013220621,19.5653360504997,24.6866082312379
468109.795918367,468758.163265306,82.6050734530254,41.46904334701,33.6716913954421,15.9690900853704,20.2272786819645,25.2388549549627
468113.265306122,468758.163265306,99.5795815424914,46.6859009456611,36.4655180416269,15.988824992055,20.5904888887111,26.0997955830428
468116.734693878,468758.163265306,104.656525184241,48.6812767694396,37.3238329780008,16.0008952500206,21.1826898313434,32.0459547417184
468120.204081633,468758.163265306,80.2991738541525,42.6561483267218,35.9318023418761,16.0919076668945,21.8646114742363,40.7641304301314
468123.673469388,468758.163265306,32.1897416070902,29.5908369786755,32.0616016957936,15.5784739140418,20.5732876048286,28.0451490796757
468127.142857143,468758.163265306,71.224190264342,39.4547877424269,34.7208103176199,15.8117701228147,20.7375569106235,27.085713184777
468130.612244898,468758.163265306,93.0898260903062,43.7353744576698,34.9346023917096,16.0853763632226,20.9230050688451,27.8293520929008
468134.081632653,468758.163265306,59.0988179387454,32.5322867103075,28.4002277333654,17.0931161755487,21.7966657061137,31.0724956499421
468137.551020408,468758.163265306,82.3327774251973,44.587317987238,36.9647597750768,17.2045152417328,21.5579290952179,32.5008559647302
468141.020408163,468758.163265306,90.4250780858915,48.557035806883,39.5129090657558,18.0109640052882,21.9773596620116,32.4540358962316
468144.489795918,468758.163265306,95.8565586754336,50.2077684612589,40.007676407047,17.9163011557165,22.1222145342023,28.3473326278427
468147.959183674,468758.163265306,112.570598379182,57.3665969563739,42.9146261630853,21.4080115215613,24.2994597285724,37.2698420631922
468151.428571429,468758.163265306,107.310996523742,57.0856436821949,37.9166719928057,26.4920953898421,28.1309699805445,55.8356251253723
468085.510204082,468762.244897959,23.3707346255899,23.085334686053,24.8237602831214,15.3293419837129,17.7283165464839,22.0266615517878
468088.979591837,468762.244897959,23.5594196204587,24.2782839166083,26.1170644454149,15.1663103619267,18.619708656259,23.2855893235152
468092.448979592,468762.244897959,23.6654519720082,24.2667213966146,25.9254864960309,15.2863293334572,19.1281524042628,23.9433629465785
468095.918367347,468762.244897959,23.709813908191,24.4079016503284,26.3303925113672,15.4867928788067,19.3527628652098,24.2441651176475
468099.387755102,468762.244897959,22.582523426489,23.5640171997758,25.849415324064,15.6363275760552,19.5643057277113,24.5687147294241
468102.857142857,468762.244897959,19.5204749307578,21.8970880691434,25.4450474163369,15.8478493359129,19.6519358233103,24.2885463622499
468106.326530612,468762.244897959,25.8466341921451,25.7201853506062,27.7200342100366,16.0968085172722,19.7452339832435,23.9852709388831
468109.795918367,468762.244897959,58.7624373374468,35.5600129714058,31.8711887510348,15.8961162176028,19.8475645139793,24.9275319667992
468113.265306122,468762.244897959,66.8859197242397,38.7702280923621,33.7559228334138,16.7794292776253,20.6815959126108,25.8784094629504
468116.734693878,468762.244897959,66.6077696903001,38.5098497071741,33.282591336866,14.6759940771841,19.6441506468251,25.4217622283993
468120.204081633,468762.244897959,38.5458345380502,31.0243208804379,31.4373093759014,14.2853061181908,19.244004326898,24.9353723401856
468123.673469388,468762.244897959,24.230740573631,27.2574523148018,30.6503508233316,15.0722198335601,19.6978948449944,25.1690404102751
468127.142857143,468762.244897959,22.1931569518235,25.1437673773368,28.8466771064847,14.6265607055626,19.4806225070895,25.1314159631564
468130.612244898,468762.244897959,32.859222501398,25.9031975488832,27.5861562009291,14.8934082030175,19.709087079347,25.8618964093681
468134.081632653,468762.244897959,45.0617352897487,27.2880303822251,26.8426631112833,15.4771670895476,20.1521177783638,26.7377771111549
468137.551020408,468762.244897959,41.1542888578767,28.8910939010517,29.5907681217462,14.9079785818135,19.5429554641604,27.2865729452979
468141.020408163,468762.244897959,39.0924531804477,32.0390627363144,33.1240019258452,16.0543281659312,20.505669066836,28.0368077475893
468144.489795918,468762.244897959,36.0118658783797,32.6379183156283,34.3151829441149,17.4156886842222,21.9028837748896,27.3575563290515
468147.959183674,468762.244897959,43.4247515524091,34.8502561394487,35.2380518446933,20.2292681615204,23.4234234893145,28.1720184534371
468151.428571429,468762.244897959,50.8376372263141,37.062593963232,36.1609207452561,22.8933155733036,24.8143002654806,29.0017999459362
468154.897959184,468762.244897959,59.8896549384859,42.1913240972331,39.6093021487659,24.991617454744,26.4050796673032,35.2861866937312
468158.367346939,468762.244897959,71.9042668660904,47.7630776060396,41.8728478892254,26.255898124877,27.8216890163026,40.8084049978291
