    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
    8    9        17   18       -0.17992        146.936        142.914         0.64823E+01    0.64823E+01    0
    8    9        18   19       -0.17830        144.413        138.967         0.46383E+01    0.46383E+01    0
    8    9        19   20       -0.21840        140.950        132.173         0.33970E+01    0.33970E+01    0
    9   10        11   12       -1.15621         47.929         47.337         0.93062E+02    0.93062E+02    0
    9   10        12   13       -1.49970         76.725         74.557         0.71325E+02    0.52308E+02    1
    9   10        13   14       -0.47274         93.213         92.170         0.44327E+02    0.42008E+02    1
    9   10        14   15       -0.43175         95.294         93.630         0.24507E+02    0.24507E+02    0
    9   10        15   16       -0.05851        107.557        107.167         0.16091E+02    0.16091E+02    0
    9   10        16   17       -0.54831        117.429        111.747         0.11056E+02    0.11056E+02    0
    9   10        17   18       -0.17868        132.630        129.821         0.83473E+01    0.83473E+01    0
    9   10        18   19       -0.18261        131.273        127.200         0.57938E+01    0.57938E+01    0
    9   10        19   20       -0.21732        128.130        121.541         0.41162E+01    0.41162E+01    0
    9   10        20   21       -0.12550        139.925        134.813         0.33723E+01    0.33723E+01    0
   10   11        12   13       -2.62148         66.263         63.691         0.96184E+02    0.66201E+02    1
   10   11        13   14       -1.61126         80.408         77.889         0.72947E+02    0.50628E+02    1
   10   11        14   15        0.42782         79.368         80.248         0.38806E+02    0.38806E+02    0
   10   11        15   16        0.38586         92.779         94.289         0.23897E+02    0.23897E+02    0
   10   11        16   17       -1.36536        109.067        100.309         0.16311E+02    0.16311E+02    0
   10   11        17   18       -0.16743        120.097        118.331         0.11304E+02    0.11304E+02    0
   10   11        18   19       -0.17058        119.903        117.224         0.75510E+01    0.75510E+01    0
   10   11        19   20       -0.27300        118.787        112.761         0.52443E+01    0.52443E+01    0
   10   11        20   21       -0.05670        127.690        125.937         0.41021E+01    0.41021E+01    0
   10   11        21   22       -0.10025        129.898        125.805         0.31309E+01    0.31309E+01    0
   11   12        13   14       -1.42310         59.585         58.315         0.95343E+02    0.66096E+02    1
   11   12        14   15       -1.66172         61.390         59.383         0.63139E+02    0.49989E+02    1
   11   12        15   16       -0.25558         73.393         72.878         0.36283E+02    0.36283E+02    0
   11   12        16   17       -0.17577         80.681         80.006         0.20927E+02    0.20927E+02    0
   11   12        17   18        0.04453         96.324         96.621         0.14447E+02    0.14447E+02    0
   11   12        18   19       -0.03919         97.755         97.340         0.92213E+01    0.92213E+01    0
   11   12        19   20       -0.09889         96.168         94.612         0.60625E+01    0.60625E+01    0
   11   12        20   21       -0.10071        108.940        106.684         0.48106E+01    0.48106E+01    0
   11   12        21   22       -0.00467        107.525        107.379         0.34551E+01    0.34551E+01    0
   11   12        22   23       -0.01576        116.040        115.388         0.27971E+01    0.27971E+01    0
   12   13        14   15        0.58011         55.500         55.842         0.94688E+02    0.94688E+02    0
   12   13        15   16       -0.94391         72.022         71.045         0.69073E+02    0.69073E+02    0
   12   13        16   17       -0.57116         83.717         82.547         0.40590E+02    0.40590E+02    0
   12   13        17   18        0.14450        103.165        103.731         0.26395E+02    0.26395E+02    0
   12   13        18   19       -0.00292        107.474        107.455         0.16079E+02    0.16079E+02    0
   12   13        19   20       -0.12893        107.706        106.347         0.10151E+02    0.10151E+02    0
   12   13        20   21       -0.10750        123.451        121.755         0.77732E+01    0.77732E+01    0
   12   13        21   22        0.01005        123.737        123.965         0.54622E+01    0.54622E+01    0
   12   13        22   23       -0.01235        134.507        134.123         0.43207E+01    0.43207E+01    0
   12   13        23   24       -0.06445        123.414        120.769         0.29747E+01    0.29747E+01    0
   13   14        15   16        0.58315         66.134         66.536         0.96170E+02    0.96170E+02    0
   13   14        16   17        0.27229         75.564         75.855         0.70788E+02    0.70788E+02    0
   13   14        17   18       -0.13553         99.140         98.851         0.46549E+02    0.46549E+02    0
   13   14        18   19       -0.27666        106.167        105.089         0.27107E+02    0.27107E+02    0
   13   14        19   20       -0.29232        107.616        105.679         0.16099E+02    0.16099E+02    0
   13   14        20   21       -0.36593        126.560        122.728         0.11904E+02    0.11904E+02    0
   13   14        21   22       -0.05708        127.113        126.210         0.80023E+01    0.80023E+01    0
   13   14        22   23       -0.08560        139.042        137.115         0.61354E+01    0.61354E+01    0
   13   14        23   24       -0.14415        128.507        124.097         0.41283E+01    0.41283E+01    0
   13   14        24   25        0.01862        157.385        158.159         0.37925E+01    0.37925E+01    0
   14   15        16   17        0.52208         69.394         69.770         0.96503E+02    0.96503E+02    0
   14   15        17   18       -0.71810         90.209         89.368         0.76728E+02    0.76728E+02    0
   14   15        18   19       -0.59175         98.804         97.553         0.46426E+02    0.46426E+02    0
   14   15        19   20       -0.66085        102.212         99.663         0.26168E+02    0.26168E+02    0
   14   15        20   21       -0.47887        120.699        117.529         0.17996E+02    0.17996E+02    0
   14   15        21   22       -0.19246        124.130        122.101         0.11679E+02    0.11679E+02    0
   14   15        22   23       -0.19658        136.059        132.970         0.85615E+01    0.85615E+01    0
   14   15        23   24       -0.26022        126.562        120.802         0.55865E+01    0.55865E+01    0
   14   15        24   25       -0.06560        156.334        154.304         0.50202E+01    0.50202E+01    0
   14   15        25   26       -0.10455        143.363        139.090         0.34551E+01    0.34551E+01    0
   15   16        17   18        0.16724         77.966         78.100         0.97200E+02    0.97200E+02    0
   15   16        18   19       -0.72649         87.704         86.868         0.75830E+02    0.75830E+02    0
   15   16        19   20       -1.04075         94.804         92.633         0.44932E+02    0.44932E+02    0
   15   16        20   21       -0.14589        113.690        113.117         0.28873E+02    0.28873E+02    0
   15   16        21   22       -0.19188        121.666        120.385         0.18136E+02    0.18136E+02    0
   15   16        22   23       -0.15617        134.372        132.721         0.12628E+02    0.12628E+02    0
   15   16        23   24       -0.28181        126.351        121.953         0.79546E+01    0.79546E+01    0
   15   16        24   25       -0.03891        157.882        157.003         0.69630E+01    0.69630E+01    0
   15   16        25   26       -0.09239        144.890        142.041         0.46535E+01    0.46535E+01    0
   15   16        26   27        0.02319        165.669        166.634         0.39918E+01    0.39918E+01    0
   16   17        18   19        0.28802         70.647         70.858         0.96620E+02    0.96620E+02    0
   16   17        19   20       -1.10309         78.927         77.628         0.72308E+02    0.66465E+02    1
   16   17        20   21       -1.07584        102.467        100.055         0.47760E+02    0.45178E+02    1
   16   17        21   22       -0.29163        111.365        110.224         0.28330E+02    0.28330E+02    0
   16   17        22   23       -0.24921        125.301        123.638         0.18659E+02    0.18659E+02    0
   16   17        23   24       -0.43498        119.927        115.394         0.11289E+02    0.11289E+02    0
   16   17        24   25       -0.06777        151.191        150.116         0.95055E+01    0.95055E+01    0
   16   17        25   26       -0.17908        140.461        136.460         0.61978E+01    0.61978E+01    0
   16   17        26   27       -0.05858        162.616        160.802         0.52214E+01    0.52214E+01    0
   16   17        27   28       -0.07907        160.349        157.101         0.38638E+01    0.38638E+01    0
   17   18        19   20        0.69381         66.730         67.213         0.96234E+02    0.96234E+02    0
   17   18        20   21       -2.02880         96.776         93.366         0.78885E+02    0.56549E+02    1
   17   18        21   22       -1.37655        112.768        109.286         0.51339E+02    0.43893E+02    1
   17   18        22   23       -0.76702        129.276        126.255         0.32437E+02    0.32437E+02    0
   17   18        23   24       -0.84737        126.375        120.810         0.18813E+02    0.18813E+02    0
   17   18        24   25       -0.25248        162.498        159.824         0.15215E+02    0.15215E+02    0
   17   18        25   26       -0.30881        151.383        146.550         0.95174E+01    0.95174E+01    0
   17   18        26   27       -0.08860        175.932        173.934         0.77545E+01    0.77545E+01    0
   17   18        27   28       -0.13004        174.545        170.541         0.56032E+01    0.56032E+01    0
   17   18        28   29       -0.13592        160.859        155.316         0.38761E+01    0.38761E+01    0
   18   19        20   21       -0.14173         70.609         70.506         0.96617E+02    0.96617E+02    0
   18   19        21   22       -2.17033         93.062         89.134         0.77699E+02    0.50319E+02    1
   18   19        22   23       -1.01060        110.512        107.795         0.50577E+02    0.40587E+02    1
   18   19        23   24       -1.10456        111.444        106.895         0.28349E+02    0.26506E+02    1
   18   19        24   25       -0.28290        146.673        144.773         0.21702E+02    0.21702E+02    0
   18   19        25   26       -0.34741        138.091        134.441         0.12971E+02    0.12971E+02    0
   18   19        26   27       -0.06731        162.220        161.152         0.10192E+02    0.10192E+02    0
   18   19        27   28       -0.12605        161.625        158.791         0.71272E+01    0.71272E+01    0
   18   19        28   29       -0.13899        149.505        145.239         0.48014E+01    0.48014E+01    0
   18   19        29   30       -0.07451        151.621        148.560         0.36538E+01    0.36538E+01    0
   19   20        21   22       -0.76393         69.175         68.602         0.96482E+02    0.91846E+02    1
   19   20        22   23       -1.66395         90.579         87.572         0.76857E+02    0.49284E+02    1
   19   20        23   24       -1.69946         97.011         91.974         0.45761E+02    0.31872E+02    1
   19   20        24   25       -0.83263        132.447        128.887         0.33146E+02    0.30563E+02    1
   19   20        25   26       -0.75894        126.951        121.954         0.18896E+02    0.18896E+02    0
   19   20        26   27       -0.30891        151.540        148.282         0.14211E+02    0.14211E+02    0
   19   20        27   28       -0.28205        151.605        147.185         0.95313E+01    0.95313E+01    0
   19   20        28   29       -0.21918        140.297        135.416         0.61906E+01    0.61906E+01    0
   19   20        29   30       -0.11972        142.560        138.881         0.45788E+01    0.45788E+01    0
   19   20        30   31       -0.14980        153.317        147.225         0.36946E+01    0.36946E+01    0
   20   21        22   23       -0.54280         69.213         68.825         0.96486E+02    0.96486E+02    0
   20   21        23   24       -2.62719         85.228         79.979         0.74898E+02    0.41335E+02    1
   20   21        24   25       -1.54431        125.113        120.102         0.55301E+02    0.37780E+02    1
   20   21        25   26       -0.98139        121.974        118.017         0.30784E+02    0.29751E+02    1
   20   21        26   27       -0.12745        148.328        147.469         0.21935E+02    0.21935E+02    0
   20   21        27   28       -0.16389        150.551        148.814         0.14120E+02    0.14120E+02    0
   20   21        28   29       -0.17797        141.466        138.665         0.88991E+01    0.88991E+01    0
   20   21        29   30       -0.06532        144.759        143.286         0.63867E+01    0.63867E+01    0
   20   21        30   31       -0.08824        155.249        152.525         0.49854E+01    0.49854E+01    0
   20   21        31   32       -0.06516        132.527        129.851         0.31942E+01    0.31942E+01    0
   21   22        23   24       -0.03478         56.601         56.579         0.94877E+02    0.92240E+02    1
   21   22        24   25       -2.91272        101.103         94.643         0.80163E+02    0.44113E+02    1
   21   22        25   26       -2.00872        104.830         98.974         0.48603E+02    0.34943E+02    1
   21   22        26   27       -1.03046        133.051        128.767         0.33281E+02    0.31483E+02    1
   21   22        27   28       -0.64837        137.402        133.102         0.20389E+02    0.20389E+02    0
   21   22        28   29       -0.37023        130.186        126.307         0.12240E+02    0.12240E+02    0
   21   22        29   30       -0.12719        133.941        131.935         0.84292E+01    0.84292E+01    0
   21   22        30   31       -0.16102        144.878        141.273         0.63919E+01    0.63919E+01    0
   21   22        31   32       -0.09904        124.047        121.002         0.39853E+01    0.39853E+01    0
   21   22        32   33       -0.01086        137.667        137.217         0.33179E+01    0.33179E+01    0
   22   23        24   25       -0.99978         79.571         78.374         0.97307E+02    0.65976E+02    1
   22   23        25   26       -2.14231         93.462         89.025         0.77831E+02    0.44041E+02    1
   22   23        26   27       -1.47475        127.983        122.986         0.56173E+02    0.37029E+02    1
   22   23        27   28       -1.22142        136.876        131.234         0.34128E+02    0.29017E+02    1
   22   23        28   29       -0.77173        132.598        127.505         0.19705E+02    0.19705E+02    0
   22   23        29   30       -0.28665        138.013        134.995         0.12964E+02    0.12964E+02    0
   22   23        30   31       -0.28183        149.930        145.514         0.94269E+01    0.94269E+01    0
   22   23        31   32       -0.17495        129.351        125.447         0.57092E+01    0.57092E+01    0
   22   23        32   33       -0.04152        144.417        143.130         0.46384E+01    0.46384E+01    0
   22   23        33   34       -0.03730        147.941        146.401         0.35652E+01    0.35652E+01    0
   23   24        25   26       -0.36916         56.656         56.422         0.94886E+02    0.89192E+02    1
   23   24        26   27       -2.13127         90.661         86.414         0.76886E+02    0.44419E+02    1
   23   24        27   28       -1.92063        103.799         98.011         0.48237E+02    0.33472E+02    1
   23   24        28   29       -1.32584        104.722         99.218         0.26765E+02    0.24560E+02    1
   23   24        29   30       -0.61087        111.687        107.673         0.16692E+02    0.16692E+02    0
   23   24        30   31       -0.51865        123.130        117.740         0.11586E+02    0.11586E+02    0
   23   24        31   32       -0.30979        107.564        102.758         0.67777E+01    0.67777E+01    0
   23   24        32   33       -0.14328        121.672        118.470         0.53713E+01    0.53713E+01    0
   23   24        33   34       -0.10186        124.744        121.613         0.40076E+01    0.40076E+01    0
   23   24        34   35       -0.02779        133.640        132.492         0.32210E+01    0.32210E+01    0
   24   25        26   27       -0.80852         79.465         78.807         0.97300E+02    0.97300E+02    0
   24   25        27   28       -2.04506        101.231         97.423         0.80199E+02    0.53340E+02    1
   24   25        28   29       -1.21221        108.843        105.638         0.50005E+02    0.40556E+02    1
   24   25        29   30       -0.28791        120.260        119.126         0.30391E+02    0.30391E+02    0
   24   25        30   31       -0.29980        135.174        133.171         0.20072E+02    0.20072E+02    0
   24   25        31   32       -0.14648        119.906        118.360         0.11287E+02    0.11287E+02    0
   24   25        32   33        0.02590        138.048        138.460         0.86857E+01    0.86857E+01    0
   24   25        33   34        0.08591        140.936        142.896         0.62187E+01    0.62187E+01    0
   24   25        34   35        0.13221        152.324        156.497         0.48917E+01    0.48917E+01    0
   24   25        35   36        0.11434        166.821        171.635         0.40195E+01    0.40195E+01    0
   25   26        27   28        0.22514         67.840         67.999         0.96350E+02    0.96350E+02    0
   25   26        28   29       -2.64795         85.581         80.742         0.75033E+02    0.45500E+02    1
   25   26        29   30       -1.71829        100.984         96.278         0.47224E+02    0.36009E+02    1
   25   26        30   31       -1.32961        115.981        110.688         0.29405E+02    0.28465E+02    1
   25   26        31   32       -0.71823        105.351        100.661         0.15769E+02    0.15769E+02    0
   25   26        32   33       -0.28691        122.892        119.881         0.11564E+02    0.11564E+02    0
   25   26        33   34       -0.20043        127.541        124.397         0.80291E+01    0.80291E+01    0
   25   26        34   35       -0.06074        138.286        136.916         0.61022E+01    0.61022E+01    0
   25   26        35   36       -0.03173        151.498        150.513         0.48653E+01    0.48653E+01    0
   25   26        36   37        0.03830        126.724        128.323         0.30544E+01    0.30544E+01    0
   26   27        28   29        0.75064         66.196         66.714         0.96177E+02    0.96177E+02    0
   26   27        29   30       -1.92207         91.295         88.095         0.77104E+02    0.53858E+02    1
   26   27        30   31       -1.44695        111.469        107.705         0.50902E+02    0.42122E+02    1
   26   27        31   32       -1.04552        106.374        102.356         0.27156E+02    0.27156E+02    0
   26   27        32   33       -0.28665        127.816        125.904         0.19020E+02    0.19020E+02    0
   26   27        33   34       -0.36685        136.436        132.586         0.12819E+02    0.12819E+02    0
   26   27        34   35       -0.12165        149.577        147.655         0.94049E+01    0.94049E+01    0
   26   27        35   36       -0.05277        164.678        163.486         0.72612E+01    0.72612E+01    0
   26   27        36   37        0.04706        138.884        140.357         0.44610E+01    0.44610E+01    0
   26   27        37   38       -0.03648        131.122        129.618         0.31604E+01    0.31604E+01    0
   27   28        29   30        0.00489         66.528         66.532         0.96213E+02    0.96213E+02    0
   27   28        30   31       -1.40866         88.845         86.627         0.76245E+02    0.55726E+02    1
   27   28        31   32       -1.31859         90.821         87.562         0.43407E+02    0.36080E+02    1
   27   28        32   33       -0.55047        114.499        112.350         0.29061E+02    0.29061E+02    0
   27   28        33   34       -0.69318        124.976        120.407         0.18612E+02    0.18612E+02    0
   27   28        34   35       -0.34058        139.547        135.968         0.13106E+02    0.13106E+02    0
   27   28        35   36       -0.22753        155.304        151.726         0.97617E+01    0.97617E+01    0
   27   28        36   37       -0.03659        132.057        131.231         0.58283E+01    0.58283E+01    0
   27   28        37   38       -0.11879        125.697        122.053         0.40382E+01    0.40382E+01    0
   27   28        38   39       -0.12036        133.245        128.344         0.32115E+01    0.32115E+01    0
   28   29        30   31        0.77860         57.110         57.580         0.94961E+02    0.94961E+02    0
   28   29        31   32       -1.53941         65.674         63.636         0.65681E+02    0.48839E+02    1
   28   29        32   33       -0.94391         89.939         87.720         0.43063E+02    0.37779E+02    1
   28   29        33   34       -0.99325        100.639         96.837         0.25792E+02    0.25792E+02    0
   28   29        34   35       -0.60284        115.824        111.855         0.17292E+02    0.17292E+02    0
   28   29        35   36       -0.47523        131.505        126.546         0.12363E+02    0.12363E+02    0
   28   29        36   37       -0.15461        113.193        110.765         0.71307E+01    0.71307E+01    0
   28   29        37   38       -0.21104        108.771        104.095         0.48032E+01    0.48032E+01    0
   28   29        38   39       -0.20856        116.488        110.174         0.37428E+01    0.37428E+01    0
   28   29        39   40       -0.20184        117.359        109.278         0.28289E+01    0.28289E+01    0
   29   30        31   32        0.29516         49.496         49.652         0.93453E+02    0.93453E+02    0
   29   30        32   33       -1.41142         77.084         75.028         0.71488E+02    0.52218E+02    1
   29   30        33   34       -0.88335         88.308         86.469         0.42424E+02    0.41966E+02    1
   29   30        34   35       -0.73263        105.859        103.029         0.27034E+02    0.27034E+02    0
   29   30        35   36       -0.70477        123.393        118.752         0.18385E+02    0.18385E+02    0
   29   30        36   37       -0.22340        107.968        105.623         0.10175E+02    0.10175E+02    0
   29   30        37   38       -0.28855        105.084        100.603         0.66222E+01    0.66222E+01    0
