layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,
19.75074559,20.95996646,20.05213555,17.44196187,13.73079405,10.08003548,7.411250278,5.862351976,5.166356685,5.022097228,5.192107996,5.500550055,5.83294447,6.130831954,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
32.36141225,28.45354958,22.09456474,17.21940972,13.21335606,9.794319295,7.301935013,5.827505828,5.157563567,5.021845026,5.194535349,5.503577325,5.83532707,6.132711885,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
23.23960028,24.58996238,19.79884375,15.64112992,12.36904276,9.467007479,7.219174126,5.832264085,5.187260089,5.055611729,5.225206396,5.528832863,5.855143744,6.147415012,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
38.46005923,30.52596233,19.26225561,14.22940649,11.50880424,9.152480322,7.17411579,5.879586077,5.256518082,5.123213279,5.283457495,5.575689992,5.8910162,6.173982836,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
35.77433549,27.22199537,17.14354288,13.02439469,10.92776746,8.981498114,7.204091924,5.976929054,5.364519071,5.222477543,5.367398422,5.642385601,5.941770648,6.211180124,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
18.68495301,18.40705358,15.07840772,12.73009649,10.94211621,9.065361255,7.332991127,6.123698714,5.50660793,5.348451623,5.472555136,5.725737189,6.004924038,6.257822278,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
31.64857423,22.21629788,16.89046533,13.88811733,11.53934918,9.355412106,7.528986598,6.298022421,5.6679703,5.491789774,5.592528382,5.821060597,6.077180188,6.311139161,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
12.99190604,14.13147928,15.16691187,14.35873873,12.08809806,9.637625289,7.702973348,6.458279514,5.82682671,5.639521769,5.719514985,5.922767117,6.15536132,6.369021081,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
22.36636099,19.86886549,18.98145512,16.2211264,12.67860992,9.762764815,7.763975155,6.559097468,5.960185958,5.778676683,5.845218611,6.026274557,6.23519142,6.428801029,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
17.99143608,17.4106832,17.39069945,15.2077377,12.04949934,9.411764706,7.630093087,6.574189731,6.055101423,5.901097604,5.963740458,6.126700159,6.313928526,6.488029585,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
17.90574416,15.62744179,14.98800959,13.28197636,10.88518309,8.803591865,7.372456503,6.525285481,6.116582054,6.00528465,6.072014087,6.220839813,6.388959877,6.544930951,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
17.93721973,15.839075,14.85310281,12.68729621,10.20428988,8.316008316,7.126567845,6.463706289,6.161049843,6.09570253,6.169412055,6.306760848,6.457862448,6.597611665,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
18.7726445,16.72492516,15.18280092,12.41912048,9.755145839,7.96812749,6.946373993,6.420545746,6.203089138,6.175507936,6.255473539,6.383250351,6.519754857,6.645401382,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
21.68915109,17.18213058,14.5241173,11.69549606,9.277298451,7.701786815,6.826404533,6.400409626,6.243756244,6.244146113,6.328713373,6.448284756,6.572893388,6.686726847,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
20.42817454,16.74284662,14.13367631,11.3391541,9.012256669,7.534659433,6.743997842,6.385288296,6.273525721,6.296436217,6.386103838,6.500682572,6.615944426,6.72088178,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
18.58494248,15.90684949,13.7498625,11.06121275,8.771160425,7.356727728,6.640988179,6.346788525,6.279434851,6.326311128,6.423845314,6.537656904,6.648494116,6.747183051,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
19.46093218,15.69021245,13.42678375,10.72857771,8.458090163,7.115918309,6.489292667,6.270378731,6.254299831,6.329915179,6.441638753,6.559527714,6.6693344,6.765442122,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
23.50121031,17.96945193,14.63336114,10.99710776,8.302889406,6.893223961,6.319115324,6.167889965,6.202704379,6.310740881,6.439979392,6.566850538,6.68002672,6.776445077,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
22.11900022,18.18843216,14.90690637,10.92323153,8.068420203,6.6653336,6.150061501,6.056935191,6.135722174,6.273919317,6.422607579,6.56167979,6.681365671,6.781040212,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
36.357026,22.33838181,15.37657225,10.54329605,7.717835919,6.433350489,5.997720866,5.952735282,6.064281383,6.226650062,6.394270733,6.546644845,6.675567423,6.780120686,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
24.48280083,18.5915074,13.64815068,9.69838037,7.324934076,6.238303182,5.879586077,5.865446654,5.995203837,6.174745292,6.359300477,6.525711303,6.664445185,6.775985906,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
