x,y,VCP1.48f10000h0.2,VCP2.82f10000h0.2,VCP4.49f10000h0.2,HCP1.48f10000h0.2,HCP2.82f10000h0.2,HCP4.49f10000h0.2,depth,dist,Z(m),Stage(m),H20cm(m),H50cm(m),H100cm(m),elevation,,,,,,,,,,,,,
358763.00847,524366.46735,37.0408017542142,27.2858352691965,22.4842343652554,24.7481940339755,17.3135071487869,16.3384737228433,0.6884607545,5.8599769507417,109.729,109.98,109.98,110.02,110.152,110.4174607545,-0.6884607545,23,22,21,20,19,17,16,14,13,11,10,9
358763.15924,524366.15495,36.7646985711509,27.1698089799691,22.4258074453941,24.6045906106344,17.2025813992402,16.2776992304716,0.6866972478,6.20768191302104,109.767,109.98,109.98,110.02,110.151,110.4536972478,-0.6866972478,23,22,21,20,19,17,16,14,13,11,10,9
358763.31242,524365.83585,36.4574098782614,27.0485913719117,22.345111377193,24.4570483188043,17.0896420747825,16.2362312378874,0.6773394496,6.56248779377594,109.807,109.979,109.98,110.02,110.148,110.4843394496,-0.6773394496,22,22,21,20,18,17,15,14,13,11,10,9
358763.46612,524365.51563,36.156661284927,26.9280066962106,22.2636717333152,24.3436546885682,17.0009727128017,16.2564483137049,0.6533333334,6.91852614964124,109.832,109.978,109.98,110.02,110.146,110.4853333334,-0.6533333334,23,22,21,20,18,17,15,14,13,11,10,9
358763.61894,524365.19231,35.8927332311309,26.8088344832771,22.1904058607136,24.2021754549698,16.8860885785047,16.2371608056003,0.6545667687,7.27716815763812,109.854,109.977,109.98,110.02,110.144,110.5085667687,-0.6545667687,24,23,22,21,19,18,16,14,13,11,10,9
358763.7688,524364.863,35.6635983390015,26.6918656290671,22.1191457037587,24.0788001362746,16.8105253618857,16.2458411894698,0.6637512743,7.64042064406178,109.876,109.976,109.98,110.02,110.142,110.5397512743,-0.6637512743,23,22,21,20,19,17,16,14,13,11,10,9
358763.91287,524364.52507,35.4652822720189,26.5670404378095,22.0401969434796,23.955432635475,16.7077110460784,16.2767393216451,0.6600509685,8.01040585564065,109.896,109.975,109.98,110.02,110.14,110.5560509685,-0.6600509685,22,21,20,19,18,17,15,14,12,11,10,9
358764.0493,524364.17496,35.2520857158884,26.4630114447089,21.9790938218817,23.7979788597188,16.6361477086198,16.3192730438787,0.6574108054,8.38990461664576,109.915,109.973,109.98,110.02,110.137,110.5724108054,-0.6574108054,22,21,21,19,18,17,15,14,13,11,10,9
358764.17797,524363.8118,34.9847082320231,26.3444238350385,21.8991292456853,23.667638223036,16.5898172161135,16.392755777209,0.647359837,8.77868397044182,109.915,109.971,109.98,110.02,110.134,110.562359837,-0.647359837,21,20,19,18,17,16,15,13,12,11,10,9
358764.30515,524363.43875,34.8304321351884,26.2478001277124,21.8620883451733,23.5042567649258,16.5424895558075,16.477746504642,0.6434862386,9.17640592235084,109.919,109.969,109.979,110.02,110.131,110.5624862386,-0.6434862386,18,18,17,16,16,15,14,13,12,11,10,9
358764.43104,524363.0657,34.7714379527257,26.2014674371438,21.8517805706212,23.3819906312076,16.514314888286,16.5811019349095,0.6554740062,9.57361642278998,109.921,109.967,109.978,110.02,110.128,110.5764740062,-0.6554740062,19,18,17,17,16,15,14,13,12,11,10,10
358764.54328,524362.68377,34.5679091890582,26.1008943927089,21.8221199126674,23.2397218128793,16.4881655818907,16.7203739906157,0.6470030582,9.974076920695,109.923,109.965,109.977,110.02,110.125,110.5700030582,-0.6470030582,20,19,19,18,17,16,14,13,12,11,11,10
358764.65123,524362.29175,34.3046134299636,25.9842237553923,21.7865442638413,23.114545388921,16.4841435364975,16.8888837978315,0.6392456678,10.3827319476768,109.923,109.964,109.976,110.02,110.124,110.5622456678,-0.6392456678,20,20,19,18,17,16,15,14,13,12,11,10
358764.75068,524361.88857,34.0536218069324,25.8705479680887,21.7584536464985,22.9693417804521,16.4931960167982,17.1023086004938,0.6500101938,10.7990838467987,109.926,109.963,109.975,110.02,110.123,110.5760101938,-0.6500101938,20,20,19,18,17,16,15,14,13,12,11,10
358764.84968,524361.48272,33.8270354155377,25.7703980678333,21.7324977602212,22.8331950675757,16.5193512471027,17.3334440252132,0.6492966362,11.2178379245955,109.932,109.962,109.974,110.02,110.122,110.5812966362,-0.6492966362,19,19,18,17,16,15,14,13,12,12,11,10
358764.9476,524361.07711,33.5708090714541,25.6836362632614,21.7223335210818,22.6940771821709,16.5465270079336,17.5794789028052,0.6277675842,11.6360652316532,109.938,109.961,109.973,110.02,110.121,110.5657675842,-0.6277675842,19,19,18,17,16,15,14,14,13,12,11,10
358765.04713,524360.67037,33.1639390729295,25.5807943298196,21.7110737879062,22.5579667442147,16.6019162093699,17.848583979243,0.6191233436,12.0556890610467,109.94,109.96,109.972,110.02,110.119,110.5591233436,-0.6191233436,18,18,17,17,16,15,14,13,13,12,11,11
358765.14458,524360.27121,32.6128751629045,25.4493887102584,21.6643713960126,22.455892223862,16.6775143362587,18.1062866076487,0.6113557595,12.4675120003609,109.943,109.96,109.971,110.02,110.118,110.5543557595,-0.6113557595,17,16,16,15,15,14,14,13,13,12,12,11
358765.24035,524359.87729,32.1695018040335,25.366994951604,21.6674936412529,22.3708211643337,16.7813649814888,18.3800645243498,0.6041182467,12.8738557828078,109.946,109.96,109.97,110.02,110.117,110.5501182467,-0.6041182467,15,15,15,14,14,13,13,13,12,12,12,12
358765.33156,524359.48998,31.7045348908654,25.2963587719791,21.6614300818404,22.3177910656776,16.8932721560417,18.6654876885111,0.5942405709,13.2727417153176,109.945,109.96,109.97,110.02,110.116,110.5392405709,-0.5942405709,16,16,15,15,14,14,13,13,13,13,12,12
358765.42172,524359.10658,31.1775688665287,25.1947675797668,21.6256290467232,22.249754308558,17.034453397531,18.9708796007028,0.5799592253,13.6676174257206,109.934,109.959,109.97,110.02,110.115,110.5139592253,-0.5799592253,17,17,16,16,15,15,14,14,13,13,13,13
358765.51459,524358.72516,30.8685128286591,25.160976552408,21.5966355498258,22.2207413816032,17.1745592128595,19.2176641850595,0.5759021407,14.0611213872933,109.923,109.958,109.97,110.02,110.114,110.4989021407,-0.5759021407,17,17,16,16,15,15,14,14,14,14,13,13
358765.6067,524358.35454,30.6385199533838,25.1615494666096,21.5844522499157,22.1987375596717,17.2824248117207,19.3978827955848,0.5714882773,14.4440110828863,109.901,109.957,109.97,110.02,110.112,110.4724882773,-0.5714882773,17,17,16,16,15,15,15,14,14,14,14,14
358765.69756,524357.98838,30.518999076194,25.1952300709158,21.5956400930893,22.2137450869169,17.4176118874168,19.6231803447287,0.5561365953,14.8222838263523,109.873,109.956,109.97,110.02,110.11,110.4291365953,-0.5561365953,17,17,16,16,16,15,15,14,14,14,14,14
358765.78734,524357.62279,30.4668321495195,25.2412014746227,21.615849653124,22.2647604683747,17.5518316338958,19.8339598682192,0.5473190621,15.1997046099384,109.845,109.955,109.97,110.02,110.108,110.3923190621,-0.5473190621,17,17,17,16,16,15,15,15,14,14,14,14
358765.87177,524357.25969,30.4753276437759,25.3003981524787,21.6292087429464,22.3517953903789,17.6952245769377,20.0520702749342,0.5450254841,15.5735946743872,109.817,109.954,109.97,110.02,110.106,110.3620254841,-0.5450254841,17,17,17,16,16,15,15,15,14,14,14,14
358765.9638,524356.90487,30.6803974291983,25.386692277158,21.6473981773053,22.4378313183578,17.7972416337804,20.1893531531384,0.5453720692,15.9421489455636,109.794,109.953,109.97,110.02,110.104,110.3393720692,-0.5453720692,17,17,17,16,16,15,15,15,14,14,14,14
358766.06511,524356.55275,31.0976866829501,25.5236494218163,21.7136148299083,22.5218815021946,17.8872298512787,20.3565365535226,0.5494291538,16.3105474713848,109.771,109.952,109.97,110.02,110.102,110.3204291538,-0.5494291538,18,17,17,16,16,15,15,15,14,14,14,14
358766.17398,524356.2029,31.4830228604615,25.6456115237282,21.7598906876918,22.5929345319362,17.9641180116125,20.4922241325603,0.5586034657,16.6791623552725,109.75,109.95,109.969,110.02,110.1,110.3086034657,-0.5586034657,18,18,17,17,16,16,15,15,15,14,14,14
358766.2923,524355.8514,31.8585649723355,25.7640262997757,21.7940834700861,22.6629856256879,18.036958117557,20.6527980755607,0.5580733943,17.0521496561249,109.726,109.948,109.968,110.02,110.097,110.2840733943,-0.5580733943,19,18,18,17,17,16,16,15,15,14,14,14
358766.41321,524355.5001,32.2435282506014,25.8855083152887,21.8419436846695,22.7250175278929,18.0794594123521,20.7449686939988,0.5594801221,17.4260620075917,109.712,109.947,109.967,110.02,110.094,110.2714801221,-0.5594801221,19,18,18,17,17,16,16,15,15,14,14,14
358766.54093,524355.15141,32.5355538639806,25.9832840232856,21.9011581546741,22.7610348064607,18.1492819245713,20.8797520910883,0.569357798,17.7998093197089,109.695,109.946,109.966,110.02,110.091,110.264357798,-0.569357798,19,18,18,17,17,16,16,15,15,14,14,14
358766.67494,524354.80767,32.7887659871495,26.0550382837123,21.9520480263335,22.8100516293595,18.2454208008529,21.0799548319875,0.5785321099,18.1714516461227,109.689,109.945,109.965,110.02,110.089,110.2675321099,-0.5785321099,18,18,17,17,16,16,15,15,15,14,14,14
358766.81401,524354.47546,32.8830314753973,26.0822519700868,21.9729415747639,22.8410693181362,18.3406620974197,21.1962815585845,0.5857696227,18.5335922686339,109.686,109.943,109.964,110.02,110.085,110.2717696227,-0.5857696227,19,19,18,18,17,16,16,15,15,15,14,14
358766.94769,524354.15375,32.8564649509144,26.0856703626234,21.9888312865035,22.8400686149062,18.4440503537603,21.3436660912099,0.5898267073,18.8842566627465,109.683,109.941,109.963,110.02,110.081,110.2728267073,-0.5898267073,20,19,19,18,17,17,16,16,15,15,14,14
358767.08341,524353.84427,32.7760037455653,26.052686631171,21.996434750235,22.8430718515682,18.5556558745219,21.4683283019694,0.5866564728,19.2233879328498,109.68,109.939,109.962,110.02,110.077,110.2666564728,-0.5866564728,19,18,18,17,17,16,16,15,15,15,14,14
358767.21283,524353.53996,32.6580497801325,25.9895068239321,21.9896200277302,22.8620928260477,18.7007559580777,21.6117724761019,0.5886034657,19.5552232483322,109.676,109.937,109.961,110.02,110.074,110.2646034657,-0.5886034657,16,16,16,15,15,15,15,14,14,14,14,15
358767.33229,524353.24042,32.4636760826713,25.901888209466,21.9652234388569,22.8430700868189,18.7717417093814,21.6207229412687,0.5958409785,19.8797215287791,109.675,109.935,109.96,110.02,110.071,110.2708409785,-0.5958409785,16,15,15,15,15,14,14,14,14,15,15,15
358767.45381,524352.94331,32.2197976810263,25.7916112254924,21.9148017074317,22.810034178288,18.8315809737463,21.5790056437491,0.5997247706,20.2029782735031,109.672,109.934,109.96,110.02,110.068,110.2717247706,-0.5997247706,16,16,15,15,15,15,15,15,15,15,15,15
358767.58087,524352.66307,31.9159948526053,25.6776670238009,21.8488973808215,22.7739971662277,18.8843053795257,21.5014964438329,0.6140061162,20.5154431051337,109.672,109.933,109.96,110.02,110.066,110.2860061162,-0.6140061162,16,16,16,16,15,15,15,15,15,15,15,16
358767.70839,524352.38572,31.5829759404575,25.5551176792286,21.7608471094464,22.7489779167896,18.952242249039,21.4419723360577,0.6318246687,20.8255904581475,109.679,109.932,109.96,110.02,110.063,110.3108246687,-0.6318246687,16,16,16,16,15,15,15,15,15,15,15,16
358767.83893,524352.12202,31.3475955756018,25.449000058126,21.6662112332328,22.7309677820769,19.0029501404117,21.3269414330225,0.6357084607,21.1259445728667,109.689,109.931,109.96,110.02,110.06,110.3247084607,-0.6357084607,15,15,15,14,14,14,14,14,15,15,15,15
358767.97029,524351.86554,31.1467484438445,25.3473246400227,21.5724636694136,22.7249663689682,19.0313478225544,21.1513821752895,0.6447094801,21.4206970633135,109.699,109.93,109.96,110.02,110.057,110.3437094801,-0.6447094801,14,14,13,13,13,13,14,14,14,14,15,15
358768.11208,524351.6083,31.0245614151315,25.2623079685167,21.4906709860917,22.7289724331614,19.0465782080975,20.9658500072378,0.6568807339,21.7217091254278,109.709,109.93,109.959,110.02,110.056,110.3658807339,-0.6568807339,12,12,12,12,12,12,13,13,13,14,14,15
358768.27129,524351.34946,30.9773701758224,25.1935076055169,21.4101711238281,22.7319786003942,18.9897647467222,20.6645397741091,0.67382263,22.0316077831619,109.719,109.93,109.958,110.02,110.055,110.39282263,-0.67382263,11,11,11,11,12,12,12,13,13,13,14,14
358768.44348,524351.09584,30.990531898574,25.1461729674519,21.3283168419625,22.7039534776553,18.9115949972307,20.3443326924519,0.7078797146,22.3439772327837,109.729,109.93,109.957,110.02,110.054,110.4368797146,-0.7078797146,11,11,11,11,11,12,12,12,13,13,14,14
358768.62744,524350.8459,31.0098329320379,25.1176838269809,21.2464698428613,22.6619097966231,18.7745948137066,19.989039951255,0.731529052,22.6597863613728,109.744,109.93,109.957,110.019,110.05,110.475529052,-0.731529052,11,11,11,11,11,11,12,12,13,13,14,14
358768.83099,524350.59779,31.0622163744893,25.1002600654688,21.1711934299725,22.6488991560529,18.6661611189601,19.6815693110829,0.7454740061,22.9825289167665,109.756,109.93,109.957,110.018,110.046,110.5014740061,-0.7454740061,10,10,10,11,11,11,11,12,12,13,13,14
358769.0365,524350.35166,31.1224735346781,25.0901862740147,21.1216814915067,22.6639128619247,18.5456018316745,19.398375214644,0.7576554536,23.3045987811163,109.767,109.93,109.957,110.017,110.042,110.5246554536,-0.7576554536,9,9,10,10,10,10,11,11,12,12,13,13
358769.23984,524350.10276,31.1849191747385,25.0700454870575,21.0893666111487,22.6699184534961,18.4149856730461,19.0978341220789,0.7654230377,23.6271678654975,109.778,109.93,109.957,110.016,110.038,110.5434230377,-0.7654230377,9,9,9,9,9,10,10,11,11,12,12,13
358769.44079,524349.85222,31.2931442638673,25.0623267196462,21.0916834424562,22.6689161817351,18.26615095137,18.8063915823149,0.7730173293,23.9500797580914,109.782,109.93,109.957,110.015,110.035,110.5550173293,-0.7730173293,8,8,8,9,9,9,10,10,11,11,12,12
358769.64731,524349.59829,31.414567585796,25.0710998402607,21.1258616759642,22.6739211462178,18.0890845456986,18.5107330871034,0.7897961265,24.2792954409104,109.786,109.93,109.957,110.014,110.032,110.5757961265,-0.7897961265,9,9,9,9,9,10,10,10,11,11,12,12
358769.85871,524349.33564,31.6041040567945,25.1139400295329,21.1708980422204,22.6799225593265,17.9201385155709,18.2233209882671,0.795800204,24.6184284095041,109.788,109.93,109.959,110.013,110.029,110.583800204,-0.795800204,10,10,10,10,10,10,10,10,11,11,11,12
358770.06382,524349.07939,31.7200862113266,25.1559209914246,21.2071321292047,22.6709150024683,17.7248420031404,17.9107450800621,0.8023343528,24.9486304894261,109.79,109.93,109.962,110.012,110.026,110.5923343528,-0.8023343528,10,10,10,10,10,10,10,11,11,11,11,12
358770.26066,524348.83668,31.7672387421789,25.1896841789105,21.2407901010835,22.6879328811757,17.5682156868776,17.66232188905,0.804811417,25.2631271982151,109.792,109.93,109.965,110.011,110.023,110.596811417,-0.804811417,10,10,10,10,10,10,10,10,11,11,11,11
358770.45496,524348.58843,31.6829532125601,25.1961607287054,21.2671447872308,22.7199662609747,17.3994439220478,17.3995093099759,0.7954536189,25.5801258792552,109.794,109.93,109.968,110.01,110.02,110.5894536189,-0.7954536189,9,9,9,9,9,10,10,10,10,11,11,11
358770.65255,524348.33492,31.4978224441478,25.1745372985677,21.2777937021713,22.7650163116079,17.2601078422537,17.1316907019904,0.7919266056,25.9031771134545,109.792,109.931,109.971,110.01,110.022,110.5839266056,-0.7919266056,9,9,9,9,9,9,10,10,10,10,10,11
358770.84718,524348.08588,31.3693702903981,25.1624537823413,21.2938625524337,22.8130695177387,17.1289517968632,16.9088339979774,0.7924566769,26.220934616418,109.793,109.932,109.974,110.01,110.024,110.5854566769,-0.7924566769,11,11,11,11,10,10,10,10,10,10,10,11
358771.04986,524347.8469,31.3672014003676,25.1743437431564,21.3100308435616,22.8511217006259,17.0169837692063,16.6834365138824,0.7853924567,26.5371032509273,109.795,109.933,109.977,110.01,110.026,110.5803924567,-0.7853924567,11,11,10,10,10,10,10,10,10,10,10,10
358771.25449,524347.60991,31.4815462501599,25.2151542336502,21.3276611006107,22.9132005497319,16.9131471722664,16.4651577590659,0.7905198777,26.8531505819404,109.797,109.934,109.98,110.01,110.028,110.5875198777,-0.7905198777,11,11,11,10,10,10,10,10,10,10,10,10
358771.46986,524347.38149,31.6661590239634,25.2694270009486,21.3337307298115,23.0063305732871,16.8314901010341,16.2441426882809,0.7882262997,27.1687437224086,109.795,109.935,109.983,110.01,110.03,110.5832262997,-0.7882262997,10,10,10,10,10,10,10,10,10,10,10,10
358771.67668,524347.14814,31.8348048496513,25.3225843878929,21.3300598256939,23.1205076254344,16.7720560192696,16.0629253973398,0.7769215086,27.4830938825519,109.793,109.936,109.986,110.01,110.032,110.5699215086,-0.7769215086,11,11,11,10,10,10,10,10,10,10,10,10
358771.88032,524346.92039,31.9775236823842,25.3616342309525,21.3277959112433,23.2427354099527,16.7730653121664,15.9442582401746,0.7772680937,27.7910425740376,109.791,109.937,109.987,110.01,110.034,110.5682680937,-0.7772680937,12,12,12,11,11,11,11,10,10,10,10,10
358772.08734,524346.68571,32.1945767798224,25.4098731221046,21.3372895747258,23.3529290862716,16.7267284697566,15.7893866343174,0.7714373088,28.1065695149813,109.789,109.938,109.988,110.01,110.036,110.5604373088,-0.7714373088,13,12,12,12,11,11,11,10,10,10,10,9
358772.29731,524346.43231,32.4439860047662,25.4558351221028,21.3561308159741,23.436078827408,16.6884738692846,15.6460930836023,0.7675535167,28.4393566097899,109.787,109.939,109.989,110.009,110.04,110.5545535167,-0.7675535167,14,14,13,13,12,12,11,11,10,10,9,9
358772.50951,524346.17555,32.8012215986618,25.5230547082954,21.3923659183649,23.5122216236552,16.6602835590795,15.5106415732024,0.7633129458,28.7761737687853,109.785,109.94,109.99,110.008,110.044,110.5483129458,-0.7633129458,15,15,14,14,13,12,12,11,10,10,9,9
358772.71597,524345.91461,33.2635454391088,25.6188060221241,21.4451713766866,23.584371719776,16.6260673012317,15.4128638033446,0.7625993882,29.1128015711399,109.782,109.94,109.99,110.007,110.046,110.5445993882,-0.7625993882,15,15,15,14,13,13,12,11,11,10,9,9
358772.92489,524345.65343,33.6719451696397,25.7128219028443,21.4888118880339,23.6715715095515,16.6220429680309,15.3313369033132,0.7590621813,29.4513347300403,109.776,109.94,109.99,110.006,110.048,110.5350621813,-0.7590621813,16,15,15,14,14,13,12,11,11,10,9,9
358773.12959,524345.3885,33.9851281120622,25.7961960608862,21.5256843092272,23.7698126610005,16.5908589763208,15.2585557712992,0.7611824667,29.7890098992058,109.77,109.94,109.99,110.005,110.05,110.5311824667,-0.7611824667,16,16,15,15,14,13,12,11,11,10,9,9
358773.33201,524345.12081,34.2191615747559,25.8639045589528,21.5587349994402,23.8359699121914,16.5667223917777,15.1925509527248,0.7523547399,30.1271879611511,109.764,109.94,109.99,110.004,110.052,110.5163547399,-0.7523547399,17,16,16,15,14,13,12,11,11,10,9,8
358773.52719,524344.85085,34.3851436302024,25.9217076883869,21.5930924882503,23.8770717612912,16.5234807278146,15.1390073676507,0.7454638123,30.4621739600912,109.759,109.94,109.99,110.003,110.054,110.5044638123,-0.7454638123,17,16,16,15,14,13,12,11,11,10,9,8
358773.72714,524344.58441,34.5468117773859,25.9824149542753,21.6328080524316,23.8911086297874,16.4913057428781,15.0825930691397,0.7417533128,30.7969085663091,109.754,109.94,109.99,110.002,110.056,110.4957533128,-0.7417533128,16,16,16,15,14,13,12,11,10,10,9,8
358773.92808,524344.32052,34.6970739676091,26.0420321914022,21.6679203310027,23.8850907800606,16.4027075647353,14.9725032509537,0.732925586,31.1302637488521,109.751,109.94,109.99,110.001,110.058,110.483925586,-0.732925586,17,17,16,15,15,14,13,12,11,10,9,8
