Easting (m),Northing (m),VCP1.48,VCP2.82,VCP4.49,HCP1.48,HCP2.82,HCP4.49,Stage (m),Distance (m)
358857.278,524391.9552,28.3237524048862,19.8861039673418,15.8862933182182,15.6602848881595,8.87590671015774,7.64161268105316,0.347400612,25
358857.2626,524391.9201,28.3157205650002,19.8840319026131,15.885201974579,15.6509854315751,8.87590671015774,7.69687227688722,0.319164118,25.0383297534268
358857.3153,524391.9103,28.3209455521495,19.8849125953265,15.8852526858632,15.7811778237569,8.89374772867062,7.61003576914798,0.324464832,25.0919332048084
358857.244,524391.9981,28.3264359007967,19.8872025490854,15.8872330219089,16.0601615212895,9.1346014785945,7.79949724057905,0.319164118,25.205037271923
358857.2883,524391.9013,28.3157211811306,19.8837577628337,15.8848155345872,15.8462740198479,8.98295282123502,7.59424731319539,0.306829766,25.3114925676549
358857.3272,524391.8026,28.3021830956438,19.8795838871581,15.8820229444884,15.7718783671725,8.87590671015774,7.70476650486351,0.291029562,25.4175816811093
358857.3003,524391.8047,28.2990541646855,19.879043794249,15.8819726752534,15.8741723896011,8.90266823792706,7.79160301260275,0.299796126,25.4445635268492
358857.2517,524391.8998,28.3107584296698,19.8827768220071,15.8845629859226,15.9857658686141,9.10783995082518,7.5784588572428,0.313863405,25.5513622628189
358857.279,524391.8216,28.2996471825053,19.8794452630273,15.8824010337884,15.8369745632635,8.96511180272214,7.42057429771691,0.269928644,25.6341905792087
358857.353,524391.795,28.304175458046,19.8798171703737,15.8818999827221,15.6974827144972,8.9115887471835,7.4442569816458,0.308664628,25.7128261945646
358857.3424,524391.8192,28.3075557192964,19.8808782506066,15.8826223629081,15.8462740198479,8.84914518238842,7.53109348938503,0.275229358,25.7392458841702
358857.4376,524391.6273,28.2785817563006,19.8716907785768,15.8763246955959,15.9020707593544,8.81346314536266,7.41268006974062,0.326197757,25.9534622467276
358857.5265,524391.467,27.9838404096461,19.7472721610481,15.7668307045037,15.8555734764323,8.72425805279826,7.22321859830955,0.289296636,26.1367633651883
358857.524,524391.4244,27.9745878577414,19.7450459519495,15.765993139031,16.0787604344583,8.87590671015774,7.30216087807249,0.268195719,26.1794366588727
358857.5002,524391.2892,27.9398070887843,19.736947042442,15.7631417235538,15.9578674988609,8.84022467313198,7.11269940664142,0.299796126,26.3167154992068
358857.4599,524391.2413,27.9228284452319,19.7332084354584,15.7619987781719,16.0322631515362,8.71533754354182,6.92323793521035,0.370234455,26.3793134224946
358857.4434,524391.0783,27.8760304355604,19.7228974503105,15.7588297275412,16.2089528266402,8.75101958056758,6.994285986997,0.331498471,26.5431464166748
358857.3298,524391.1386,27.8858952305338,19.7252414360326,15.7597316156533,16.1996533700557,8.71533754354182,6.96270907509183,0.340366972,26.671758430046
358857.2371,524391.0115,27.8510778519673,19.7176585699579,15.7575346859294,16.0973593476272,8.61721194172098,6.83640142747111,0.357900102,26.8290724471492
358857.1709,524390.9435,27.8352357952952,19.7141264311693,15.7564648493816,16.1996533700557,8.65289397874674,6.8442956554474,0.350866463,26.9239747126442
358857.1226,524390.8456,27.5116352272168,19.5892434839382,15.67243217775,16.0694609778739,8.57260939543878,6.72588223580299,0.354434251,27.0331410994692
358857.0563,524390.7795,27.5038665004149,19.5860104654772,15.6700477784648,16.1066588042116,8.54584786766946,6.71798800782669,0.384301733,27.1267621441546
358856.9444,524390.6599,27.4941791119752,19.5806876939355,15.6655368814896,16.1717550003025,8.66181448800318,6.67851686794522,0.389602446,27.2905478883401
358856.895,524390.5584,27.4872866239199,19.5769781366543,15.6624189025224,15.8555734764323,8.36743768254066,6.51273808044303,0.354434251,27.4034310580066
358856.7923,524390.3887,26.7839207189545,19.4873181307548,15.6104865603717,15.7532794540037,8.43880175659218,6.48116116853785,0.421304791,27.6017877569084
358856.7897,524390.1068,26.7738475189228,19.4834286496969,15.6039070494322,15.7904772803414,8.23363004369406,6.44169002865638,0.398470948,27.8836997467804
358856.7542,524389.9829,26.7582975018423,19.4798913293067,15.5988631036076,15.49289466964,8.13550444187322,6.4180073447275,0.315698267,28.0125851998049
358856.7375,524389.6918,25.9383915856625,19.415861640229,15.5858734196685,15.1860126023542,8.09090189559102,6.22854587329643,0.525280326,28.3041638340559
358856.8089,524389.1366,25.5948641058672,19.3629591745632,15.4838797989685,15.2139109721075,7.97493527525731,6.21275741734384,0.50764526,28.8639361092443
358856.8682,524388.7874,25.248982036434,19.3438249771405,15.4812036487017,14.9628256443282,7.93925323823154,6.02329594591277,0.490010194,29.2181353892547
358856.948,524388.4566,24.5218739112851,19.310636894313,15.4976403677293,15.0186223838347,7.81436610864139,5.975930578055,0.445973496,29.5584245016124
358856.9351,524388.2193,24.2508580745053,19.2926600935359,15.5015718048074,14.8512321653152,7.86788916418003,5.88119984233947,0.534148828,29.796074875096
358856.9948,524387.9183,24.4882718617149,19.2553860888463,15.4045733584736,14.6187457507047,7.73408152533343,5.8259402465054,0.477675841,30.1029381834021
358856.9888,524387.731,25.0265007179494,19.2701582624416,15.3636135998068,14.5908473809515,7.72516101607699,5.99961326198389,0.588786952,30.2903342612596
358856.9524,524387.5162,26.1315860749585,19.2503310157319,15.4673757556123,14.3955587926787,7.76976356235919,5.81804601852911,0.537614679,30.5081966031883
358856.9281,524387.331,26.1151122969948,19.079778425142,15.1752794759826,14.3955587926787,7.91249171046222,6.08644976972312,0.54648318,30.6949839956446
358856.9603,524387.0747,26.8255601656457,18.8852482966968,14.8763634298836,14.023580529302,7.8857301826929,6.07066131377054,0.49714577,30.9532987842291
358856.9916,524386.9706,26.9660277609019,18.8634742043644,14.8650135518932,13.8840886805357,7.93033272897511,6.07855554174683,0.544648318,31.0620025100223
358856.9727,524386.9077,27.0777816034018,18.8396930538538,14.8411112249646,13.7073990054318,8.12658393261678,6.06276708579424,0.562283384,31.127680664711
358856.9444,524386.7503,27.3877448916757,18.7751892194478,14.7728988879065,13.8747892239513,8.1979480066683,6.22065164532013,0.66116208,31.2876045528839
358856.8666,524386.6026,27.6239910850282,18.608266169365,14.6302897592713,13.7910941146915,8.18010698815542,6.04697862984165,0.645259939,31.4545420561213
358856.7961,524386.4234,27.625544604592,18.4736355533944,14.5129860523838,13.7724952015227,8.30499411774558,6.44169002865638,0.498878695,31.6471112385184
358856.7235,524386.2534,27.8437744603208,18.3310889173843,14.357638710233,13.6330033527564,8.52800684915658,6.71798800782669,0.59235474,31.8319645857108
358856.7062,524386.0125,27.880703084961,18.0983588370903,14.1548650779447,13.7166984620162,8.65289397874674,6.58378613222968,0.502344546,32.0734849783165
358856.6255,524385.8982,27.598483679355,17.9421136117961,14.0741096403364,13.7631957449383,8.66181448800318,6.48905539651415,0.574719674,32.2134027397893
358856.6433,524385.7181,27.2883173707352,17.6923186500404,13.924926365909,13.4377147644837,8.87590671015774,6.63115150008745,0.601121305,32.3943802245718
358856.5788,524385.4925,26.9903830748433,17.3425269365339,13.6902564614077,13.3912174815616,8.72425805279826,6.88376679532888,0.595820591,32.6290195435267
358856.5475,524385.2424,27.0501939075387,17.254001924031,13.5994971944767,13.4098163947304,9.05431689528654,7.07322826675995,0.54648318,32.8810705304985
358856.4969,524385.1297,26.874072025803,16.9634137862555,13.3828598690556,13.400516938146,9.02755536751722,7.02586289890218,0.534148828,33.0046085812449
358856.4637,524384.9074,26.7647959624177,16.8131779498796,13.3220075224715,13.3075223723018,9.23272708041534,7.02586289890218,0.604689093,33.2293740812902
358856.4451,524384.6368,26.5274270959623,16.5421026644306,13.0554840640721,13.2424261762109,9.42005777480058,7.50741080545615,0.601121305,33.5006125741814
358856.4225,524384.2883,26.401058312013,16.2988988365602,12.7422972119581,13.3819180249772,9.64307050621157,8.50208353046927,0.636391437,33.849844603033
358856.3686,524383.9235,26.1531572468588,16.1447243123974,12.7361387618428,13.4842120474058,9.83040120059681,9.36255437988538,0.562283384,34.2186050265958
358856.3724,524383.6248,25.865265119894,15.9958640219859,12.6435825663219,13.6516022659253,9.70551407100665,9.64674658703198,0.472477064,34.5173291970704
358856.3201,524383.3267,25.5140789096917,15.7814790054587,12.5850660565417,13.3819180249772,9.67875254323733,9.11783331262025,0.682262997,34.8199822988333
358856.3808,524382.7753,24.7267660115721,15.7368085399152,12.4821395731795,12.4519723665354,9.39329624703126,8.29683360308561,0.689398573,35.3747132696587
358856.3575,524382.3453,24.2252111495538,15.5246022933048,12.2428584353965,11.6615185568599,8.98295282123502,8.3126220590382,0.599388379,35.8053440743441
358856.333,524382.0135,23.9466459261007,15.4294499888336,12.1505213262138,11.419732685665,8.74209907131114,8.11526635963083,0.61529052,36.1380473806531
358856.3221,524381.7595,23.7514157217273,15.3618613739329,12.0747898879845,11.4569305120027,8.4209607380793,8.04421830784418,0.676962283,36.3922811509868
358856.2988,524381.45,23.7170347748409,15.366558775933,12.0815138798647,11.8382082319638,8.16226596964254,7.98895871201012,0.604689093,36.7026569555463
358856.2319,524381.0778,24.0188776419441,15.4821075397818,12.0781821700626,12.0706946465743,7.99277629377019,7.4442569816458,0.581753313,37.0808215360988
358856.1776,524380.7871,24.1607444138609,15.5795275275731,12.0712232685521,12.2194859519249,7.82328661789783,7.59424731319539,0.502344546,37.3765494177892
358856.0894,524380.4374,24.1858813966625,15.704493409628,12.0682059673881,12.2101864953405,7.76084305310274,7.4363627536695,0.599388379,37.7372006758388
358856.0233,524380.0392,24.1689480314066,15.8323042298082,12.0770593831356,12.1357908426652,7.80544559938495,7.38110315783544,0.555249745,38.1408495951272
358855.9846,524379.6928,23.9188644764735,15.8663820545795,12.0083059126228,12.1822881255873,7.97493527525731,7.04954558283106,0.438939857,38.4894046840655
358856.0019,524379.3365,23.7992351606856,15.8795539587759,12.0079201990868,12.2938816046003,8.04629934930882,6.82850719949482,0.498878695,38.8461244339918
358855.9888,524378.9601,23.7203186383005,16.0499165115975,12.0250246297784,12.3589778006912,7.99277629377019,6.48116116853785,0.493577982,39.2227523272259
358855.9811,524378.7117,24.052917635722,16.2746103707523,12.0758060515081,12.154389755834,7.83220712715427,6.96270907509183,0.585219164,39.4712716424115
358856.0542,524378.698,24.0452052095846,16.2731094666876,12.073038061045,12.1729886690029,7.86788916418003,7.07322826675995,0.403669725,39.5456443524994
358856.0721,524378.6571,24.0610781777238,16.2809087223887,12.0722269774507,12.2845821480159,7.97493527525731,7.06533403878365,0.445973496,39.5902898450038
358856.0186,524378.4517,24.6504093292567,16.5101563545485,12.1795925465213,12.2938816046003,7.8857301826929,7.06533403878365,0.414271152,39.8025430192756
358855.9701,524378.0905,25.1856586584191,16.7401221113852,12.3451723585128,12.0520957334054,7.73408152533343,7.0021802149733,0.382568807,40.1669846331869
358856.009,524377.9863,25.2518749678274,16.7617109474396,12.3673283958544,12.1822881255873,7.93925323823154,7.08901672271254,0.386136595,40.2782089561375
358856.0266,524377.9119,25.3019414297639,16.7780676845123,12.3866157853407,12.2845821480159,7.99277629377019,7.20743014235696,0.370234455,40.3546623406593
358856.0217,524377.7302,25.4072276336285,16.8156932980206,12.4415092115007,12.3031810611847,8.00169680302663,7.13638209057031,0.366768603,40.5364283990544
358855.9509,524377.4044,25.597241440675,16.9865298337524,12.72898187325,12.3217799743535,8.00169680302663,7.1521705465229,0.36146789,40.8698324782025
358855.9,524377.1341,25.2705568212268,17.0139161311324,12.9580963968103,12.4984696494575,8.02845833079594,7.2863724221199,0.264627931,41.1448832007675
358855.8359,524376.8268,24.7963167806278,16.9892838529435,13.1693060735716,12.5728653021328,7.72516101607699,6.82061297151852,0.350866463,41.4587973609986
358855.7037,524376.4997,24.0084690801344,16.9023538085533,13.3392361361567,12.6100631284705,7.77868407161563,6.92323793521035,0.349133537,41.8116021937245
358855.6016,524376.2781,23.8463321508082,16.8738027451527,13.3734137426655,12.6565604113926,7.89465069194934,6.96270907509183,0.349133537,42.055591886181
358855.6065,524375.9832,23.5887974658132,16.7564956015015,13.4201744929091,12.8518489996654,8.05521985856526,6.91534370723406,0.335066259,42.3505325920654
358855.5862,524375.7682,23.5531484594252,16.723975398938,13.4252368705054,12.889046826003,7.87680967343646,6.93902639116294,0.37196738,42.5664888144462
358855.4427,524375.4969,23.4403564310786,16.6389572533913,13.4750607083131,12.9076457391719,8.05521985856526,7.03375712687848,0.345565749,42.8734023853642
358855.4286,524375.2448,23.5016240657879,16.6129095429461,13.4792607643141,12.8704479128342,8.07306087707815,7.13638209057031,0.329765545,43.125896385336
358855.4924,524374.9159,24.1124822852328,16.6226506238176,13.5407816425526,13.0843354142758,8.27823258997626,7.17585323045178,0.335066259,43.4609272047792
358855.5284,524374.6188,24.4845883195252,16.6775186191174,13.5978702727512,13.3261212854707,8.25147106220694,7.08901672271254,0.333231397,43.7602003408639
358855.535,524374.2775,24.8743506955525,16.710238580982,13.7259234082374,13.4656131342369,8.38527870105354,7.08901672271254,0.322731906,44.1015641498115
358855.5119,524373.866,25.0028741644261,16.7237704082587,13.7996248534792,13.7910941146915,8.42988124733574,7.23900705426214,0.352599388,44.5137120115569
358855.4611,524373.3676,24.4532960122423,16.7645268998652,13.7732493503213,13.9863827029643,8.5547683769259,7.04954558283106,0.340366972,45.0146942468079
358855.3886,524372.9713,24.1005888402974,16.7684020161824,13.6459916707617,13.9026875937046,8.49232481213082,7.17585323045178,0.352599388,45.4175713248589
358855.2566,524372.6646,24.1474311697653,16.9364964689098,13.5758474407386,13.9584843332111,8.44772226584862,7.08112249473624,0.401936799,45.7514708456273
358855.1909,524372.4186,24.2455131728004,16.9960091614596,13.5546138091136,13.7445968317695,8.3763581917971,6.88376679532888,0.421304791,46.0060930952949
358855.1828,524372.2443,24.5968596779071,17.2153004483202,13.5215345734124,13.8189924844448,8.3763581917971,6.82850719949482,0.368501529,46.1805812037263
358855.1557,524371.9849,24.8313405162487,17.2952782495014,13.5452807117842,13.911987050289,8.40311971956642,6.92323793521035,0.329765545,46.4413929557438
358855.1157,524371.7238,25.6605122908369,17.6109967512444,13.600647437103,13.9956821595487,8.21578902518118,6.77324760366075,0.359734964,46.7055391463278
358855.0911,524371.507,25.8432542773413,17.6693119056259,13.6265121852199,13.9863827029643,8.22470953443762,6.80482451556593,0.389602446,46.9237303469367
358855.0803,524371.2734,26.6215816501427,17.9107811840909,13.7457753188641,14.0607783556397,8.1533454603861,6.74956491973187,0.340366972,47.157579871242
358855.0943,524371.0303,26.7161623486624,17.9462573253409,13.7624471431952,14.1444734648994,8.18010698815542,6.7021995518741,0.291029562,47.4010826637986
358855.1177,524370.7593,26.7983887799273,18.0521629144973,13.8329668395223,14.2839653136657,8.0195378215395,6.40221888877491,0.336799185,47.6730910459727
